dimension,V1,V2,V4,IT
made of metal / artificial / hard,0.16176938308666058,0.2284989723328637,0.35408767577113054,0.6070421688127025
food-related / eating-related / kitchen-related,0.147614057888245,0.24996823734079582,0.4449463659144944,0.6779122913293851
animal-related / organic,0.14692331696022207,0.21087919517018922,0.39129548161179184,0.7055060270075441
clothing-related / fabric / covering,0.05347775743369461,0.09461645086213151,0.15727958890480273,0.44930756072655287
furniture-related / household-related / artifact,0.12836776956799817,0.19909205466492336,0.3019804671107803,0.5405242819902856
plant-related / green,0.2128837519772718,0.24210688129257396,0.3537666128337783,0.6058678682517133
outdoors-related,0.11533320729963518,0.1971370755281073,0.2958396019559472,0.4676397788445514
transportation / motorized / dynamic,0.08808317353125243,0.13517086218561397,0.261069851574979,0.5793802015592304
wood-related / brownish,0.07875916531769113,0.08589949233588369,0.1400582004575704,0.4005173966510764
body part-related,0.050076229454164775,0.0776031833532348,0.20657947242197072,0.5954749151815953
colorful,0.13887138907205626,0.14007203269543633,0.23360150910240907,0.5148899185358872
valuable / special occasion-related,0.03283417484073318,0.055069237806276004,0.095415957811871,0.28048264305426834
electronic / technology,0.04165826824776275,0.09783560781919007,0.176900794346652,0.4645880716000429
sport-related / recreational activity-related,-0.06487948369800356,-0.04383540743193759,-0.027228981043590707,0.14483404341387884
disc-shaped / round,-0.01693533769346085,0.013078590678627922,0.10603023657386615,0.4856559035895824
tool-related,0.027960355496499313,0.08991276356137358,0.1433650959943173,0.3808785033558586
many small things / course pattern,0.03838976057230696,0.08346340101517256,0.16298795150599404,0.46382795444114955
paper-related / thin / flat / text-related,-0.00449761491729479,0.03905496727170058,0.12038211013566684,0.3322736459639469
fluid-related / drink-related,-0.01158502247270129,0.0197547826308369,0.09259560356455895,0.42755527800524556
long / thin,-0.0021539437158330623,0.055679684243093316,0.13159064075420707,0.42931631428959116
water-related / blue,-0.021671555987738088,0.0007729946480057425,0.026193052414821373,0.20475843442851085
powdery / fine-scale pattern,0.0035443834788712824,0.04605145000778734,0.1306701531921093,0.2818206368682806
red,0.17281109328180863,0.15418771338426907,0.24231402857324663,0.41706063819421046
feminine (stereotypically) / decorative,-0.06117978437485348,-0.04900848644076365,-0.017599837529707486,0.12754382081875387
bathroom-related / sanitary,-0.03726215370675884,-0.022809595654252158,-0.002860844797674111,0.08313170598947661
black / noble,-0.016172276807479746,-0.009078062883190652,0.03953303439638767,0.16545064133110254
weapon / danger-related / violence,-0.10151088001018649,-0.10127854026536993,-0.06892755546044604,0.0350544494730195
musical instrument-related / noise-related,-0.06638394343723024,-0.05637783252889872,-0.04375350446588416,0.012957362057850108
sky-related / flying-related / floating-related,0.07712829810005548,0.10462671676100048,0.1353469859613166,0.3277108028827319
spherical / ellipsoid / rounded / voluminous,-0.09710955516366357,-0.07381268681867593,-0.014884869530851696,0.30505811982786024
repetitive,-0.07520076560078053,-0.03709540362790822,0.015468745602197898,0.15671153960425027
flat / patterned,-0.08918562446361088,-0.03398787778669247,0.03468566471757303,0.1939874050967155
white,-0.07124693803303474,-0.06696558296854928,-0.008603078113204654,0.1520961298018802
thin / flat,-0.0864768148745199,-0.0768664976632942,-0.018351339065299642,0.13007094417334683
disgusting / bugs,-0.1438853590140698,-0.13268306948360595,-0.08672269414811293,0.1496932478869299
string-related,-0.15800095880925613,-0.15766793926942582,-0.14319059708324883,0.07024210452556258
arms/legs/skin-related,-0.20442219286153446,-0.19395709386383436,-0.14244955129702827,0.06551971807792331
shiny / transparent,-0.16290730655915348,-0.15951816323889306,-0.12714772235548827,-0.02072105223952575
construction-related / physical work-related,-0.16804994375599067,-0.15210830956714783,-0.1398062390876721,-0.03204006343171003
fire-related / heat-related,-0.15815252172321226,-0.1594439365885361,-0.1492499369954973,-0.08147924620840748
head-related / face-related,-0.1988391590585275,-0.1819727173012769,-0.14598376472258068,0.043364708364190596
beams-related,-0.1752701791941441,-0.12387216760101835,-0.058635080350424126,0.17275498521825872
seating-related / put things on top,-0.3464753200169043,-0.3263295128468374,-0.2211799390177161,0.0027794415486357303
container-related / hollow,-0.3092585499813968,-0.28003050960256115,-0.2392480380868752,-0.08986602170828509
child-related / toy-related,-0.3110133997609085,-0.3061081128956138,-0.26010877604942007,-0.18093276806673156
medicine-related,-0.3430054968653785,-0.33354346485123665,-0.33978292573468327,-0.2943068691543286
has grating,-0.2990007933152641,-0.235629807882297,-0.20286644778187563,-0.025800219803347135
handicraft-related,-0.2613376637412695,-0.23759188317484856,-0.23282927876620932,-0.1773141893311007
cylindrical / conical,-0.4477358423337544,-0.44567345368413563,-0.43135340352795615,-0.36367271507867677
