dimension,V1,V2,V4,IT
made of metal / artificial / hard,0.23776281834554386,0.26750704367341427,0.394795973259467,0.6297479891390663
food-related / eating-related / kitchen-related,0.29635101407431025,0.38836683255694787,0.4909537325192154,0.6918414465032112
animal-related / organic,0.25437661200253514,0.33709961790697146,0.4862808927703327,0.7513341702567343
clothing-related / fabric / covering,0.10822431789772027,0.16184759582967362,0.20332341444858698,0.4909543394871343
furniture-related / household-related / artifact,0.16302051679073082,0.26434313043117674,0.36496837888706135,0.5623513204167053
plant-related / green,0.3598186729118691,0.3648141476388219,0.4307066225399499,0.6337952500846875
outdoors-related,0.19458224255376183,0.2760649507708325,0.3228804603856693,0.5122356227077216
transportation / motorized / dynamic,0.18405187235383993,0.2638258112659949,0.36640372838673396,0.6333017387894746
wood-related / brownish,0.11207180788279025,0.15096175074087356,0.17581812519059797,0.430816011818069
body part-related,0.12387032424170545,0.13718861284774841,0.2607229399129612,0.6271035169535105
colorful,0.22673741288859972,0.23592966150601677,0.2908276028434411,0.5315710962244744
valuable / special occasion-related,0.04186312765708043,0.08664506611705239,0.10417407749600519,0.2879999325020648
electronic / technology,0.09069139606957574,0.16125705168969265,0.20219307056396466,0.4877910638246428
sport-related / recreational activity-related,-0.058607774702794935,-0.03081680222992398,-0.044959938248570266,0.19114029865461218
disc-shaped / round,-0.03682842696665983,0.030726007639647102,0.14443106438006,0.5014780103667908
tool-related,0.08806669165345096,0.12221938255318136,0.18835884911279155,0.40150294726351216
many small things / course pattern,0.1223583594633563,0.15489971380720785,0.25576909181717644,0.5026357831305929
paper-related / thin / flat / text-related,0.0476242522315095,0.10352310379943601,0.15562475530725978,0.3426445481447594
fluid-related / drink-related,0.0016264723788842472,0.03987600491009304,0.12522909179020406,0.46710644499499
long / thin,0.017346331565257455,0.09277590022222593,0.15610649086943246,0.4410395705699524
water-related / blue,-0.02188119658237675,0.01993033430145601,0.04938978082277631,0.23978355198669038
powdery / fine-scale pattern,0.07489061466731785,0.16588660768197752,0.16975155473818407,0.31291392382526045
red,0.39441138475294546,0.33720680829097016,0.3064775988311991,0.4567381158240151
feminine (stereotypically) / decorative,-0.06513913940615892,-0.05014941709017549,0.03730507478185964,0.13380802478838513
bathroom-related / sanitary,0.02104838369063502,-0.014484828647575198,0.013825615066172369,0.09480952080089469
black / noble,0.03547160710594617,0.02708486273806272,0.09196635488233866,0.19220364797223974
weapon / danger-related / violence,-0.08376331849656263,-0.09307940875687563,-0.0663072383601397,0.06296219740634147
musical instrument-related / noise-related,-0.02491981636173616,-0.050905458100949805,-0.06006040151828418,0.0035179442580476673
sky-related / flying-related / floating-related,0.16371620415384305,0.2000613039446749,0.1897629967480457,0.364228461809565
spherical / ellipsoid / rounded / voluminous,-0.06614683000296726,-0.0409040651755956,0.02299818554250025,0.3284873741344317
repetitive,-0.031216155644409015,0.023018469027541556,0.041733907987399975,0.14207324555743678
flat / patterned,-0.0072574535620108845,-0.015486756339440622,0.045016311790027005,0.2043760881565871
white,0.028913903721158908,0.02666190873613955,0.10751784434489994,0.1927822029330685
thin / flat,-0.03263261285074757,-0.0460337106986207,0.009253266971338025,0.1482096120118178
disgusting / bugs,-0.08181253505357101,-0.05212003775309655,-0.039139533259289185,0.21005412853347968
string-related,-0.1493350541332208,-0.13672690914743474,-0.10945697578191516,0.12270833747861513
arms/legs/skin-related,-0.1338114879744296,-0.13570199182741088,-0.10830885435025943,0.08975291129883589
shiny / transparent,-0.15199605756480608,-0.12780949401134348,-0.11954338104342248,-0.004519884988631762
construction-related / physical work-related,-0.17620858390728739,-0.1551272345791615,-0.14325269365018772,0.008709200758227753
fire-related / heat-related,-0.1375897770824946,-0.11456276677327919,-0.11562259185068369,-0.06700485703730784
head-related / face-related,-0.14167128822807987,-0.14781459007654804,-0.060971112685449046,0.11039159529105332
beams-related,-0.11764530028700224,-0.05065667189690809,0.0385029557550717,0.23875854743612712
seating-related / put things on top,-0.28166503426714146,-0.22598753478505734,-0.14038171909276248,0.0731613064841602
container-related / hollow,-0.2620315586031815,-0.18494397732690493,-0.16583239736098593,-0.044516353684231104
child-related / toy-related,-0.24066791084008496,-0.22987371683983926,-0.17638051340485714,-0.15896148678815816
medicine-related,-0.2860377655805797,-0.2854233842555559,-0.2991635791111854,-0.24667497619158985
has grating,-0.21056850164211055,-0.14635337540131615,-0.12601015771299456,0.02517426885755142
handicraft-related,-0.2247085865622215,-0.20472712260940842,-0.19150897419825316,-0.13407412419632753
cylindrical / conical,-0.3542931868723801,-0.3365208299862972,-0.33786596732056184,-0.2672499469978916
