dimension,V1,V2,V4,IT
made of metal / artificial / hard,-1.5210611152448013,-1.4096361793628795,-1.4226288872390467,-1.2270486226250696
food-related / eating-related / kitchen-related,-0.4828101281898094,-0.5540899842306191,-0.4936454728654456,-0.0257689039130633
animal-related / organic,-0.4533323676592047,-0.42985630469476743,-0.1519420033920611,-0.32170485730415654
clothing-related / fabric / covering,-0.4273705523120681,-0.38465182323145597,-0.4042180893190781,-0.2077713758325097
furniture-related / household-related / artifact,-0.5594351723282893,-0.38313361608890095,-0.5189029708476964,-0.4418331722153934
plant-related / green,-0.3554795935055699,-0.3532524229124996,-0.11439320002946296,-0.17798148833950167
outdoors-related,-0.5983210703168571,-0.4681305269182223,-0.3214808768446209,-0.4984721362307132
transportation / motorized / dynamic,-0.3973802262876345,-0.24283751090786643,-0.25429391389644596,-0.33743127088928593
wood-related / brownish,-0.466827576841353,-0.4692871458792105,-0.4480908599110476,-0.34648488584890225
body part-related,-0.28527340377188204,-0.3016013044310395,-0.33528217167877683,-0.09006209779338281
colorful,-0.41992993049973504,-0.44711284172617183,-0.3872437919778047,-0.17499509136995894
valuable / special occasion-related,-0.531470043130468,-0.5227817606641898,-0.5084971150199515,-0.3544880176656038
electronic / technology,-0.3826620626218431,-0.33014705153018276,-0.4042425602624231,-0.10575846467838823
sport-related / recreational activity-related,-0.4986783304071116,-0.4448120790416201,-0.46605356833244627,-0.34049158226537646
disc-shaped / round,-0.45244527733071704,-0.4460090492238211,-0.38617951643778814,-0.10229068568741462
tool-related,-0.37255468020330107,-0.32310091887370374,-0.3405441761238346,-0.12608960492691734
many small things / course pattern,-0.4096189281891158,-0.48047612984006216,-0.3810740456977879,-0.20987202763389634
paper-related / thin / flat / text-related,-0.4069487717676372,-0.3474117702368138,-0.3681306489302161,-0.2269919277131378
fluid-related / drink-related,-0.3544221920577453,-0.34405625865106804,-0.33971920276324763,-0.07872345299151728
long / thin,-0.409103148801784,-0.33724817824886144,-0.32870102807211143,-0.1824164360497318
water-related / blue,-0.37194991805134503,-0.2866028489921373,-0.27770140437029567,-0.2770533897264502
powdery / fine-scale pattern,-0.3787252238351029,-0.37404090597998585,-0.18953838794896516,-0.22190027025577042
red,-0.09950283915307434,-0.17468697695991064,-0.21535549138745025,-0.0853740368687228
feminine (stereotypically) / decorative,-0.37574751401910134,-0.38885331421890434,-0.3601109127319584,-0.23830515752222792
bathroom-related / sanitary,-0.31107741892557095,-0.32067840412476345,-0.35159471377412577,-0.30344357809872635
black / noble,-0.3491160028402922,-0.323770901649157,-0.37497642064649783,-0.20084629159526446
weapon / danger-related / violence,-0.315744957091713,-0.3355747674447469,-0.2785036515451704,-0.3110735378904237
musical instrument-related / noise-related,-0.264757020766031,-0.27836259876191805,-0.29389327622112527,-0.21431536643784277
sky-related / flying-related / floating-related,-0.23959609761968514,-0.1367758035699178,-0.19390603788338634,-0.19484615837160102
spherical / ellipsoid / rounded / voluminous,-0.2979166298610356,-0.3014894073645915,-0.2716453890835304,-0.0618053794044493
repetitive,-0.377767082990516,-0.31188492028875814,-0.2631629427645945,-0.2513081468569891
flat / patterned,-0.2836030403107421,-0.25599417438519834,-0.1965779599256814,-0.23751330132082282
white,-0.23302795446234326,-0.250038679540751,-0.23589217321453293,-0.272851985360796
thin / flat,-0.26547756614077955,-0.2861743631215439,-0.2553830269749984,-0.2410773724480495
disgusting / bugs,-0.2565523140207282,-0.2563076813690406,-0.19157537471377295,-0.13919331430132798
string-related,-0.29920722196289296,-0.2949697866884091,-0.27545802935232966,-0.16781268949373418
arms/legs/skin-related,-0.24407256396296484,-0.2538341294584916,-0.2289697370158108,-0.17206255394693892
shiny / transparent,-0.2938649367159969,-0.3022473609554197,-0.2717935916855232,-0.25509475826461925
construction-related / physical work-related,-0.32567768910681916,-0.32351668977858017,-0.31425718978019,-0.28171440355928623
fire-related / heat-related,-0.22243936052508584,-0.25280277532998996,-0.26601768350291155,-0.20667742711246762
head-related / face-related,-0.23927045897249477,-0.2572040759272167,-0.253417304611123,-0.16056427370341764
beams-related,-0.24660866381439095,-0.19551218718385122,-0.18371279118383943,-0.17243093873220627
seating-related / put things on top,-0.2684595379606851,-0.26636470280527624,-0.22280229453100953,-0.16148883869933872
container-related / hollow,-0.2900458838358664,-0.26434456715253996,-0.27105205726851445,-0.18791341103124748
child-related / toy-related,-0.24723508315268417,-0.22959174124407888,-0.24153601716815332,-0.1934859534909008
medicine-related,-0.22361661365559882,-0.22132617756225081,-0.23953939672057656,-0.2088003894799555
has grating,-0.22380302621948323,-0.17143451731677994,-0.1654680108576907,-0.07256557894082616
handicraft-related,-0.2666890845077101,-0.2646181364321436,-0.25750265680150153,-0.21825646274132282
cylindrical / conical,-0.24226018143771322,-0.2511260584442725,-0.24273322074532278,-0.20097083518626513
