dimension,V1,V2,V4,IT
made of metal / artificial / hard,0.13920158554430237,0.21966232129798283,0.31322574844284584,0.5814366161682513
food-related / eating-related / kitchen-related,0.16885819632221927,0.30895317612815104,0.43464494395490166,0.6523967100683153
animal-related / organic,0.1339717707859236,0.2428702744808156,0.3923571226869339,0.706379604232928
clothing-related / fabric / covering,0.005379397321880486,0.060538722440009664,0.13306392463703545,0.38587440958411534
furniture-related / household-related / artifact,0.09882462775007803,0.21370522517390453,0.28455522011812767,0.5147613562360067
plant-related / green,0.2578644564344859,0.28110709884729335,0.37034645821089496,0.5575372390579132
outdoors-related,0.11091590271936629,0.16464779640051158,0.2857979959537603,0.4446896719473217
transportation / motorized / dynamic,0.03478166846525697,0.14219611515068978,0.21407674124326764,0.5437096610200053
wood-related / brownish,0.009681706348547436,0.06572165056574833,0.11070678734626942,0.32900431036268735
body part-related,0.002707800667837268,0.039977568847363344,0.19354626504409328,0.5611717144019922
colorful,0.17881584024405023,0.17546069327631578,0.2646232799518017,0.47924067925914093
valuable / special occasion-related,-0.013974439433183772,0.024150726051443083,0.03158915255787603,0.22732956423628886
electronic / technology,0.03310715384032116,0.07808069295938853,0.12176792886954846,0.42624244415549467
sport-related / recreational activity-related,-0.15315281732127714,-0.10421845913844478,-0.10181346249348038,0.065322220228212
disc-shaped / round,-0.08507909420858015,-0.04547528801446961,0.09485053507592223,0.48059423580982025
tool-related,-0.016063342432729565,0.05391434483444143,0.09580323005421452,0.3565930907286796
many small things / course pattern,0.011264762546310637,0.04045273542929897,0.1562326196048029,0.42124328993401916
paper-related / thin / flat / text-related,-0.056946504517275044,-0.013434054528360573,0.1000114038753539,0.2691847024539814
fluid-related / drink-related,-0.08269434862987012,-0.0399745310119751,0.06503887128958802,0.4023726697547209
long / thin,-0.038966409949628036,0.04509898700380692,0.12454556113686403,0.37975650849761833
water-related / blue,-0.12136277537065954,-0.052510651952926445,-0.01621778302129483,0.18968606496353088
powdery / fine-scale pattern,-0.01663146793019018,0.0693420176848783,0.13106011381823368,0.23664671057034656
red,0.3425875284608932,0.3170720075032671,0.31753127600904957,0.46888048925969106
feminine (stereotypically) / decorative,-0.07239715246542935,-0.07865881941066279,-0.030999482340983587,0.12090856273258783
bathroom-related / sanitary,-0.03098694643423965,-0.00665573267619225,-0.011323524885096659,0.046927749081047576
black / noble,0.006324379855457274,0.014507834902371518,0.04321501262210827,0.17186149247094526
weapon / danger-related / violence,-0.13475637827994394,-0.15740017072338486,-0.11600667809729466,-0.0013170872729610706
musical instrument-related / noise-related,-0.13171414368841744,-0.12261660996327764,-0.12662058429455522,-0.05002531859703794
sky-related / flying-related / floating-related,0.11749256823228324,0.16302562310198992,0.16244758502084386,0.30140611335955186
spherical / ellipsoid / rounded / voluminous,-0.11944585955391991,-0.09425896625987287,-0.027561738371177,0.253550036291431
repetitive,-0.07156127013529752,0.006998495142126693,0.037107515893613364,0.14826347413992708
flat / patterned,-0.05292639715451728,-0.030061655869999503,0.05577595149528789,0.14427740669481173
white,-0.0006489250841245076,0.007690440679692667,0.03254116492326346,0.15239706590653693
thin / flat,-0.017968632813304554,-0.05189161819325979,0.023675393015421396,0.09848771307662174
disgusting / bugs,-0.19164966406279677,-0.15543102919305465,-0.10822273150665374,0.06561853801453996
string-related,-0.15415317387482358,-0.16871698586890732,-0.14187287314089922,0.021445120426090925
arms/legs/skin-related,-0.15379306159492145,-0.14059146930423663,-0.09566483911532131,0.013807299146348439
shiny / transparent,-0.14594910988226567,-0.12732090699647522,-0.09181398855850467,0.0065898389339686505
construction-related / physical work-related,-0.14577906091836523,-0.11331347820408089,-0.09180746733157996,-0.02537640198131952
fire-related / heat-related,-0.1351987591108917,-0.16218174190471796,-0.1428490641523108,-0.11924219029597949
head-related / face-related,-0.12829143160143855,-0.1279550365166735,-0.07791010451206007,0.02358010775446694
beams-related,-0.07719850610942114,-0.04153907479813958,-0.009396561002319703,0.13377738506430847
seating-related / put things on top,-0.21758266920167166,-0.18622930458503378,-0.10527207114889243,0.03145582009197456
container-related / hollow,-0.16738967590338766,-0.12566311988686346,-0.10227885049241552,-0.04001954148304906
child-related / toy-related,-0.2170712394190642,-0.16938336415422933,-0.1542264017323072,-0.1329110507995878
medicine-related,-0.19622211826338948,-0.16060362699828204,-0.21020393095527662,-0.15251953901694054
has grating,-0.1873067198198485,-0.11227071502829049,-0.11506795109688184,0.020778753511515213
handicraft-related,-0.13970467585282814,-0.12696081167044554,-0.1076505701269864,-0.06769297289482182
cylindrical / conical,-0.11898804938898766,-0.13210993911648872,-0.13059468985731298,-0.1067498813437276
