dimension,V1,V2,V4,IT
metallic/artificial,-1495.6066862065857,-6743.243119434593,-271.3748735174932,-20.045526331834964
food-related,-595.6467122960347,-2034.9344078692288,-113.07293720278635,-7.211409082619156
animal-related,-436.3347157031957,-2113.253035235406,-87.13743107117661,-5.333587544475788
textile,-542.3901181249255,-2275.390419989303,-114.41671109523723,-8.032223814299156
plant-related,-460.8450871657672,-1762.9272583393401,-91.5228745654469,-6.3013803318743165
house-related/furnishing-related,-690.143339736677,-3309.437246157887,-122.23569478388009,-8.921875144127643
valuable/precious,-750.241353557802,-2414.166480318386,-143.24713007016646,-10.062273034626333
transportation-/movement-related,-439.61641702052486,-2422.126313921245,-85.35491542524862,-5.426708435075537
body-/people-related,-515.877052096805,-1575.7526887212414,-82.83005654062995,-5.141321303422216
wood-related/brown,-596.4886071566013,-2120.0877049998185,-111.61587097694009,-8.24856268434406
electronics/technology,-593.5157896969145,-2353.2662328929414,-93.31606017252517,-6.444222691085281
colorful/playful,-557.098277136581,-2246.499594292036,-111.34568043443483,-7.723495811791032
outdoors,-611.6723998890733,-3057.3384033258667,-118.94855679957014,-8.433675899262653
circular/round,-582.4956244511524,-2719.4765057527297,-111.30209537079654,-7.450682407419274
paper-related/flat,-602.5925144116613,-2348.265219984436,-107.80993484622327,-7.593485117557474
sports-/playing-related,-515.1009111955237,-2369.4457428469636,-103.31231552319282,-8.126303145277811
tools/handheld/elongated,-584.7381783615411,-2598.4318722853145,-100.17386360753225,-6.80395078731716
fluid-related/drink-related,-503.832781812603,-2508.532396324273,-82.38047325449607,-5.668999679943724
water-related,-369.87407722602455,-1679.0460982037414,-76.84766831614499,-5.685712595079514
oriented/many things,-552.8382439735736,-1944.856792570742,-108.19222926715705,-7.373577948713141
powdery/earth-related,-545.6392324647333,-1882.86388599357,-104.50950923856365,-7.835166911743613
white,-543.1860837281182,-2261.4911822386744,-102.22863022480885,-7.542949387851943
coarse pattern/many things,-470.9641329528969,-1593.1364058122638,-81.83970774333602,-5.814465559898682
red,-416.8360261589506,-1703.3826295206406,-88.52596702124957,-5.864490854774913
long/thin,-519.7531128421109,-3144.131759299883,-94.60664007860208,-6.618307361790754
weapon-/danger-related,-476.2570916414969,-1570.9533941742202,-97.2239148559474,-7.211655523298173
black,-553.3145993024613,-2624.157000504672,-98.79682434625184,-7.244268484694372
household,-621.4579385527634,-3068.241166938543,-102.37111542998277,-7.76656803870179
feminine (stereotypical),-490.1529558684141,-1927.1435283773012,-95.31010731270068,-7.429753542618688
body part-related,-427.0006339491157,-1372.319690683756,-66.94915762221576,-4.627614006848708
tubular,-588.1053130664803,-2117.8018746357043,-91.34591873530827,-6.6454279282475985
music-/hearing-/hobby-related/loud,-451.8249507524363,-1224.1438540433796,-69.85464637515669,-5.84799848929051
grid-/grating-related,-466.5214809543465,-2645.645822972698,-85.07966548731902,-5.703975433992883
repetitive/spiky,-471.97283686951135,-2732.695709671551,-82.33863335578873,-6.275002715989305
construction-/craftsmanship-related,-524.0710342058572,-2948.579053458954,-89.35177181701535,-7.608467860481094
spherical/voluminous,-394.3805277493078,-1588.676785224526,-79.27977224059343,-5.36987985962451
string-related/curved,-438.8863407554146,-1696.6805933267044,-78.64553735919215,-5.945175417482641
seating-/standing-/lying-related,-443.48466218996174,-2076.104407122973,-84.70551532588681,-6.076086304895027
flying-/sky-related,-413.48553788335335,-1706.0116860751045,-80.41549559722328,-4.779411485168814
bug-related/non-mammalian/disgusting,-368.38256717013985,-1588.5852559674443,-69.96659499062103,-4.5094570815154835
transparent/shiny/crystalline,-498.58421797631325,-2407.9095047406404,-85.97033500616078,-6.632534059908791
sand-colored,-499.42828106407006,-1763.9435061721615,-102.3516612491404,-6.875524933562348
green,-315.56945257255245,-1512.8800420544367,-65.07180956799715,-4.178807804435119
bathroom-/wetness-related,-465.852494393313,-2288.385450242899,-79.6571618195035,-6.877954377416408
yellow,-423.8309960770606,-1431.916868355931,-75.7852745643688,-6.130805817064591
heat-/fire-/light-related,-354.20858768134013,-1783.383672712348,-65.16432203598922,-5.230267317084052
beams-/mesh-related,-424.45597896656403,-1918.2049139941614,-82.39395410074812,-5.281772519722853
foot-/walking-related,-357.25752177963955,-1471.1017664341302,-76.25814409237869,-5.872376240169343
box-related/container,-464.57333108488274,-1693.421633950747,-83.01010698146058,-6.238030067431279
stick-shaped/container,-517.8687319622587,-1750.5318121707173,-84.64977823681834,-6.183406929758268
head-related,-389.0158758197075,-1456.2898827635968,-73.86579453808665,-5.4860956134913765
upright/elongated/volumous,-512.3839059323009,-2149.5000600441253,-77.61824146552456,-5.9954115000430015
pointed/spiky,-539.1204264617321,-1927.8148110221616,-91.0089923187276,-6.474103889202035
child-/toy-related/cute,-383.91567538303906,-1178.6924630653896,-78.60354215553393,-6.570317173077892
farm-related/historical,-376.72112167850133,-1356.3886768324692,-76.70415569202557,-6.50529107357804
seeing-related,-406.2220444868641,-1703.350138103291,-71.3282338993459,-6.218583476161027
medicine-/health-related,-452.31217884128483,-1306.9299716117105,-78.70585538461596,-6.817022123520506
sweet / dessert-related,-414.28278459953674,-1547.5004281196145,-69.5306343245216,-5.857381868372625
orange,-383.24750240551833,-2075.9517524359253,-81.68317559915832,-6.595325004007399
thin/flat/wrapping,-400.4229715045504,-1664.2489972452618,-73.69283303486793,-6.148536263584308
cylindrical/conical/cushioning,-443.10494775140813,-2354.1693407125854,-87.55934261270565,-6.554185748029903
coldness-related/winter-related,-361.1750492609733,-2334.2093835869982,-65.2296007644684,-5.886006931457672
measurement-related/numbers-related,-387.5345890582195,-2483.829835293183,-59.101905502684154,-5.07407040935522
fluffy/soft,-360.01724183448664,-1862.757731914529,-72.02793227615882,-5.567110209584147
masculine (stereotypical),-454.111724994267,-1498.6670588812603,-65.58681261919884,-6.081360604279416
fine-grained pattern,-266.9818774012978,-2497.2092197561988,-73.87169302951166,-5.074533746480867
