dimension,V1,V2,V4,IT
metallic/artificial,-6.258818653574802,-5.772199550694193,-5.552868384492808,-3.645696667209278
food-related,-3.1047949043223806,-3.3536152047230923,-2.926253668668474,-1.0195815952937486
animal-related,-3.0057429586349578,-2.871665100579174,-1.8868641686710022,-1.822226657658165
textile,-2.8174802602951976,-2.656391791669659,-2.7513902816881233,-1.4898411940252343
plant-related,-2.798947445064236,-2.8437784199422427,-1.8995992057736029,-1.3440177761718082
house-related/furnishing-related,-3.1942054963055213,-2.6716670273954866,-3.0756456024007868,-1.9334675982439
valuable/precious,-3.50345951847682,-3.566259681752574,-3.125353513980576,-1.922327210160296
transportation-/movement-related,-2.8453665664327614,-2.21434779387676,-2.15842942894988,-1.8032820698088377
body-/people-related,-2.4180654651094766,-2.280463601228295,-2.492086300396971,-1.2905196702311996
wood-related/brown,-2.934438623619059,-3.046503878262306,-2.6188485395763577,-1.6509997314271834
electronics/technology,-2.642156701801961,-2.440979344221339,-2.602422978955668,-1.270224830391364
colorful/playful,-2.872242984487281,-2.893663065629417,-2.743971277752333,-1.401883612393291
outdoors,-3.4755669503062983,-3.3590084351947525,-2.323144609838092,-2.0013996680425916
circular/round,-2.8500375527326614,-2.7865274601613197,-2.4811557479988386,-1.302663886845811
paper-related/flat,-2.6378540196454794,-2.4838379310396124,-2.676120399905969,-1.4878754809396915
sports-/playing-related,-2.772913710608678,-2.472552858156878,-2.432544646066705,-1.4228375937505366
tools/handheld/elongated,-2.3161057981745796,-2.295456965024197,-2.056636848818858,-1.2857854942101263
fluid-related/drink-related,-2.2966731189466065,-2.0584445553445097,-2.171850503873408,-1.1378210155748203
water-related,-2.2451182472881444,-2.0624670303768498,-1.891418064639268,-1.4130762216316226
oriented/many things,-2.837313263425139,-2.874555459140175,-2.681562617400289,-1.5820572920638627
powdery/earth-related,-3.0280086748435124,-2.8137445761032414,-2.2355695139865523,-1.5177031290010237
white,-2.662176920673476,-2.605214163070871,-2.585701280265637,-1.882093761627801
coarse pattern/many things,-2.5813238061675294,-2.720980361653874,-2.1524636995179054,-0.9369636514064041
red,-2.234469981897229,-2.3614258866662454,-2.408266707328956,-1.2662995792935359
long/thin,-2.4523515575326877,-2.1682928624482485,-1.9954828703004166,-1.3997934884880139
weapon-/danger-related,-2.3517584028066825,-2.3853824057715096,-2.1041664899341797,-1.5775112466864663
black,-2.7071787009194606,-2.5900635198558315,-2.3823837867656,-1.31193383632323
household,-2.766210663073633,-2.6360184871988435,-2.3700439383237315,-1.3865874191817213
feminine (stereotypical),-2.2372725612221274,-2.556365798003906,-2.275789434889835,-1.3286645131185515
