dimension,V1,V2,V4,IT
metallic/artificial,0.15046614884143636,0.2240933092436396,0.31688437474761894,0.5829728029112365
food-related,0.17094040902626725,0.31417124178857164,0.44291796955759705,0.6592073633561731
animal-related,0.12929482618346563,0.24349381615841797,0.39839331658815536,0.7183358221171479
textile,0.015283220846215917,0.073350765330498,0.1353439790252385,0.35684891313335043
plant-related,0.1815702729805706,0.21270289731598924,0.3070197588408336,0.5202791136126016
house-related/furnishing-related,0.09290962620227274,0.2138961394488617,0.2884026161105978,0.5415766742596546
valuable/precious,0.011136447925916027,0.04954726486027008,0.07672570517759796,0.27724688778951323
transportation-/movement-related,0.03708295402499804,0.14783670009876781,0.23886105349428668,0.5697323974776539
body-/people-related,-0.004055027625147168,0.04222569154935842,0.20287594952741714,0.6039872624168496
wood-related/brown,0.014664347777379927,0.07010303553010179,0.1160421511613186,0.359401656931649
electronics/technology,0.04065141258248902,0.09168137541572292,0.16230499253591407,0.46554768460458246
colorful/playful,0.21912334375082199,0.22459836227948976,0.31674686766763266,0.541969536484721
outdoors,0.1816178035215366,0.25811722534380116,0.3697996742801007,0.5410674914834599
circular/round,-0.10176586748382252,-0.03623288754910904,0.11363150998427733,0.5216615556377329
paper-related/flat,-0.02008400250892528,0.03810410325972341,0.14206787809615407,0.35425642644469557
sports-/playing-related,-0.1265497152407083,-0.08342301742466827,-0.08301839986916591,0.08111243622108852
tools/handheld/elongated,0.0036957848388558755,0.10026572044317672,0.1437245008999808,0.43544547624141805
fluid-related/drink-related,-0.09595107215421583,-0.053172079036675535,0.06746860249874947,0.40178321975530984
water-related,-0.11082613571770641,-0.04483312446171368,-0.015166553601500054,0.21921197578592794
oriented/many things,-0.01269891457356157,0.039325008664262084,0.11859004299755091,0.37180711277851763
powdery/earth-related,0.05425022950069218,0.12125730096220666,0.21616538224560009,0.28459929971930037
white,0.1690109937103234,0.16312528846264307,0.21737066170490768,0.36961805234893047
coarse pattern/many things,-0.00234714102987047,0.037387476099879524,0.20042201038604132,0.49869930644903404
red,0.4010849292148818,0.3853150173717456,0.3788591369041129,0.5698980809028549
long/thin,0.0077123574772322125,0.1249736288169165,0.1974802545488959,0.47712630581902316
weapon-/danger-related,-0.1316133609292174,-0.13243013037283272,-0.08225418091520383,0.03763347958079384
black,0.1755326479436231,0.1243924633021388,0.23493950243121633,0.3920068929459264
household,-0.02213586439840428,-0.024578522408546834,0.0662956221676666,0.23967861691267228
feminine (stereotypical),-0.013730715735927967,-0.03507311859237252,0.013123560216336084,0.11815853343082003
body part-related,0.04273194124109163,0.06897390204158112,0.17743938475813265,0.3742943055245286
