dimension,V1,V2,V4,IT
mineral,0.33771420345225145,0.47437233066964646,0.7003306543851203,0.7890011447072217
wood,0.427756595899628,0.5907975578960096,0.7505697791967252,0.7947168076070348
metallic,0.41801054380822456,0.4089903714333716,0.5172215026196387,0.5805419174295673
fabric,0.0611235540870807,0.25663980588001867,0.5322000702412699,0.6774091677351315
white colour,0.6290257314604875,0.6182586978951965,0.6404171684455888,0.6668755455460444
grainy,0.3633515495641876,0.5242758699280089,0.6760623293869341,0.6810409057003182
crystalline,0.043921988532066414,0.19059223322555496,0.42352707078281526,0.6453398456421431
"straw, fibrous",0.20467259209734034,0.2672108049823102,0.585377724097518,0.6203712742796355
cloudy,0.07145766975906664,0.1954363336772884,0.49680845005009944,0.5861668112452675
small,0.2440705335610368,0.3876117763166741,0.6964817828537859,0.7118818188666978
"beige colour, tan colour",0.5091477762599226,0.48409074649896366,0.5572060552252298,0.5221725107365358
viscous,0.06669429269238314,0.09604346353042381,0.27856123450109493,0.396517296125955
black colour,0.4651051151831883,0.36331100270843475,0.3904443234041395,0.33067572418239843
brick,-0.0050010671044080635,0.057313564714476684,0.37530404108457494,0.5489520477299357
swirly,0.02192070374270605,0.15216671821713013,0.48316208501831515,0.5267421204293788
maroon colour,0.5368661722650827,0.5250415940522639,0.537671584759839,0.4235620314506333
"lines, long, tubular, vertical",0.17663951245322707,0.25760214672202963,0.6263917369674799,0.6331143106776322
mesh,0.1188326030520771,0.25446031074085607,0.6504583579907276,0.6033725626741179
yellow colour,0.6357015585024162,0.4963693723463648,0.5107168575496626,0.4998792820353761
multi-coloured,0.30037031255843916,0.29204899771836246,0.28158341743814963,0.4069935216262818
thin,-0.013325689350571546,0.1194414586632424,0.2484669592613209,0.23326896707329425
bulbous,-0.012131381368605698,0.028899789959262456,0.324769770820999,0.46520579384515637
green colour,0.5190679707215351,0.47705847982565164,0.5866506137759738,0.47851387113123156
blue colour,0.42905178189865234,0.3778008347009698,0.3558059470050138,0.3489647578600644
shell,0.10147223531909788,0.12094113076761537,0.19939972868705935,0.3266081176733079
"gemstone, smooth",0.056322030328135986,0.16623385463930507,0.3569814903604417,0.4602363777612327
sheet,0.09264138417228396,0.1284429125363885,0.1800861354363843,0.25804822519413584
hair,0.05629565697545269,0.0740142127739587,0.1653123603050375,0.1470439279175616
spongy,0.003982216029129848,0.04601577734081086,0.12339755601497082,0.23885549034300302
golden,0.11398137439317002,0.11191318690159713,0.15424958949942802,0.14909128438627772
red colour,0.4734352507195454,0.3602459228732149,0.3406262385984158,0.3874900163896592
"round, smooth",0.0010800727477672245,0.04887014589841121,0.33253889929548197,0.37941185429086577
cream colour,0.11259323590643411,0.09083331327378907,0.13655160329352678,0.1532113656938202
bumpy,-0.0075423592717958066,0.02103157769916264,0.09449554937224969,0.12820852170233055
hot,0.07835811882469623,0.0419267685066691,0.12601521070487487,0.31176949326002024
turquoise colour,0.15559661850621276,0.09727408174924923,0.1096514594305521,0.06238783826885408
