dimension,V1,V2,V4,IT
mineral,-24.60339104467419,-115.5647329465266,-18.164260670777058,-4.9901425672405075
wood,-79.7261441613949,-202.6603020971142,-43.06144247531377,-11.375444139244156
metallic,-31.919840069473622,-385.3844031663014,-43.87068797489337,-17.343243117156796
fabric,-104.94249118819553,-439.42734490729447,-43.108052161471505,-10.861080042531054
white colour,-30.233777052929575,-238.23466006934873,-32.56397825398719,-13.1995808244791
grainy,-72.16784810292268,-234.75989949361707,-76.65482878226999,-14.369003467317489
crystalline,-76.90248283686543,-116.86001635428553,-49.96524643463618,-9.31307350839386
"straw, fibrous",-68.53989471101991,-137.09940594492372,-61.88455839005728,-29.692236377008697
cloudy,-80.5390628963304,-339.2927742915312,-43.6890239062709,-13.15415916462561
small,-24.78059187793626,-55.293703846273296,-31.146363623436418,-12.873575356204185
"beige colour, tan colour",-36.856675449292254,-406.0458229830344,-83.96148634481827,-21.25732082339237
viscous,-62.80520705460465,-560.1491266551685,-47.670816598891044,-12.079550999295154
black colour,-26.755044588846935,-168.69321636699624,-72.6010605390685,-30.042619936994413
brick,-93.57697933921506,-305.2739388763433,-44.2983814864062,-28.340881835106984
swirly,-95.5341511547285,-291.7234805348432,-50.81165466019658,-19.4458699737415
maroon colour,-79.61920744811253,-528.236209695698,-178.59013024952623,-83.62888326977149
"lines, long, tubular, vertical",-35.49436608357577,-218.6723484102873,-59.30405095534788,-18.338873885304885
mesh,-47.36951632025696,-349.1147797259366,-59.82293868800205,-28.838631230577278
yellow colour,-48.42882765285612,-332.5585023424011,-139.2597214107506,-30.604925931572296
multi-coloured,-27.490878956446743,-317.3994681295975,-46.92616644429894,-15.91448070257222
thin,-83.69320496049545,-360.7708853640745,-44.1538156622389,-24.566440491990527
bulbous,-96.29028637842444,-204.84195604369924,-77.05260406247803,-22.77430910091874
green colour,-45.368952340837566,-364.38479439323936,-81.49698983014599,-28.022419521369677
blue colour,-28.78972955225317,-305.8981499931432,-73.06467902750293,-31.466864371631743
shell,-163.55800642809874,-378.428126093947,-87.3512129357352,-26.05388613720271
"gemstone, smooth",-141.182266572982,-624.2174098085397,-113.98948663444901,-30.22568195342388
sheet,-258.28703287295616,-1963.2866430595823,-157.27201603221664,-33.294743880163885
hair,-250.44153511723283,-1730.062928585235,-211.3467594333331,-48.274978247373724
spongy,-254.09533288209158,-963.3694595314464,-118.82621107641418,-22.73961799813424
golden,-49.909535900131225,-297.3906502777546,-128.8371962860398,-67.82794226131804
red colour,-74.42594491923163,-740.6396194994684,-173.24926352684082,-41.38671453653858
"round, smooth",-270.3742007831148,-1377.6353502579211,-116.83536270408862,-29.390702847614808
cream colour,-198.19994141613614,-973.7959908581655,-186.66122968871645,-43.07487067056983
bumpy,-205.98764624558254,-231.1498528531697,-76.84537523109807,-46.95848220015339
hot,-59.529328334513856,-596.1519620844296,-198.30708971012825,-24.74019091747927
turquoise colour,-246.00426640195437,-1277.4045027172428,-449.97192952993703,-110.06620537519477
