dimension,V1,V2,V4,IT
mineral,-6.011976289468365,-5.824955771031543,-5.217703189580318,-4.773837427396436
wood,-3.477995531303997,-4.244613429354289,-4.584623814765171,-4.354172910553146
metallic,-4.286880691363515,-4.755228048675807,-4.251713302245426,-3.7697258491094257
fabric,-2.867802176435506,-3.682492879720942,-4.196148188614733,-3.814974638264559
white colour,-2.222753194692309,-4.12615548680263,-4.101040091476412,-3.4170451109438735
grainy,-2.7498888266553267,-3.9948575967104905,-2.823740501382941,-2.6886914345588298
crystalline,-2.8535385326443703,-3.7774772441025712,-3.3081241501230574,-2.3185834828737457
"straw, fibrous",-3.066399820690342,-2.8144604494381404,-3.467795648650127,-2.3588328293735468
cloudy,-2.376641034650527,-3.883742292442453,-3.8637485093721864,-3.0004169865407944
small,-2.6032087448700603,-2.3515012830843443,-1.777003726427333,-2.1265966895948436
"beige colour, tan colour",-1.8086410179883705,-2.756924691123061,-2.368298267816066,-3.268320784750192
viscous,-2.0518647547463957,-2.603723211655606,-2.7097762446362155,-2.4567573804689067
black colour,-2.501401483742029,-3.2140546477004275,-2.5692284274661725,-2.536227825775703
brick,-2.406707111876526,-2.535526084332611,-2.154712291509225,-3.1557970147848904
swirly,-2.4421310286421916,-3.368373421341352,-3.491076884569165,-2.8800192304721355
maroon colour,-2.013208600912512,-2.212986401520161,-1.6900966594498614,-2.49040142357536
"lines, long, tubular, vertical",-2.296894814751793,-2.8955060527284564,-2.672629608879198,-2.4629610555145085
mesh,-1.9275721884918866,-2.11556382877851,-1.9665929703432448,-1.25511848606333
yellow colour,-1.6255522933140605,-1.922667342846998,-2.348053145587007,-2.186838560522892
multi-coloured,-1.3843438518156295,-1.5724802237202837,-2.360407791597228,-2.232483196601111
thin,-2.0396399481354828,-2.6404999688425876,-2.724288407285805,-2.5765622051401373
bulbous,-2.175841802069046,-2.7266655346564526,-2.2989477463086736,-1.9926664202057185
green colour,-1.5336681900894122,-1.7114783261391247,-2.4757734535813025,-1.3284415876275073
blue colour,-2.0497011019483846,-2.1169404079208647,-2.423611448636559,-2.095496591535973
shell,-1.6726362958670338,-2.1946676167198995,-2.2382920155028603,-2.419187979571355
"gemstone, smooth",-1.7608922671935665,-2.0481102529680504,-1.6554669260613335,-1.9257289347080522
sheet,-1.1925979727171772,-2.0108337604258573,-2.109997319323577,-2.0556366204944436
hair,-1.4032980525126355,-2.197732811510935,-1.9836434825722895,-2.14001962948318
spongy,-1.607140017057624,-1.9621958784181666,-2.253168668515337,-2.4527486421930957
golden,-2.2018147669615895,-2.0271980888864762,-2.0117285471831186,-2.037711230843388
red colour,-1.1331995509545858,-1.222156683735804,-1.5354469843230456,-1.4511478263798852
"round, smooth",-1.4259021572942823,-1.9293572113198123,-1.6985067333001753,-1.7835513659967797
cream colour,-1.3382844104849405,-1.5863398032508442,-1.8474481505406253,-1.9860063195358033
bumpy,-1.6566021852272934,-2.1717516072434857,-2.015501395870948,-1.5971663681468762
hot,-1.6561515169802044,-1.8276275000354847,-1.8715906708527603,-1.7869082478748002
turquoise colour,-1.3246885023459054,-1.475518555076074,-1.6896309344622549,-1.4181107896746203
