dimension,V1,V2,V4,IT
mineral,0.3400928971093344,0.3821210424105164,0.586670170583327,0.6882746440495223
wood,0.47770903055441655,0.5297806398079413,0.6626560497432523,0.7317225366062612
metallic,0.31491282457002034,0.2503840948049681,0.3121133807960284,0.42457879744852534
fabric,-0.10664208666668448,0.004369901430808764,0.2643258777050372,0.43949326387909615
white colour,0.7089489586275338,0.48973887053537996,0.48065277268411855,0.5391339921417884
grainy,0.39217790163377325,0.4452531267230471,0.6071454614643648,0.5956956048083432
crystalline,-0.005274210423784298,0.0710191724568792,0.24013176863441288,0.41984235719540874
"straw, fibrous",0.06406099157027383,0.017800921473083542,0.29537622185851226,0.44383230036916943
cloudy,0.03714032525604429,0.08817787941555547,0.3460517672075474,0.41260912463803284
small,0.13366803115254378,0.2410794939421223,0.49101009172924426,0.5699829747617482
"beige colour, tan colour",0.44766757471323293,0.24174722664164777,0.24470507255484525,0.30748693450511094
viscous,-0.0734489810433758,-0.05627786032848364,0.0704557032907295,0.1450496713569521
black colour,0.3861562184559689,0.16576684511198703,0.1307652564740894,0.14025327250941197
brick,-0.14579295940395046,-0.1251445377297699,0.05751354904937135,0.2772615663782064
swirly,-0.054827424906662134,-0.002435254667107767,0.23796732529095505,0.3024142241219502
maroon colour,0.20808021489878667,-0.1536715730593942,-0.269303159381828,-0.3090950468884483
"lines, long, tubular, vertical",-0.033997415552664334,-0.026186476049235862,0.25142371302428257,0.27358563191282426
mesh,-0.023856548596146276,0.09426470128500038,0.48528234045184304,0.5159773930761764
yellow colour,0.4078342502266028,0.04399299611622136,-0.018052408728931026,0.08489755542372299
multi-coloured,0.017974866065864903,-0.033320243846632056,-0.022586761458372774,0.07362385826033634
thin,-0.21244980579323558,-0.20455148241926208,-0.10983852326794027,-0.05461050931214626
bulbous,-0.25624536063172576,-0.2643840809072712,-0.003538875938907127,0.15373932045571648
green colour,0.12614226552138116,-0.13420614196094977,-0.17852633412474134,-0.09661636708123994
blue colour,0.2839190322773848,0.05312683912052988,0.024766475519801233,0.07736357732783801
shell,-0.3323982009247345,-0.42655439651027194,-0.3573619253648468,-0.2348051302186552
"gemstone, smooth",-0.46230296898993284,-0.46819400435394726,-0.32529965395726385,-0.27010748355928893
sheet,-0.38869381051040247,-0.4225706778526025,-0.32057341787597904,-0.3260361768436022
hair,-0.2641762751661558,-0.3620933511570805,-0.2712608945638045,-0.32568452647084556
spongy,-0.7730526425978604,-0.7551906379727727,-0.6977016188336933,-0.6008142641264322
golden,-0.14892520763276457,-0.2058943256816485,-0.17897800285542065,-0.16808745170202471
red colour,-0.2354079246062511,-0.44796298647617594,-0.551320161881543,-0.48362539346180444
"round, smooth",-0.7244048333860483,-0.7781881022519754,-0.5263125358533978,-0.45084365511598923
cream colour,-0.3494087743577828,-0.6208062981372847,-0.6579087611335808,-0.5462193047478097
bumpy,-0.42840974664651876,-0.4552492066330597,-0.35382103355526434,-0.2810887037429347
hot,-0.9088074231116593,-1.1509311973807657,-1.1270512227714486,-0.8949304332175932
turquoise colour,-1.3508030365003065,-1.881316958009215,-1.8312111300156164,-1.6671685472685613
