dimension,V1,V2,V4,IT
mineral,-0.38596843907109707,0.27624597434583653,0.6512388724491416,0.7479059783760555
wood,-0.4200826697324784,0.33795716961579314,0.686122114115872,0.7114944116370021
metallic,-0.42075549257990497,0.14122214125781488,0.4012418927105908,0.4352293780652275
fabric,-1.0104169812126196,-0.3182136575508362,0.2796727793431656,0.41056499845279015
white colour,0.19169246615191396,0.4286069668431544,0.5862631304852386,0.5801371396255582
grainy,-0.5697079079446077,0.10837393472059617,0.5302067891027631,0.47464193024602874
crystalline,-1.210796822239614,-0.07398013163043086,0.28999491794337345,0.5158948571664685
"straw, fibrous",-2.2387343912292836,-0.6913165834131201,0.20501124167632626,0.2740790637291838
cloudy,-1.044259038376858,-0.08556939947881732,0.3695187164946242,0.377762806938846
small,-0.5972589483141286,0.15994997273081285,0.6300356802272065,0.6189588812113143
"beige colour, tan colour",-0.4460200781920366,0.24395736285590192,0.4520190477806699,0.3323496532886373
viscous,-1.2498861565160175,-0.34184218554286155,0.017615242200084792,0.2374735026239982
black colour,-0.3622057310321676,0.12082140919874047,0.12935062905298755,0.037808309792202933
brick,-1.6417468250843084,-0.3775347816474223,0.02349919064036382,0.34970435885130413
swirly,-0.6451594468176212,-0.19090580875174684,0.40491521118557927,0.39794844607986196
maroon colour,-1.1508182929689497,-0.3483443504489372,-0.05282649761201661,-0.44225865430915723
"lines, long, tubular, vertical",-0.8071418368746428,-0.18716502287922354,0.37690819046772484,0.42325596657114223
mesh,-0.7506228604249731,-0.16292275991015323,0.540671878362623,0.3961302750781048
yellow colour,-0.10430562248703698,-0.057606450052157164,0.21883718406586547,0.06318684338534777
multi-coloured,-0.6368758497832319,-0.10609378132603409,-0.058522394453650275,-0.04287601065595612
thin,-2.6047527791225162,-0.5666772082424995,-0.26378932858412785,-0.5617547381096453
bulbous,-1.1286667587573216,-0.967114564432557,0.045386237230849814,0.2510719038168689
green colour,-0.5506020274821577,-0.21837381972471848,-0.2345209396145052,-0.3994878222709501
blue colour,-0.4384387552198145,0.09654866529631749,0.18588141541733047,-0.012523353434353336
shell,-3.923712815331662,-1.0725564050349616,-0.4305478877974074,-0.6026515250566089
"gemstone, smooth",-2.963663810195276,-0.9305118402911482,-0.2711961387856266,-0.08129102229263496
sheet,-0.8091043495166556,-0.44477137504868525,-0.3756225087196116,-0.7311813416642068
hair,-1.0667082295453676,-0.6449783051993775,-0.3573804664832248,-0.4481266088606349
spongy,-2.8488993623988565,-1.3808106644367881,-0.9805569846182773,-0.4631005144224828
golden,-1.3382530188626256,-0.37782748660816357,-0.16938454664973945,-0.15744763849205778
red colour,-0.7413882342917124,-0.8703107801241247,-0.19399918309673114,-0.5828735762674947
"round, smooth",-4.424183598168666,-1.2878169582178747,-0.6112704088760417,-0.4418842987673045
cream colour,-1.6656758092683888,-0.7934917443742143,-0.77848585228384,-0.7124545899078074
bumpy,-1.9048878919203296,-0.5609220702985707,-0.29420297162488024,-0.2586843926243915
hot,-8.374972517399998,-3.1734331193475804,-1.8050643281336327,-1.2743490155612247
turquoise colour,-4.022663917643763,-0.8463029210868841,-0.7821783717658277,-1.2873862221292074
