dimension,V1,V2,V4,IT
mineral,0.3987917058393696,0.578402468455612,0.7353391658840607,0.7408440897849118
wood,0.4214058410067135,0.6307651313207259,0.7528777363426454,0.7747039198174892
metallic,0.3540479214487351,0.31650081485098047,0.4433702893662133,0.5045925155471636
fabric,-0.10378445188371552,0.12145319205384135,0.41718746896336567,0.5362501125997362
white colour,0.6859700802797569,0.7095317330750146,0.6750468536233847,0.6398669601003343
grainy,0.36165918372940375,0.5607124159388708,0.692858103051725,0.6398052029773998
crystalline,0.05362696285210348,0.22868264859420892,0.4732819123008503,0.5516703383322138
"straw, fibrous",0.11217215842759756,0.10086511228730792,0.462515191199396,0.5255562171266365
cloudy,0.019237465023712496,0.19588299466172865,0.5196416823547632,0.5385516385325461
small,0.17404653297574169,0.34217538068772135,0.6350143639870954,0.654671901423015
"beige colour, tan colour",0.5402948225347582,0.37971046093379873,0.4203677246193034,0.42428891025564736
viscous,-0.06328993614816973,0.007126944823062209,0.18844480641283326,0.20779080497715804
black colour,0.4672383810759085,0.38981836256690133,0.2703733696861309,0.20379626607800247
brick,-0.06076674548957053,-0.06743938814059669,0.17570361211792496,0.4133713975630725
swirly,-0.09788992696774083,0.09877045629197251,0.4493658979103527,0.47058079153290205
maroon colour,0.29354097545505875,0.08626340872032616,0.09177066725245822,-0.21517557141549393
"lines, long, tubular, vertical",0.0715835913499744,0.14047659806760024,0.37983341724900255,0.43102291955001804
mesh,-0.03160867002432986,0.20570956287151337,0.5628402587924728,0.5379679487379215
yellow colour,0.4923300081069824,0.3810086769124054,0.1843468032726765,0.24237306903385175
multi-coloured,0.032010456679268454,-0.0010538848480212248,0.05676140676081991,0.17461025684725975
thin,-0.16274942834445064,-0.1847125059714771,0.0034112901453646318,0.11070821680313117
bulbous,-0.19814602097880069,-0.1112856643026228,0.21481166550064193,0.27723524206385985
green colour,0.3115916177599899,0.19028283737128768,0.17890136993811004,0.09219399259752116
blue colour,0.43640417078900295,0.27538871496841066,0.21923828669775713,0.2353752769393004
shell,-0.23273241707938216,-0.23818403950591197,-0.2915144470133946,-0.0679345340696008
"gemstone, smooth",-0.43593732871143026,-0.46071724443304995,-0.17100897595990694,-0.09411914513697994
sheet,-0.3165892780105767,-0.2478762681926027,-0.11431431650787363,-0.20702153799427997
hair,-0.16455878735612622,-0.13844457326829743,0.0683878694747552,-0.20676795286898475
spongy,-0.5715431550817563,-0.552395060556607,-0.6678548777804268,-0.4512537905951822
golden,-0.07482702378643172,-0.08875847936445255,-0.09594743301417706,-0.17385457062143614
red colour,-0.11444565166564227,-0.3635441695848173,-0.2796123442259749,-0.23829071971686888
"round, smooth",-0.5493829470810643,-0.5698467848276647,-0.37449715884746376,-0.11091131432302573
cream colour,-0.3015421238544912,-0.46307287617894344,-0.5228708906457491,-0.38256681261961206
bumpy,-0.3121068596731834,-0.29572196206776896,-0.19574235011870772,-0.16040747457109078
hot,-0.7831049205536236,-0.9893412310784955,-0.8835174207407602,-0.5531448167492649
turquoise colour,-0.7873240890779891,-1.1301550294186584,-1.1533532686024672,-1.2389352680383976
