dimension,V1,V2,V4,IT
mineral,-1.4158760498645577,-1.177521791626023,-0.903099363109533,-0.9018182003855779
wood,-1.210049039906234,-0.9255077167745664,-1.044918371307951,-1.038844949778917
metallic,-0.9715643631351281,-0.9288017548932763,-0.7424063972475226,-0.8002190910874212
fabric,-0.7826606767964095,-0.7026487931016712,-0.7635209856041938,-0.6328958498600479
white colour,-0.38036270782200376,-0.6573814316729758,-0.7515931177029862,-0.5315139197934788
grainy,-0.6859621713597899,-0.6949057398844032,-0.4740903055567429,-0.6114873059569925
crystalline,-0.7895472661055936,-0.625152271821207,-0.5704969357487981,-0.26073987147930544
"straw, fibrous",-0.5751910888252343,-0.3967616033840409,-0.5297028265762154,-0.45002636940603047
cloudy,-0.6591578122940414,-0.5665045756993039,-0.6224837757049617,-0.5614824910146006
small,-0.48893417442798937,-0.2580694842738096,0.010917021959217177,-0.11167465564778256
"beige colour, tan colour",-0.36693950266612774,-0.3496743527576194,-0.24586152842365672,-0.5744127505852514
viscous,-0.45822350123989786,-0.4858861962419374,-0.3668780089441921,-0.40750902549115886
black colour,-0.4745919735997586,-0.453273934482163,-0.32686963430841254,-0.4332789598467046
brick,-0.5619050085367108,-0.47465084472944663,-0.19275624812728775,-0.41689617067954154
swirly,-0.6381933953013106,-0.5900930705500957,-0.403830494627031,-0.5219654036055088
maroon colour,-0.27726560457598914,-0.11325511710147085,-0.04164963181128156,-0.3467841344822755
"lines, long, tubular, vertical",-0.3102741544567966,-0.48542160561043723,-0.30578243405888017,-0.26880030502965657
mesh,-0.42731386922501535,-0.3169864298639231,-0.19721493706226267,-0.012184090517157298
yellow colour,-0.11148373241549847,0.0034978980118390846,-0.21247043706849578,-0.23179649774657252
multi-coloured,-0.2038856002826206,-0.07617457564588825,-0.17781793965422543,-0.20379515748959198
thin,-0.47978367288282087,-0.4105806692717109,-0.3404943218109815,-0.37811314167820687
bulbous,-0.4682386962925651,-0.38994705564038634,-0.28066782423393355,-0.1820186935303283
green colour,-0.03719233329524463,0.06604312528484058,-0.23962143646364553,-0.03789810278340733
blue colour,-0.33466262452281015,-0.2676344152341763,-0.34251450657635774,-0.2844804653675068
shell,-0.41417257219238346,-0.3740168638272907,-0.2533454734708287,-0.26324995993026734
"gemstone, smooth",-0.40656490361878883,-0.3354622137273464,-0.1385655200988003,-0.10818037365668531
sheet,-0.31767509608574085,-0.3235334163614707,-0.3054912838627768,-0.25887905664882904
hair,-0.3557014739010511,-0.3164343645739385,-0.33851812158862016,-0.34222230258958586
spongy,-0.3503284959432087,-0.30034918901084495,-0.35892117931340395,-0.2720117490629246
golden,-0.34876922644868436,-0.2659379271187854,-0.26760344054740126,-0.3326725482734658
red colour,-0.01719373803808999,0.04230403103004077,-0.05084750854734876,-0.08449931209435957
"round, smooth",-0.28743956505226187,-0.2862467789338068,-0.08890850271094708,-0.2104858125231177
cream colour,-0.25507063366713445,-0.24195333280571507,-0.23688195710747095,-0.24051961625341156
bumpy,-0.36618659400991316,-0.3134130286901835,-0.2729133622332147,-0.19988310173130874
hot,-0.18709815244344696,-0.1513586495321153,-0.15252885092205437,-0.1454193240389665
turquoise colour,-0.2210725770923323,-0.14470404899596367,-0.1937850731257187,-0.1918793211597425
