dimension,V1,V2,V4,IT
mineral,0.3209089012246388,0.5047770581422598,0.7105520638800481,0.8041735317459573
wood,0.39267697228701304,0.5803199221865804,0.7682986948160743,0.7676591676125453
metallic,0.4043943983950311,0.44972202573152575,0.5363062308967049,0.564558436584307
fabric,0.07021061614573931,0.2303417458029683,0.5644694042294247,0.6893210624962064
white colour,0.6200623888256078,0.5983080040435489,0.6400830571622118,0.6230340654331559
grainy,0.3450620244934287,0.46943997690253003,0.6465627987917621,0.6156692325404167
crystalline,0.012630696363783,0.2563148121255656,0.43426362394455054,0.6365371480644721
"straw, fibrous",0.18549002654402358,0.31279743088252376,0.6214920601178017,0.5584799151155798
cloudy,0.06567302634050742,0.17569427653669933,0.5111521723668097,0.52216571937641
small,0.2581876180483531,0.40601696417198263,0.6996422922484441,0.6884518230371413
"beige colour, tan colour",0.4887858147538905,0.509684014103871,0.5736917408342352,0.5401413690244814
viscous,0.07064379563783574,0.08725515722224197,0.31010861546573976,0.4032907697660152
black colour,0.40719110141146264,0.34405087918700805,0.33268810780674785,0.2569549531873061
brick,-0.0011791475870823742,0.0732866068018615,0.4473568736786646,0.568365083882381
swirly,0.016109292502194617,0.13040683379216178,0.5187604153437857,0.5030217454050323
maroon colour,0.5262754366600557,0.5388875767949012,0.521136222207427,0.33198447783870777
"lines, long, tubular, vertical",0.1678939217345915,0.26571326480343715,0.652957699499037,0.649788135363714
mesh,0.12633369392946203,0.22471898399995516,0.6500499939555426,0.5590417419645219
yellow colour,0.6123791544442174,0.4481276254384049,0.5159781563186195,0.47768329665704024
multi-coloured,0.29323056674997794,0.3844370851983797,0.3832633426158921,0.37258631408219967
thin,-0.014154127816511597,0.0844067514017075,0.23169798596757785,0.21760321597372667
bulbous,-0.0049286524757459205,0.07994029692831184,0.3396231116822438,0.48174119592342346
green colour,0.4594250705404417,0.511000842693664,0.37198943489560343,0.33539791757120185
blue colour,0.3321937913949069,0.3170492557134045,0.2749690248990069,0.21923232140520177
shell,0.05297781552602554,0.11903893650958797,0.21745897169917616,0.32872275844692556
"gemstone, smooth",0.0542313863587236,0.13360906681547036,0.36523492838532,0.4826942778248067
sheet,0.0800562357957314,0.1125312484253227,0.21816784460537608,0.20883500380550657
hair,0.05187472558168771,0.07398478186570212,0.1564219803164132,0.20593045570868884
spongy,0.01010651828235587,0.028476670453789654,0.12660492748315433,0.23504585254574817
golden,0.10806690064142155,0.11934172901007001,0.14864010039282938,0.14005498315316767
red colour,0.4355072905869909,0.3938362392217487,0.37076680811556206,0.3153421184064735
"round, smooth",-0.002538055567445907,0.03557184168359795,0.2743120922338427,0.344752097063019
cream colour,0.10536293438055,0.10382013454870798,0.13688942418788508,0.1552664426630329
bumpy,-0.00226985542020941,0.010075692895789468,0.15139073677598036,0.1357009117877951
hot,0.09805555615571604,0.06839122550260324,0.08373391331381708,0.35149365788589315
turquoise colour,0.1438986334446264,0.10377305519714908,0.044709586186277295,0.012708917430622413
