dimension,V1,V2,V4,IT
made of metal / artificial / hard,-21.002245827983092,-63.10514250756047,-12.480212216204036,-2.018003050569635
food-related / eating-related / kitchen-related,-15.1862368346601,-34.5087542719397,-9.426904311157442,-1.2313429640551057
animal-related / organic,-20.28549738801641,-37.59671157937857,-7.212699901767367,-1.352658720982011
clothing-related / fabric / covering,-21.473350745688247,-55.7030942307184,-12.413166523602438,-2.2598175541911023
furniture-related / household-related / artifact,-25.699238963075057,-65.77509441757502,-15.059254198974283,-3.2260431101163096
plant-related / green,-11.582730125639772,-24.3284801711149,-8.712598316771679,-3.1209435434661073
outdoors-related,-15.909065992493968,-59.368176582090385,-17.122043568323495,-3.6376841060252803
transportation / motorized / dynamic,-9.42680356507216,-38.76294397739118,-12.071447583423014,-2.6324921245301054
wood-related / brownish,-23.8458164386115,-86.9674796447761,-18.799972892602504,-3.8430803077927793
body part-related,-29.035071044838272,-91.78553140913702,-10.920523436460767,-1.6538095264576969
colorful,-8.981943228529236,-43.45475957683235,-12.192026138984106,-2.764529581037132
valuable / special occasion-related,-20.735797384494486,-61.03310352155839,-17.422819345299565,-3.5100666663557973
electronic / technology,-20.022047177547876,-69.65722258533036,-14.279435988199772,-1.967882921509097
sport-related / recreational activity-related,-17.890567257951293,-63.221124032176746,-20.762025431008816,-4.34125313447922
disc-shaped / round,-24.469159389946878,-68.24017160896842,-12.408656455945014,-3.3825298350116713
tool-related,-29.30629598521545,-103.79354477728447,-20.59373856437721,-3.6023646209821507
many small things / course pattern,-9.93616608431759,-30.08590161106591,-9.37579623763332,-3.2670694758128054
paper-related / thin / flat / text-related,-27.893038584427416,-86.49787928305369,-16.506960575495306,-3.6080149842929323
fluid-related / drink-related,-27.42740862957333,-82.22675485700891,-14.927262420959195,-2.618272928450709
long / thin,-28.285259848525143,-129.11882935560843,-23.307246995837158,-4.505957826739473
water-related / blue,-26.69746773529619,-105.4080791130572,-26.504904163563733,-4.851837513676274
powdery / fine-scale pattern,-20.21727682918289,-68.36741016024911,-26.940139400430674,-7.851241307403496
red,-12.063251375452031,-44.22613445025,-12.995644948540393,-4.404169397718873
feminine (stereotypically) / decorative,-25.28304384091323,-73.12644297349058,-19.662293006568536,-6.141163185759736
bathroom-related / sanitary,-37.446102552016264,-176.3718992922818,-32.56616210143715,-6.08989624305061
black / noble,-32.18557952796176,-119.13165356603088,-23.83738577164783,-5.958098334634834
weapon / danger-related / violence,-22.92704843149758,-100.85450429609479,-24.61132000449074,-6.508463946255481
musical instrument-related / noise-related,-14.910705377237866,-66.68890323262863,-21.834333724003717,-5.015642307854417
sky-related / flying-related / floating-related,-24.188369543587555,-114.89550132677864,-24.719264263110187,-4.065335319854687
spherical / ellipsoid / rounded / voluminous,-30.20811629738564,-74.53804626118007,-19.725624404954253,-5.4334195807448085
repetitive,-15.934691664607787,-57.46086019805654,-23.369443394893803,-7.7896324128154575
flat / patterned,-29.3606410099537,-134.00864301018458,-34.07512174083114,-7.995581947395696
white,-29.750493540289174,-86.40415458073257,-27.79727867350845,-6.029135679366065
thin / flat,-36.68355228985505,-142.12908997739655,-29.51786981258816,-6.732321369955247
disgusting / bugs,-32.41120032653105,-104.08166160227637,-31.2726863772005,-5.6797724695551475
string-related,-24.487324057086738,-90.64438065539093,-28.860282907537165,-5.470479330311005
arms/legs/skin-related,-37.45050531793111,-177.1883563890832,-30.612256659005347,-6.618634687490397
shiny / transparent,-31.162088088253938,-102.99553946484902,-34.46264141691847,-7.06926128571026
construction-related / physical work-related,-22.97400197074261,-61.61119433524913,-21.082256141409346,-5.800956259068328
fire-related / heat-related,-30.095892832554288,-176.16822085856046,-40.167252784990175,-4.475117125917601
head-related / face-related,-34.11083966084729,-82.09812231268779,-16.907828627039354,-4.303554939163621
beams-related,-22.381357646542224,-107.42075374129206,-23.946129327315166,-6.268050313500728
seating-related / put things on top,-18.595790463387022,-44.41951207058194,-18.088183927931414,-4.519574968354444
container-related / hollow,-23.492670287627323,-63.47316505371053,-18.604880641141484,-7.406314393802575
child-related / toy-related,-24.641207058099152,-64.11189544725595,-18.68255191794884,-6.958556635979182
medicine-related,-34.0623960900617,-154.33427736330793,-41.13010664595946,-9.342956858424
has grating,-19.671704469819,-72.119481962724,-26.494587892894337,-5.7236597826773865
handicraft-related,-22.317947452492295,-70.46160017180311,-21.565824835617832,-8.473477006346844
cylindrical / conical,-36.21113744198658,-137.3224314313773,-29.57604206334915,-8.440211645896646
