dimension,V1,V2,V4,IT
made of metal / artificial / hard,-4.643608329384151,-5.730798485915275,-4.934557066518769,-3.780800995316098
food-related / eating-related / kitchen-related,-2.3261069416199343,-2.5586555771788584,-2.6217789790999553,-2.2391675649187532
animal-related / organic,-1.9145059041982933,-2.109109260172422,-2.2339113038526874,-2.0741997813767026
clothing-related / fabric / covering,-1.8378368704213939,-2.5218252124750986,-2.370630804358954,-1.3301789499094614
furniture-related / household-related / artifact,-2.072484900446895,-2.7092990827815733,-2.078196492125344,-2.6285007624728642
plant-related / green,-1.6919661099285133,-1.7815138025532504,-2.1794269036714637,-1.6740609557408153
outdoors-related,-2.2601473123429368,-2.6172622187647345,-2.367579314319557,-2.1862532267437005
transportation / motorized / dynamic,-1.5625130182980933,-1.8883396798885652,-1.6336694795464073,-1.702568254105107
wood-related / brownish,-1.9940448672483977,-2.506430476760882,-2.183294412724977,-2.136209152060118
body part-related,-1.5791312154672985,-2.1503145205364733,-1.9429773660683023,-1.321593433640949
colorful,-2.0303311455647184,-2.534309886232239,-2.535149697007927,-1.9997378854895622
valuable / special occasion-related,-2.2714868285272893,-2.700793462068454,-2.2211179825665854,-1.8002901605329962
electronic / technology,-1.7227611941913188,-2.3120894381996653,-1.795809887738748,-1.6704771585871878
sport-related / recreational activity-related,-2.1281822537368704,-2.3531331231114403,-2.1101592108975353,-1.8838133165915658
disc-shaped / round,-2.052974262594598,-2.420956511698869,-2.0279419807902666,-1.4866327596746678
tool-related,-1.4740752423711019,-2.0371241465362644,-1.9640729662753253,-1.2743864223786678
many small things / course pattern,-2.0918861685260044,-2.1831022327109006,-1.9725388320117152,-1.889380127979353
paper-related / thin / flat / text-related,-1.8624317870407885,-2.073524416481243,-1.9610355453013795,-1.6309859838988565
fluid-related / drink-related,-1.6643374063026268,-1.9439646956491732,-1.7629174979378566,-1.3791857813996886
long / thin,-1.7282082438772144,-2.0853183692257957,-1.7351997744737826,-1.3455348306989867
water-related / blue,-1.5330834630211858,-1.8364323905312192,-1.650895710955417,-1.6611383749763773
powdery / fine-scale pattern,-1.717182896398226,-2.1220606052329263,-2.0134092001010475,-1.5178960894543696
red,-1.3182308704998738,-2.0132958184861005,-1.67552017667713,-1.322196032814992
feminine (stereotypically) / decorative,-1.7924436688766017,-2.0899658575313893,-2.065638221472883,-1.511634485517345
bathroom-related / sanitary,-1.3721763292647897,-2.083354807060637,-1.8263717950430873,-1.5767559817912513
black / noble,-1.5533749815630098,-1.9644277443667533,-1.84226069285813,-1.4706791621353448
weapon / danger-related / violence,-1.4637321080225076,-1.6875980280964034,-1.5854865293167193,-1.2915285711824294
musical instrument-related / noise-related,-1.443952412319231,-1.7833565688732325,-1.539492113525316,-1.2958065609360263
sky-related / flying-related / floating-related,-1.5228230530349465,-1.6514962827771082,-1.7470223720727955,-1.259330703386012
spherical / ellipsoid / rounded / voluminous,-1.4707308698417156,-1.9778972292988342,-1.6918942798873102,-1.2637277653608372
repetitive,-1.5675119971101266,-1.871127387128873,-1.8165529872086061,-1.5041774864966135
flat / patterned,-1.5057618826720067,-1.9481577377926538,-1.5958584247323495,-1.394363139328254
white,-1.3617966141028592,-1.7137069635770508,-1.5516430940532389,-1.3473656889019776
thin / flat,-1.319765597968161,-1.8948404387729294,-1.6474191803254778,-1.4097849563152614
disgusting / bugs,-1.465732152127737,-1.6665269552590058,-1.5449450226833399,-1.3615879621184064
string-related,-1.3962210965163808,-1.7194825315790299,-1.5715583329138236,-1.1778510287369524
arms/legs/skin-related,-1.212101383664593,-1.7148239689239975,-1.522695250505206,-1.166659784181725
shiny / transparent,-1.3419068639076155,-1.8017629869190483,-1.6879077350995182,-1.4635823560998658
construction-related / physical work-related,-1.5025317374960094,-1.982143796349915,-1.5883502312069115,-1.521712418863538
fire-related / heat-related,-1.2433940756802997,-1.4616229081163712,-1.4502121501386482,-1.3041268554255412
head-related / face-related,-1.2228412104811381,-1.7021924228570544,-1.5023579380422265,-1.1588692842746902
beams-related,-1.334094320823234,-1.617299388798076,-1.3796703179961476,-1.2375775222395604
seating-related / put things on top,-1.493382285643447,-1.615177834081328,-1.4481047120501795,-1.4747591026439308
container-related / hollow,-1.4482606876130997,-1.6692118578187078,-1.4353119013314743,-1.3155263932865857
child-related / toy-related,-1.3769187942236676,-1.5281907643724768,-1.4857619521635628,-1.376151320008642
medicine-related,-1.163386687000311,-1.5885505255413856,-1.5393019214411012,-1.2997432220123089
has grating,-1.425895791975547,-1.4667380848174494,-1.3241402204060728,-1.1681117431419374
handicraft-related,-1.4163383590941123,-1.73158129892885,-1.4458248608664586,-1.3674528546131666
cylindrical / conical,-1.2457004403549985,-1.4308045375293168,-1.4463487680904819,-1.2032094852613064
