dimension,V1,V2,V4,IT
made of metal / artificial / hard,0.24495675968865696,0.2649144253992831,0.4739784901552945,0.6674544010123472
food-related / eating-related / kitchen-related,0.3126344505483879,0.3174981720141936,0.5201096159372482,0.7295603875506227
animal-related / organic,0.2688178088292005,0.257867664895225,0.5944850377376358,0.7217013743268191
clothing-related / fabric / covering,0.0891045595720563,0.11645075925843529,0.3311583887614303,0.5557545914428466
furniture-related / household-related / artifact,0.2321015632509698,0.2844396015445632,0.4493736800866774,0.5625168181855691
plant-related / green,0.31630927358653016,0.2910056033227813,0.47736466563103086,0.6447271339981429
outdoors-related,0.19124857293449038,0.21287097396392518,0.408592200399888,0.5556585441275644
transportation / motorized / dynamic,0.15682556462573333,0.1602411677401771,0.3524098432629363,0.5715133983964674
wood-related / brownish,0.13203038678479356,0.11194155334636884,0.22276882353459854,0.4200329978539366
body part-related,0.10494985556769527,0.10320052919575065,0.4127360028057133,0.5832758092302963
colorful,0.22707669670903866,0.19368955870571797,0.28684349637072737,0.44426007380527344
valuable / special occasion-related,0.0676178434040506,0.07336565150761666,0.15063702042708527,0.3734511869880149
electronic / technology,0.12295168263683372,0.14813629015040522,0.28655716114472163,0.4932300958101184
sport-related / recreational activity-related,-0.039890789170211924,-0.036227663393568865,0.03255276516176947,0.20829524993209603
disc-shaped / round,0.014865454783632392,0.08514736895109958,0.36407741159880164,0.43525198482075134
tool-related,0.06706372171352834,0.12275052991793807,0.24703764498327643,0.4365144739621301
many small things / course pattern,0.10074253414237724,0.14711073079322387,0.35859822839216315,0.46727894321143754
paper-related / thin / flat / text-related,0.022240815863859766,0.07315926458354491,0.2498494690025635,0.4205240585063253
fluid-related / drink-related,0.008165502148584325,0.03405268495846002,0.2440648713738962,0.47584516686667044
long / thin,0.0471923199954047,0.09968333860799035,0.3185107850730895,0.4288698628153244
water-related / blue,0.02009103481061757,0.009578396449211723,0.08854354033770294,0.2931803826810036
powdery / fine-scale pattern,0.07818488124039172,0.06697298482126868,0.23889535034843257,0.2723306945196692
red,0.3384978683466068,0.20193834174316425,0.18614451953973726,0.2818392919684972
feminine (stereotypically) / decorative,-0.03823159163634425,-0.04403617544458829,-0.0015680196667958945,0.20222494666715832
bathroom-related / sanitary,0.029531609970941352,-0.024487895537849302,0.026071678089452967,0.11483357287250726
black / noble,0.09098897076464083,0.018191147600156388,0.050575618740754245,0.16542306639475246
weapon / danger-related / violence,-0.07623627476946856,-0.08854186675306382,-0.030880884815691068,0.0990993574370855
musical instrument-related / noise-related,-0.034890658305961275,-0.03677899945658471,0.0008233449488877276,0.07612283521363775
sky-related / flying-related / floating-related,0.12809098968756924,0.10609217122716266,0.26466955341511045,0.31636217985299636
spherical / ellipsoid / rounded / voluminous,-0.03987384818051409,-0.05044583806622761,0.09857197674286593,0.2846840671884543
repetitive,-0.008806136254730933,-0.02007934465121024,0.11909488364471621,0.17557490554822644
flat / patterned,-0.027043791351785473,-0.0252276659799198,0.14152835240640288,0.15901060686293356
white,0.07625188694394086,-0.022398115449855094,-0.01160967737635824,0.09919018612848989
thin / flat,-0.0006287083953404382,-0.04156076683484722,0.015479374458726103,0.11498592087152242
disgusting / bugs,-0.07680191632703352,-0.1197093246574962,-0.02886006762334863,0.22180108610547605
string-related,-0.15674750224610665,-0.1521919411976586,-0.08008776327400242,0.15640998029765874
arms/legs/skin-related,-0.15186511743506342,-0.16723221193442991,-0.07449269288187671,0.08201044540561091
shiny / transparent,-0.13529896766075694,-0.14107801865851294,-0.10030573281301995,-0.03067162064310064
construction-related / physical work-related,-0.14926764897829983,-0.14248669525571006,-0.09627889216470212,0.03540353404814127
fire-related / heat-related,-0.1416580411411919,-0.15887121018868108,-0.12346965708172637,-0.034081120289001156
head-related / face-related,-0.10918837384353008,-0.14786687806208576,-0.039695111648281,0.07801359532893183
beams-related,-0.12390958601894327,-0.12314502903290472,0.025086654938591045,0.15706841295780433
seating-related / put things on top,-0.28814907561199266,-0.2919532759812687,-0.1783070744561087,0.043442044596381325
container-related / hollow,-0.2613949886590004,-0.2630954443259757,-0.19092845690057575,-0.08960892766851618
child-related / toy-related,-0.2454491967335391,-0.2878137384508888,-0.24017737491566876,-0.14897350838624057
medicine-related,-0.29858756460399233,-0.33196426666453566,-0.32030578312312236,-0.29269350237765873
has grating,-0.23855824199186984,-0.2146451696048576,-0.16275463671000007,-0.11072008143457754
handicraft-related,-0.2327561163685207,-0.24563983655711094,-0.2117574799163151,-0.13836959133898075
cylindrical / conical,-0.38420961621540056,-0.42128552108319417,-0.40959451629680077,-0.33673875680479953
