dimension,V1,V2,V4,IT
made of metal / artificial / hard,0.2620141039903869,0.3172505315706429,0.5446835382468576,0.6980222297303162
food-related / eating-related / kitchen-related,0.3497797132171045,0.42479913761268806,0.5972101359837902,0.7457571154120854
animal-related / organic,0.3061388557658391,0.4084319410109085,0.6927344773117066,0.7703093950660492
clothing-related / fabric / covering,0.07165246307328735,0.16052844836245533,0.4131563909584684,0.591724911316782
furniture-related / household-related / artifact,0.269990839694667,0.33813855520387515,0.5220552499871318,0.6115970470444315
plant-related / green,0.3965925424652693,0.39081252740635175,0.5849369335521865,0.6816895074269694
outdoors-related,0.19789977670884898,0.23754631130587125,0.4875646961509257,0.6054046021755328
transportation / motorized / dynamic,0.20889279142373351,0.2637989975370459,0.4894955044113197,0.6551558377995252
wood-related / brownish,0.16005518418604128,0.16547320037772845,0.306887456189305,0.4641584019366026
body part-related,0.09935772303385033,0.15586938367035966,0.5300805867933479,0.6497217053163674
colorful,0.25613880882497275,0.25341411693150656,0.38502194893735686,0.4868534707884752
valuable / special occasion-related,0.08080958999483455,0.07876154442404987,0.17861586952365288,0.41148888320916166
electronic / technology,0.12071202103453302,0.18079686299140205,0.3485637198823291,0.5358379221884952
sport-related / recreational activity-related,-0.028714076895682505,-0.04335899589351459,0.05913334379448891,0.2506771774381359
disc-shaped / round,0.009496107364016548,0.13226563980340494,0.4473940510897062,0.513482628004564
tool-related,0.07868987853125806,0.1401940177029996,0.27796696259336295,0.49288695009297473
many small things / course pattern,0.11597383224791954,0.20691712179644198,0.4533874899321206,0.5257419185876938
paper-related / thin / flat / text-related,0.029661120513135207,0.11318778494466283,0.3305134237199131,0.4738131968533567
fluid-related / drink-related,0.0007563769323963631,0.05642880998312545,0.3421773342730765,0.5520795179934114
long / thin,0.07674231400112767,0.15315089991545774,0.38612217861228953,0.47666182761015435
water-related / blue,0.03523337128043456,0.07447479019766505,0.1532125348883849,0.3669455250684528
powdery / fine-scale pattern,0.11934579941335581,0.12408821726090155,0.2893322544623802,0.3252388770390314
red,0.4112281684368601,0.2872473546016235,0.31196711353574175,0.3793833626005224
feminine (stereotypically) / decorative,-0.031735224704669586,-0.03686575544673554,0.030307275577125835,0.26389921779334813
bathroom-related / sanitary,0.03423365009274185,-0.013678465398100515,0.06865655285202862,0.1472573564193232
black / noble,0.11918191444454007,0.040010939669549016,0.09513904484455624,0.2126144857000789
weapon / danger-related / violence,-0.06544357328024021,-0.06735032331142496,0.0126480643023812,0.13703583404841385
musical instrument-related / noise-related,-0.014427112868527003,-0.010811069773104632,0.017619705755741698,0.12647376850021147
sky-related / flying-related / floating-related,0.14761173481048756,0.16653548852985828,0.3131274933592333,0.35149671217783063
spherical / ellipsoid / rounded / voluminous,0.0046264029145994924,-0.010606275470123772,0.19840832825178897,0.3449393018553537
repetitive,0.05246848631536993,0.05659630220600472,0.19993904598362935,0.2429622123728023
flat / patterned,0.006743051360287311,0.0228498260362772,0.1922211106641122,0.17125029711343404
white,0.0749972352671999,0.05153968892871258,0.04495667184546226,0.18164548788848672
thin / flat,0.015014168978498065,0.05380169802500408,0.0854143044587205,0.14930264331926962
disgusting / bugs,-0.025849406786648932,-0.033955479528954245,0.04517333669301341,0.28657125144400514
string-related,-0.12041347641819858,-0.14350360458430916,-0.015126212521998384,0.20521517181267984
arms/legs/skin-related,-0.12861041842693915,-0.08524070985979318,0.010147409511227567,0.173370011524635
shiny / transparent,-0.12166411239233385,-0.09287843628902163,-0.05593254899088242,0.027512754883165458
construction-related / physical work-related,-0.13665142392514,-0.11060762075665964,-0.054780684744192086,0.08614485035501827
fire-related / heat-related,-0.10668540549276799,-0.1057313102750003,-0.09275029554407269,0.0055657760127096004
head-related / face-related,-0.0885550335785399,-0.08449019217415445,0.057258365473108884,0.20632292533370764
beams-related,-0.050809306896555405,-0.047423865296152876,0.14556712373696384,0.24790618476499254
seating-related / put things on top,-0.23954036119605499,-0.20401293876849785,-0.09459438728262444,0.13139353789682895
container-related / hollow,-0.1920298481481301,-0.1959708216277956,-0.13219388515929023,-0.011688715962910923
child-related / toy-related,-0.17545235822907312,-0.20392747195974037,-0.17996748287906883,-0.08819272763173752
medicine-related,-0.2434427912017422,-0.26685878711153627,-0.2452755135209312,-0.24585555284028335
has grating,-0.1798632959513008,-0.08642678659413061,-0.10535803326346463,-0.028143130767678326
handicraft-related,-0.18780770026589305,-0.20729162656359254,-0.14913696924695222,-0.10164319923132303
cylindrical / conical,-0.28226071231616756,-0.3089035173488737,-0.320576718209162,-0.258524025215158
