dimension,V1,V2,V4,IT
made of metal / artificial / hard,-1.3126995865800457,-1.324052401474793,-1.067183306995621,-0.8367226743940213
food-related / eating-related / kitchen-related,-0.40678929260672136,-0.2601689609741715,-0.26344031070704954,-0.2537996194240095
animal-related / organic,-0.2550450374462836,-0.22256248992130523,-0.18528401365738367,-0.21958226475054343
clothing-related / fabric / covering,-0.3669297967306022,-0.4141201966101984,-0.272524747232495,0.02878184725684485
furniture-related / household-related / artifact,-0.49778265961912993,-0.434591629920289,-0.18214387559038547,-0.42513828136234544
plant-related / green,-0.1458651617388529,-0.04226547357150734,-0.22227629691760287,-0.18661078328419234
outdoors-related,-0.4058338312808636,-0.42777113973228764,-0.3685358027658918,-0.3716832849819658
transportation / motorized / dynamic,-0.1763596495796118,-0.16267349853395086,-0.07327029809683139,-0.0715972159941245
wood-related / brownish,-0.4172466816709184,-0.35976930340499513,-0.27421426493578593,-0.35385904392027356
body part-related,-0.2966340224767099,-0.2994349093064692,-0.1439288490299815,0.010679394903608919
colorful,-0.2854953063303207,-0.2979813963567959,-0.32816951939832917,-0.19639162731123427
valuable / special occasion-related,-0.442212988421814,-0.4243850002033356,-0.34474288011220966,-0.20171343041897982
electronic / technology,-0.2758000371342533,-0.29962768786375316,-0.12512481148804144,-0.10897533035435503
sport-related / recreational activity-related,-0.38400359574793086,-0.3863154465008056,-0.3511883878962536,-0.23774027902044925
disc-shaped / round,-0.4000691200801856,-0.3629188251682649,-0.15726600378626832,-0.12251227926954456
tool-related,-0.3089983216507426,-0.29737729459082707,-0.288634876223983,0.055033004841164246
many small things / course pattern,-0.31143790451680986,-0.22795806986840206,-0.1329617880775389,-0.26075100057642664
paper-related / thin / flat / text-related,-0.3383759836253346,-0.287288370934385,-0.2122884247696153,-0.1067513035648211
fluid-related / drink-related,-0.3252503590861626,-0.30103823274198915,-0.14926492420078108,-0.0019343441273642625
long / thin,-0.3542760939785292,-0.3141735858972192,-0.23591202674911105,-0.04191257472128607
water-related / blue,-0.24268115562552328,-0.23173701286373682,-0.23023194760947807,-0.16968290841504285
powdery / fine-scale pattern,-0.26528943009538586,-0.21889691569444758,-0.2497646709621284,-0.24206215684628307
red,-0.02394837873420963,-0.13934575495705914,-0.21303834144354816,-0.10544255306872374
feminine (stereotypically) / decorative,-0.3231864272815477,-0.32119819424054397,-0.2976287561626332,-0.157437400877539
bathroom-related / sanitary,-0.31673079408364413,-0.3201488811775799,-0.2989162162803154,-0.20110603513560843
black / noble,-0.2712529500851131,-0.28152766655208605,-0.28340425390649493,-0.20145236734352623
weapon / danger-related / violence,-0.23681065174197546,-0.23827517822623956,-0.21914116550878404,-0.13722420010686465
musical instrument-related / noise-related,-0.20316882085215426,-0.20828344589692427,-0.1716840913783626,-0.14496081380803627
sky-related / flying-related / floating-related,-0.14486088575762013,-0.18409955714209336,-0.18412408430798743,-0.04327980052386726
spherical / ellipsoid / rounded / voluminous,-0.23396715481397012,-0.22795498905573108,-0.19612460380637997,-0.08635183505158883
repetitive,-0.23472901106130428,-0.19315074781753472,-0.19171838396210505,-0.2504876982268478
flat / patterned,-0.25771852083104796,-0.2235067588916262,-0.19123788921455653,-0.18319004503491443
white,-0.2460595230351592,-0.2125381773961792,-0.2094399502744979,-0.17158902701106538
thin / flat,-0.25811850297825556,-0.23322640406270057,-0.22301434424596045,-0.12888320615116355
disgusting / bugs,-0.18050965081466663,-0.1507462557589745,-0.17732577679657457,-0.08946921648421702
string-related,-0.2283987307033315,-0.22705710029720816,-0.16806634957211952,-0.09215440075730053
arms/legs/skin-related,-0.2136837360723738,-0.21338245453735616,-0.1801991421093243,-0.1156705942092291
shiny / transparent,-0.24660479449934614,-0.24018576678059556,-0.2261274495413077,-0.18845797703768907
construction-related / physical work-related,-0.2505166790384483,-0.24609409665839976,-0.19998333954969905,-0.18023881667886332
fire-related / heat-related,-0.19025144312992004,-0.19208500723092503,-0.17044670697996556,-0.11708152866013344
head-related / face-related,-0.20254349517396775,-0.19802429822876988,-0.14425704187206478,-0.11819000278296787
beams-related,-0.17946605465019339,-0.1414876153121032,-0.09743374927453363,-0.138906297133367
seating-related / put things on top,-0.1882152564175894,-0.16897431353092718,-0.12012071950049541,-0.14381707358321538
container-related / hollow,-0.21111230289585858,-0.21110367615249492,-0.152107859468799,-0.17402264589761862
child-related / toy-related,-0.18511051725520566,-0.17490460626181026,-0.1527355089118625,-0.15311570220936588
medicine-related,-0.18087617556800928,-0.18221723183470706,-0.177593488503611,-0.13496419249801295
has grating,-0.15763005218564574,-0.09955578680310073,-0.1043817735860455,-0.11741599332108454
handicraft-related,-0.20970231249659244,-0.21451460529517807,-0.19833376662612623,-0.178052369833134
cylindrical / conical,-0.1860602603823509,-0.19196811589344054,-0.1872842036354776,-0.18167260064704105
