dimension,V1,V2,V4,IT
metallic/artificial,-20.485072034665894,-65.09777312884968,-12.553088130372132,-1.9500040254175004
food-related,-15.127299363161896,-34.01444003310227,-9.170003443580475,-1.1743608468318958
animal-related,-20.971553019285267,-38.085776572077386,-6.971864267823105,-1.1709352811636022
textile,-21.073259666637934,-60.33334473251851,-14.048972123593481,-2.6193165234248332
plant-related,-13.034358629987882,-30.467574896828154,-9.891423576320376,-2.8965710402121103
house-related/furnishing-related,-28.152898736553084,-62.75806069466845,-15.314502362487062,-2.9827591829372637
valuable/precious,-19.321958879364832,-72.78654776993889,-15.854875596456957,-3.38249251063366
transportation-/movement-related,-10.416728126088993,-40.307000819721644,-11.647870772486764,-2.3503048131996067
body-/people-related,-25.98539206062527,-70.17659821740135,-9.340496350367939,-1.2299083623735867
wood-related/brown,-21.68610114667064,-80.07992118127004,-16.947156427330846,-3.6483282728589126
electronics/technology,-19.84113538752207,-68.50429223710653,-12.773762856194221,-1.7765560710287942
colorful/playful,-8.571871450455934,-35.671671274610034,-10.672236945112713,-2.215989922330628
outdoors,-13.678323076393266,-48.48593692865139,-14.60696340962198,-2.98011568977489
circular/round,-23.609733231273367,-63.497061231515005,-11.283734150587907,-2.9530291799756094
paper-related/flat,-26.302055840832082,-83.36089240370656,-15.124631815374887,-3.130105065667217
sports-/playing-related,-15.676698228705124,-62.09898382621703,-20.244898121990985,-4.885941477451548
tools/handheld/elongated,-30.16881152621839,-91.43203869566382,-17.66215889200141,-3.0820993290947705
fluid-related/drink-related,-25.99960979750677,-86.18795717416668,-14.424403342339254,-2.693412941139515
water-related,-25.63544267857263,-106.84834780757878,-24.976243776775885,-4.2004617220126
oriented/many things,-13.76415007710238,-41.90575867527264,-9.47602321841294,-2.6004546199653387
powdery/earth-related,-19.12552438648087,-81.9894888137427,-23.958909302890643,-5.903172860824646
white,-23.884466896466378,-63.249803608227836,-18.348710832938828,-3.4557640331396913
coarse pattern/many things,-10.491398110479485,-18.668934844077175,-8.803993631546833,-3.769561476404218
red,-10.441718614731581,-35.62735731542691,-11.613861684280424,-3.6854633301049864
long/thin,-29.43106632385781,-111.75341932224916,-19.77897393192909,-3.3391862909415115
weapon-/danger-related,-22.965629575145662,-103.25220338352244,-26.307482427799222,-6.239621996614296
black,-16.60730372572918,-76.82640299882851,-17.82840763698682,-4.240978780720652
household,-30.38377483221729,-96.4853552601847,-19.560829660659138,-4.5747629170418485
feminine (stereotypical),-28.388401156376286,-92.13998404826035,-21.498974201793043,-5.381270747666848
body part-related,-45.79399191779644,-199.12079324160197,-17.905177955047883,-4.333830678321119
tubular,-37.88101379491748,-116.53939426783133,-24.038128471041148,-4.32541547121372
music-/hearing-/hobby-related/loud,-14.971077413511999,-64.45938911218268,-22.61695578294358,-4.527309583501603
grid-/grating-related,-21.110877838667427,-55.94688364660715,-17.156258334342798,-4.550381412057204
repetitive/spiky,-13.514507990700968,-36.86562341830722,-14.55906933017217,-5.415637182475752
construction-/craftsmanship-related,-17.608276382914482,-69.84897445323415,-14.696818430402717,-4.962395787346411
spherical/voluminous,-30.94513394308295,-70.85940182637533,-19.150888783354073,-4.329511914640386
string-related/curved,-24.45294906750063,-86.5508100465746,-27.166430517607605,-4.32698868086776
seating-/standing-/lying-related,-19.90514450187621,-59.8920585100314,-15.37619168574549,-3.03469887345371
flying-/sky-related,-22.95216610608704,-112.16750626395425,-21.940673163530956,-3.6752832986072796
bug-related/non-mammalian/disgusting,-33.59961836832858,-80.71530488808868,-26.064040438478116,-4.956568137114216
transparent/shiny/crystalline,-30.98627379179617,-80.4262060882542,-30.132959311201294,-6.3344768923269825
sand-colored,-30.50512123036411,-122.57694774868106,-29.178243504702714,-5.857729853617994
green,-10.078261575722557,-37.4595923554546,-10.989191961612296,-5.575988587308548
bathroom-/wetness-related,-35.70412095042479,-135.90296636781946,-31.06501203349726,-5.875966948076726
yellow,-14.271069391024515,-71.90106527752464,-16.02742399652169,-5.889272763644824
heat-/fire-/light-related,-27.127114089136192,-127.99014663058023,-32.991380645144474,-4.262259645764962
beams-/mesh-related,-18.056922505900673,-59.49891124642387,-17.10861831655452,-4.992119808139372
foot-/walking-related,-26.164044887008618,-99.56639384161141,-23.694501392091357,-5.327592731901086
box-related/container,-19.357785835077046,-60.599995798095705,-19.08526054528209,-4.918161021638873
stick-shaped/container,-30.92991213940828,-116.99806628574525,-25.35006785152083,-5.0601442767937925
head-related,-36.579864273883025,-105.12875409588001,-20.099485887651042,-4.402594731538754
upright/elongated/volumous,-21.564275615812864,-103.51351541745294,-20.18414882402166,-4.6806950536958025
pointed/spiky,-40.88730308230809,-183.92813918672186,-35.2028700145118,-7.578928295604143
child-/toy-related/cute,-22.01428793847022,-53.053971253658105,-17.423861468969378,-5.946748873897032
farm-related/historical,-19.002525710303683,-40.88018370101293,-15.42278716051403,-7.08227411755108
seeing-related,-32.87840171204666,-98.5208354930154,-24.041204923620434,-5.46074224456033
medicine-/health-related,-36.15126020675767,-155.36387380069877,-37.11048029338262,-7.8943050111744935
sweet / dessert-related,-21.70999498972196,-63.717518560391625,-20.680082118368887,-6.973758411942089
orange,-25.025083210181165,-60.67329470064043,-18.028470817492913,-7.40602694630898
thin/flat/wrapping,-40.34716344874397,-104.10195825903816,-26.764182713916778,-7.1113298125758
cylindrical/conical/cushioning,-40.28908760124158,-163.95116695744775,-34.274022399884586,-6.956590633602964
coldness-related/winter-related,-25.92355699457727,-113.02823411189938,-26.53323950699995,-5.761139748011979
measurement-related/numbers-related,-21.495790342876937,-80.38501540791553,-21.48727309298447,-4.265696693565686
fluffy/soft,-34.87976090135757,-137.64981881488006,-32.288867328280325,-8.438727859658195
masculine (stereotypical),-35.28789240693329,-136.84355048667655,-29.793222135352845,-7.466667973896197
fine-grained pattern,-31.114864380508934,-190.64257028703366,-61.22365219792917,-14.9642103008523
