dimension,V1,V2,V4,IT
metallic/artificial,-4.752496859244909,-5.865815358695715,-5.0933233632489205,-3.8981417716829574
food-related,-2.386361382866722,-2.689397234972942,-2.72991100324463,-2.2925534595383317
animal-related,-1.990328295290071,-2.1797632286984863,-2.2928372122733722,-2.1443259808896564
textile,-2.1191741070190595,-2.87634847079561,-2.638452678508468,-1.6828915763382182
plant-related,-1.9537994876966653,-2.1021646249148382,-2.422639336398033,-1.8920873050698566
house-related/furnishing-related,-2.1968888165045275,-2.8316444535225513,-2.180266270785242,-2.759773690052077
valuable/precious,-2.8016244566001793,-3.4836339827639273,-2.83918117510879,-2.408333434149539
transportation-/movement-related,-1.788509584982818,-2.0932249916977703,-1.9100840661335896,-1.9444550928588988
body-/people-related,-1.816318935740223,-2.429970776904872,-2.122891330418514,-1.4694993310807076
wood-related/brown,-2.2755703911061356,-2.80961787329294,-2.4504402865655073,-2.446161049085462
electronics/technology,-1.9852484126570307,-2.689731031700702,-2.0478484603707416,-1.941018857851672
colorful/playful,-2.3518536886609134,-2.8106383034276896,-2.903829935946114,-2.274010602751449
outdoors,-2.4262908668289414,-2.724591626737046,-2.705415766218014,-2.311318907908162
circular/round,-2.3977110071557326,-2.8776204381913235,-2.4100075933071805,-1.797808795575755
paper-related/flat,-2.279839354907027,-2.60190554669375,-2.423772231475851,-1.9711476993908836
sports-/playing-related,-2.3722288149804434,-2.5751072985579007,-2.3629681606835793,-2.0262181271960444
tools/handheld/elongated,-1.712963687908167,-2.284826452985027,-2.2626616784319995,-1.4941075458205084
fluid-related/drink-related,-1.8697238615582705,-2.1331596822884626,-1.9601474585999763,-1.5784392941649021
water-related,-1.7413737364152029,-2.0579473815555653,-1.8151412532982034,-1.760381772597404
oriented/many things,-2.4458307666931325,-2.6913210339597473,-2.315061454351465,-2.1850084231809217
powdery/earth-related,-2.2193826293610095,-2.6015215203374824,-2.2837342657196587,-2.056604071679486
white,-2.218260448139707,-2.4696282659731397,-2.3454609158697037,-1.978945147558882
coarse pattern/many things,-2.1375195809710243,-2.106655397519847,-2.0977449451094845,-1.618856939245843
red,-1.7179347478448581,-2.4221960139185357,-2.0721564060845274,-1.6836781351429244
long/thin,-1.9074052949049345,-2.2992151302352513,-2.0063535729344033,-1.6047809021516
weapon-/danger-related,-1.8008029522329134,-2.338624208046678,-2.026357881717592,-1.7420519059945088
black,-1.8438139742088038,-2.5099435709864815,-2.4367586933417638,-2.009350762803562
household,-2.0051152409626223,-2.423268514840923,-2.2675392410314497,-2.0437312756901385
feminine (stereotypical),-1.8740782574209844,-2.237907873504468,-2.2360683970187814,-1.7039244816185608
body part-related,-1.3053067187643181,-1.8650541184146228,-1.9478048952323426,-1.1936320077596645
tubular,-1.878440967596188,-2.1849652316740023,-1.9602820810350257,-1.6416498650833393
music-/hearing-/hobby-related/loud,-1.651783661012113,-1.9892764406804648,-1.7930395852707144,-1.5330886491551947
grid-/grating-related,-1.9616314105059245,-2.0448365635878916,-1.9579282329900454,-1.645637617742477
repetitive/spiky,-1.8425023639779115,-2.088554028365319,-2.084220946597092,-1.6651238179733605
construction-/craftsmanship-related,-2.2068690628643943,-2.3897428158224483,-1.977239772863844,-1.8254319076879155
spherical/voluminous,-1.7945239663955914,-2.2878560926502463,-2.0048071931369043,-1.519603141118723
string-related/curved,-1.8024087244065203,-2.1744332319337087,-1.9536567775763927,-1.4564349081479429
seating-/standing-/lying-related,-1.971529978539734,-2.1960487754271445,-1.8461441718342817,-2.029635745334907
flying-/sky-related,-1.638800226214427,-1.8901605769253482,-1.9575952676624424,-1.3970052189760054
bug-related/non-mammalian/disgusting,-1.6681875460599156,-1.8925681563074241,-1.828163645400839,-1.543028605126652
transparent/shiny/crystalline,-1.7550634407991068,-2.2372841574261026,-2.1106081064284408,-1.7518742599784507
sand-colored,-1.7526042647305435,-2.358686356739329,-2.0765627986056385,-1.8004717601567646
green,-1.263151812969697,-1.5986529852354758,-1.693501023225806,-1.4196661544111406
bathroom-/wetness-related,-1.4084376020965137,-1.9743816968843961,-1.955065851071447,-1.737582474028101
yellow,-1.71706861651601,-1.9011286388304605,-1.9178178966502726,-1.701275419272501
heat-/fire-/light-related,-1.4542280460729557,-1.7744698013873643,-1.634097028685232,-1.4383862156886376
beams-/mesh-related,-1.9284559537051584,-2.0767389931767792,-1.9139653734813669,-1.6779893067898182
foot-/walking-related,-1.5517320321308588,-1.8607257852986558,-1.6640813450967435,-1.548335454001474
box-related/container,-1.7685688845179035,-2.1560557688113295,-1.8481718927265511,-1.839502441777622
stick-shaped/container,-1.679833893363265,-2.0089727599171403,-2.05602368466303,-1.6502284351185352
head-related,-1.4482681561847008,-1.9654622968331852,-1.753784318866547,-1.4432476241079364
upright/elongated/volumous,-1.8492492636057722,-2.112740096468458,-1.6354908859399755,-1.6834754766184958
pointed/spiky,-1.5481335803978102,-1.94972207036039,-1.8203539184844528,-1.4486325526793995
child-/toy-related/cute,-1.7911329926863657,-1.9831828384457246,-2.042259820704429,-1.7945339911383313
farm-related/historical,-1.7432092699698498,-2.100587977174211,-1.95345243890959,-1.755023096074586
seeing-related,-1.4642856542597382,-1.891369057762192,-1.9244643260138838,-1.7198811406081682
medicine-/health-related,-1.4097027575205785,-2.101309152471964,-1.965310341118526,-1.5142887430803187
sweet / dessert-related,-1.5781680404263678,-1.9157462166371952,-1.87384072602361,-1.576174599358314
orange,-1.5789436932848377,-2.114521288957495,-1.7909593235254184,-1.5098625522990266
thin/flat/wrapping,-1.5588119989496558,-2.0775113444729665,-1.7814813023542024,-1.5720648394270538
cylindrical/conical/cushioning,-1.6037614986067177,-2.028495006353339,-2.0399226578659593,-1.8754074855529117
coldness-related/winter-related,-1.486388611609203,-1.8871330513066726,-1.7355870900160006,-1.6167706770076218
measurement-related/numbers-related,-1.6301095340187506,-1.7782794665267843,-1.7801722839972798,-1.271463253244482
fluffy/soft,-1.5391803981834893,-1.6902198771032713,-1.7687653173404656,-1.4761233614847673
masculine (stereotypical),-1.5660574011310198,-1.8511510656636192,-1.8484802516569205,-1.4489019998496602
fine-grained pattern,-1.1864656306898587,-1.5409903380056478,-1.3884523198075884,-1.1137308332395004
