dimension,V1,V2,V4,IT
metallic/artificial,0.059721769413105884,0.24914027811378886,0.4957242102835626,0.6715889650637447
food-related,0.15108180939331897,0.3782533712117989,0.5409280396820988,0.7155814210846908
animal-related,0.066167163210587,0.23792217722552436,0.6325939217560815,0.7200339905827362
textile,-0.04847436032057045,0.06578620294797154,0.32361351150666334,0.5200221984921802
plant-related,0.15209181639243882,0.29672045422457893,0.48637647039134757,0.576047876955895
house-related/furnishing-related,0.038578708977956365,0.2325881838964612,0.4714368675098937,0.5542028977475949
valuable/precious,-0.08848776832572795,0.04310672753066054,0.17446381590618404,0.45172817461009424
transportation-/movement-related,-0.08247000293731123,0.15315033553011187,0.41350013071547753,0.597645905880589
body-/people-related,-0.12977535624444253,0.02801290730366739,0.47608627379215135,0.644441734957602
wood-related/brown,-0.03194817178369236,0.08920080139747391,0.25188114209636475,0.4065423705287242
electronics/technology,0.017878470634530064,0.14128968467850261,0.33984464527498826,0.5713249695746423
colorful/playful,0.2054282438886132,0.30149520140505215,0.42253294452629364,0.5293558543097657
outdoors,0.15930423280426398,0.22777734111610623,0.5019626267958591,0.5794127417543831
circular/round,-0.19328724131106115,0.04692728152962759,0.46952383848989143,0.4964595362382549
paper-related/flat,-0.10395804029577557,0.10231219249221812,0.34590579947427097,0.4612363286979752
sports-/playing-related,-0.2747042860397594,-0.1032927333968133,0.0029155434819471025,0.18880332010179698
tools/handheld/elongated,-0.04735990445336585,0.10678567869132602,0.31373497225406494,0.538748616099412
fluid-related/drink-related,-0.22359503091140312,-0.06289201550366373,0.2770368094328381,0.5200975477590641
water-related,-0.17468737054613181,-0.0289879974150274,0.04193037030828212,0.3393008791042033
oriented/many things,-0.06085472441375104,0.09219791834312749,0.4002596748994753,0.46072752950154017
powdery/earth-related,0.031037478405891918,0.10804826356518937,0.2802064143663878,0.3433523379197444
white,0.14495981157933688,0.1765875611591197,0.27091827716544187,0.36437666980669686
coarse pattern/many things,-0.1710559897295178,0.17045717787797082,0.4802616262578878,0.4736445930337531
red,0.3906509699574324,0.3751441295620345,0.43530699199717954,0.45022385611677934
long/thin,-0.09944082655913108,0.10156948795311985,0.39290679261432476,0.5167523944481905
weapon-/danger-related,-0.21181897631775715,-0.08788348111006435,-0.03692229442404188,0.1377471332304712
black,0.16663556721717143,0.2005044022100563,0.21927414245407667,0.3031069301729913
household,-0.12174924174291424,0.01286944543190972,0.17439438912127514,0.31147821729772746
feminine (stereotypical),-0.14445598622781808,-0.00674907658467333,-0.0022846170559519983,0.22239648266493522
body part-related,-0.04828039040608473,0.042728966923188984,0.3187555027266992,0.4104250678869228
tubular,-0.24590609811393996,-0.003478254896634436,0.1760525862974311,0.33860272019530374
music-/hearing-/hobby-related/loud,-0.21053204844069678,-0.0942889091313487,-0.010267374780096993,0.09819553446460677
grid-/grating-related,-0.10505161754305274,0.16673968641739106,0.2987699780187197,0.32861085474836227
repetitive/spiky,-0.01550415661851664,0.08603216948154023,0.3226727604712291,0.33474694578499065
construction-/craftsmanship-related,-0.30402529696298564,-0.10740365514195463,0.002268651912513087,0.16789756384525314
spherical/voluminous,-0.23991431016326165,-0.04631840595098859,0.18021226446279254,0.3508660356318837
string-related/curved,-0.2884960604044983,-0.16738437110425508,0.02854180002121317,0.24666719554176955
seating-/standing-/lying-related,-0.24826315423830253,-0.1059201068290158,0.07252043053730708,0.33307649195611577
flying-/sky-related,0.01521172487871838,0.08904512734991281,0.26301057165364,0.3657650061005346
bug-related/non-mammalian/disgusting,-0.13899058944949977,-0.061806902743134794,0.03635978401807238,0.30831905375327795
transparent/shiny/crystalline,-0.2505973943193197,-0.07621645019923431,0.02697340968145674,0.12706823768682732
sand-colored,0.013632576226630855,0.11927739821136063,0.18286437521764123,0.23008194725476275
green,0.24106040548801122,0.27384809283781975,0.28031887843743164,0.24027790643810804
bathroom-/wetness-related,-0.14087838260112678,-0.10735161367422985,-0.07771344829732606,0.059836403906889955
yellow,-0.03040684403823698,0.017000921801694213,0.10166597658191065,0.23707146316131586
heat-/fire-/light-related,-0.525291289731026,-0.2296158041941075,-0.1868672409101773,-0.030386604665736283
beams-/mesh-related,-0.11233350360476127,-0.015439744344734085,0.17564498762298003,0.30094683699642355
foot-/walking-related,-0.35829521034394163,-0.23471394240859816,-0.19034149412917029,-0.034080779049772116
box-related/container,-0.1969335074842986,-0.027514025048164713,0.08144403434055726,0.20489690154838178
stick-shaped/container,-0.16729825243159238,-0.12349243243373784,0.016432116645348393,0.17279501586564974
head-related,-0.4416449192437786,-0.14945682034442553,-0.04444036820446855,0.09018908446238628
upright/elongated/volumous,-0.15021197890683796,0.002726225603974175,0.1013567453470973,0.28195249754883445
pointed/spiky,-0.1613865767634143,-0.067528014884972,0.04479412033989803,0.1535758431876789
child-/toy-related/cute,-0.2822688776125247,-0.1862458778579293,-0.11098897892410453,0.004163284468361905
farm-related/historical,-0.22225029873927235,-0.10685235355707576,0.0053215044577027415,0.15166789813390907
seeing-related,-0.19774221974695028,-0.12135131147561676,-0.10647119162143774,-0.0017210056197069835
medicine-/health-related,-0.11558225256264569,-0.07774985031434305,-0.05972741962938981,0.011007198016699337
sweet / dessert-related,-0.17373343008896627,-0.10767533149373751,-0.06738182888540344,0.05244789832218546
orange,-0.0859760856663733,-0.004980255407496826,0.02304758296191286,0.003174184233393085
thin/flat/wrapping,-0.11283351415220325,-0.07104180463069264,-0.04680712615713238,0.06220777733128653
cylindrical/conical/cushioning,-0.10267943111063822,-0.08086362013214433,0.006435186418006356,0.09005154613186064
coldness-related/winter-related,-0.47173898192537517,-0.31580693574668783,-0.3279151963902461,-0.2996249204590784
measurement-related/numbers-related,-0.2574804599533858,-0.11205908579332932,-0.016249560072080282,0.16928031041146824
fluffy/soft,-0.1526901141895176,-0.08473034945906505,-0.0018960937274893341,0.04847469842858565
masculine (stereotypical),-0.42368223673064537,-0.29293014057194294,-0.2268062605841227,-0.22125190747086182
fine-grained pattern,-0.4416810256539489,-0.23197674434634222,-0.21163213086602325,-0.26697916188515664
