dimension,V1,V2,V4,IT
metallic/artificial,-1.3529924605301566,-1.370735924411958,-1.1232664652727085,-0.8841330641717124
food-related,-0.43611828807587494,-0.2880224538320493,-0.28884880885323194,-0.27736061963378944
animal-related,-0.2776885963418121,-0.2504677543338989,-0.20329365523030862,-0.23984949324730676
textile,-0.4702012827245996,-0.5155238056831406,-0.3771190460659952,-0.09555422648089662
plant-related,-0.2418146277208093,-0.13529178572018585,-0.3115688323334309,-0.24559596937198402
house-related/furnishing-related,-0.5367275866600216,-0.47694384495247855,-0.2099309456960876,-0.49685365007488125
valuable/precious,-0.6387743188982427,-0.6297726227542217,-0.5359378268144843,-0.39412026286611557
transportation-/movement-related,-0.23992651448028002,-0.22510404253117144,-0.13971866438902447,-0.13230200606504838
body-/people-related,-0.356473422732388,-0.3776166303721995,-0.19436049975463865,-0.02671803722783883
wood-related/brown,-0.49946116340182156,-0.44161019795770096,-0.35864134884039567,-0.4431677768570901
electronics/technology,-0.3653272275367716,-0.39793309788492426,-0.19004090080191638,-0.18665463560565798
colorful/playful,-0.347636060400476,-0.3559574240768073,-0.3925806256782125,-0.2692487608901113
outdoors,-0.4191946797755637,-0.4194441447287467,-0.4350741441559771,-0.4149950027115823
circular/round,-0.5198221318429068,-0.47692389260890455,-0.25669742402998263,-0.21927803797796863
paper-related/flat,-0.4845712925136534,-0.4175120681543667,-0.34153030684649366,-0.19935387049711162
sports-/playing-related,-0.4384514692627206,-0.4522328669351159,-0.40176226146863336,-0.31099425401257585
tools/handheld/elongated,-0.4076074539707386,-0.3762424241164697,-0.3691386005106452,-0.016337885073372638
fluid-related/drink-related,-0.3830414792470884,-0.36839558348709667,-0.21571411539444751,-0.054419898988727455
water-related,-0.29770150485617575,-0.287477624828099,-0.28795741575823564,-0.22343833384665035
oriented/many things,-0.46644582039261406,-0.4079525878851562,-0.24253440415545868,-0.3345225226772923
powdery/earth-related,-0.43959434152481114,-0.42132074698401345,-0.37633260405035096,-0.3857092759579217
white,-0.490766140594886,-0.38884854529651025,-0.39300608235350043,-0.34081366853270256
coarse pattern/many things,-0.2968932284365269,-0.20131197945231172,-0.149409719373504,-0.18700000849037846
red,-0.11553089036937658,-0.24163279422016615,-0.32141430045101926,-0.18505227816082992
long/thin,-0.4179857474443991,-0.38589071409696474,-0.29822538579355284,-0.12312542835308982
weapon-/danger-related,-0.37261384013533605,-0.37749588889055175,-0.3542449553160447,-0.24904068886795727
black,-0.2705964441777904,-0.35884463472444605,-0.4119353736547726,-0.321089507715675
household,-0.4758889860033202,-0.44022386919895995,-0.309730056818762,-0.3069831809784753
feminine (stereotypical),-0.4109540322302605,-0.414076393748698,-0.39193868391222675,-0.2164515274892811
body part-related,-0.29500541450337425,-0.2826041116157634,-0.21673166234620633,-0.11749119183043533
tubular,-0.38534201169411264,-0.37514047932744954,-0.33189888100547393,-0.16325112571735856
music-/hearing-/hobby-related/loud,-0.27306544400637023,-0.2760889130700368,-0.23994856388464747,-0.20059838960107723
grid-/grating-related,-0.31656648234255313,-0.24169218242889734,-0.2110145025608714,-0.28904696774773875
repetitive/spiky,-0.28131046615788446,-0.22693317250049638,-0.24095544881309627,-0.3046914116606918
construction-/craftsmanship-related,-0.3976601392037593,-0.3928732054427937,-0.3389157134649894,-0.2622354378981526
spherical/voluminous,-0.33252475091753264,-0.3223452748317095,-0.29163276119352144,-0.1497401380594976
string-related/curved,-0.34162343973760123,-0.3292433439177964,-0.24572212094959522,-0.158139886288303
seating-/standing-/lying-related,-0.3428908121043295,-0.3124472136429095,-0.21106465143033404,-0.24945478731205717
flying-/sky-related,-0.21029306925690072,-0.25373053192036266,-0.24252706022919224,-0.10113157475737866
bug-related/non-mammalian/disgusting,-0.24720667511939798,-0.21101776908382863,-0.24230050391784053,-0.13120294393756882
transparent/shiny/crystalline,-0.3576014380141286,-0.3505466161764219,-0.3383575893549404,-0.25366101905476635
sand-colored,-0.38520869335054475,-0.3615773133474609,-0.37619877811439806,-0.3702569687064958
