dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,0.08541771472085191,0.3183277258827448,0.4906008676745034,0.582543227315236,0.6465783634769091,0.7324375616973614,0.7797061740481422,0.8109309994135045,0.8230507582204596,0.8185441447052092,0.8419570972759916,0.7925981628783153
wood,0.38638255897003404,0.6214366275821759,0.6646563826742713,0.7186568932412174,0.7475351336192348,0.7952437920771445,0.8380314739384471,0.8526879721224034,0.856186811275041,0.8443945087160091,0.8587702800203727,0.8208422865552676
metallic,0.15595935449767206,0.45214372437280115,0.5259091238360587,0.5679968862364491,0.6105501291781414,0.6733362939226847,0.7343074676097268,0.7576544251760391,0.7473241705648486,0.7450894784614139,0.7456292232173714,0.6502379400639724
fabric,0.007514484914256325,0.07063029398420229,0.2762186350849959,0.36516491752384206,0.4435869229924172,0.6008217024789115,0.6602356283075309,0.6962494008883511,0.6839997895865499,0.7202848461777807,0.7228675101309161,0.6890996717886353
white colour,0.37707416320055165,0.5657312195665412,0.5580841864717034,0.6440027129657129,0.7343935069415799,0.7854021447222903,0.8137098645765523,0.817348804155897,0.8111172872878905,0.8248264608296495,0.8126214201344433,0.7440320605970949
grainy,-0.002278430653911423,0.400870994503146,0.5354802361888542,0.5816444459507544,0.6518440841844964,0.7020245165471329,0.7502108287651306,0.7727707837176503,0.774509473586846,0.7643039576267212,0.7497395724429561,0.703662917962369
crystalline,-0.0014177495368381532,0.16437281847715113,0.24409472938520382,0.3270369929287468,0.43664887043819633,0.5481711698746852,0.6226553104040302,0.6892196730475959,0.7045921850080333,0.7041394600250873,0.6899484652938428,0.6474557657379922
"straw, fibrous",0.09895309539959662,0.20465208877964913,0.2965112802882377,0.44814522801020007,0.5150305875404597,0.6168012103015117,0.6515365076733954,0.6712363114906941,0.676499258448733,0.6495344929272078,0.6585871099798646,0.5480398241890791
cloudy,-0.01683341875808675,0.0934919629218175,0.10989836161632349,0.3666943723010856,0.42750865184127274,0.5293569404183932,0.5451550937145244,0.6198221472865941,0.5991450677351531,0.6197904930697602,0.6212045360288065,0.5627959251608647
small,0.16069078333870435,0.2964325096776508,0.39819971519709396,0.6143782500990971,0.6543351266840175,0.6983179878078554,0.7361203497551604,0.7333786609097377,0.7190353065066368,0.7033689125355118,0.672754013204632,0.5611465737689261
"beige colour, tan colour",0.38878246656888227,0.49691127951788894,0.5810147560572998,0.5946688785999494,0.6758965708928448,0.7362482812845121,0.7739067457869824,0.7896271612904473,0.7939157584387332,0.7745650364891374,0.7471510009271077,0.5665234643497236
viscous,-0.02366805155325724,0.06437849513673366,0.09846487670615445,0.11957531159227786,0.1953167058092129,0.2412802172250318,0.2754072742057919,0.27902417467900653,0.25994324211171926,0.3234552812555088,0.41203862999325247,0.4491641109592177
black colour,0.06423008724032231,0.3546391186582831,0.39745043942298164,0.42663550033315634,0.5550000072658513,0.6224129225167543,0.6715878900150912,0.6930093727783668,0.6677384599754044,0.6846578165474408,0.6273013969170632,0.44150888388775655
brick,-0.017495189405848155,0.03648714209400472,0.09048220657045658,0.24583882305480997,0.2781072327044304,0.3570252983402481,0.4657480525659613,0.4988811814532441,0.4877594226668652,0.5165484943710292,0.5503773772504019,0.5347566165817398
swirly,0.0005233806349341785,-0.0003400920452589773,0.12234572553624834,0.26825740057986136,0.38584581431162546,0.49491904469929815,0.5118340243618495,0.5599690847857755,0.547026041247969,0.5496381479901701,0.5142313776571087,0.5184642754262746
maroon colour,0.40458469688377896,0.4961524584913827,0.5501089460047962,0.586468501446419,0.6720540851099668,0.717042026621783,0.7592410822654116,0.7502767388809717,0.7668360586424239,0.7400655128078233,0.7237855205895523,0.5264306551220341
"lines, long, tubular, vertical",0.0322760594618281,0.22369037774901868,0.32833887385949867,0.4005195159695296,0.5035624256625537,0.5737965917484779,0.6232992968495361,0.6298413459881793,0.645649951512002,0.6503320260318528,0.6034049256105201,0.5582753149660691
mesh,0.007381311079732167,0.09154911323955206,0.34781857882404266,0.49805912329429347,0.6130594879803322,0.6260395155402179,0.6611829940168413,0.7202977727278557,0.736604097867781,0.7165132182013114,0.6959430800073418,0.6049447189588939
yellow colour,0.4171933294917666,0.5486599022029419,0.6026984145201002,0.6209925176596168,0.7023432856185672,0.7602360420984459,0.7752376478823177,0.7737094334292156,0.7540588418876752,0.7225287648835959,0.7081707752761499,0.4922708702777342
multi-coloured,0.07029246922336196,0.3850100831758134,0.40036344450872896,0.4275927053265265,0.5628749284970103,0.584918241837703,0.6865311378816072,0.679585235732842,0.6913224691764892,0.680524048933928,0.6131454485430927,0.502575824580886
thin,-0.013257203324122724,-0.010125902916994445,0.04034966865867362,0.11089888370067513,0.1401541707791376,0.18005289340502761,0.2272331362218457,0.20421206569285144,0.22006504119514558,0.27032106740073236,0.2931025119157086,0.26388263384920707
bulbous,0.0030056047961448673,0.045238383069792,0.11513955681307064,0.2631704231405918,0.3238109373147393,0.41244599191842957,0.422610875403844,0.4970823882506712,0.4698772652541977,0.4384277487731787,0.37897451739111454,0.33237621342458856
green colour,0.2275146517378972,0.4961164309926459,0.5987912107325359,0.662371481362604,0.7506709361785151,0.7701133149764123,0.7843073162936487,0.7888328124517701,0.7445980773850912,0.7451270889260322,0.6740632124331747,0.42689913251900236
