dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,-1.213037420733094,-1.160591731115443,-1.1143691333692183,-1.3316750578925465,-2.0033004374105996,-3.7721729824162793,-5.8058076980008355,-8.529239583451536,-10.95380300811038,-14.302993960432794,-18.65083599410509,-21.993990589908183
wood,-0.6587759892268057,-0.5574809970863752,-0.5990442768724151,-0.776431358228155,-1.2695965971151488,-2.5490503668185864,-4.083404791458739,-6.176984446944229,-8.199601735797447,-10.97828885119786,-14.000718725349325,-16.34614197117448
metallic,-0.63854402354184,-0.5387825309496692,-0.5446507128744589,-0.7181965484057744,-1.263888423766466,-2.330175936956821,-3.763407724774421,-5.580804002673625,-7.487938831307694,-9.758049665862536,-12.911453022812541,-14.659114079598728
fabric,-0.659952820718934,-0.6512991784266511,-0.4998686986524721,-0.5877602863407034,-0.869736785848682,-1.6756792555011586,-2.787195921678291,-4.230859812040733,-5.7777289702021655,-7.455096595753796,-9.331269046077615,-11.758276759048249
white colour,-0.2699375491013427,-0.29786161253160315,-0.3280729259023647,-0.42774146077591646,-0.7746843829796659,-1.7924347562345457,-2.9693307300493097,-4.519191745816634,-6.360605058051757,-8.61758057917072,-10.595648749942326,-13.220335543588515
grainy,-0.5874352153670876,-0.4637048107587274,-0.34950113067986766,-0.49205855657533215,-0.8605118984316629,-1.7962302777156012,-2.971498153323032,-4.600839390358677,-6.198541460462018,-8.290754102160944,-10.356502439507564,-12.423009986917364
crystalline,-0.7072283608817227,-0.5396989242766519,-0.4785360847090021,-0.5649013736832329,-0.8376372960416085,-1.7710349159629728,-2.712746046793824,-3.939617737552087,-5.282718203408698,-6.570896810873156,-8.805065173986677,-10.632208140905668
"straw, fibrous",-0.458831887832583,-0.3260652345937456,-0.2750702420248543,-0.27605371365498654,-0.5695449280408835,-1.2234302601753906,-2.302207100845998,-3.448398337313267,-4.651807313263161,-6.371735112812794,-7.951250258222123,-9.83961720920138
cloudy,-0.6612032266922916,-0.5680781631675331,-0.5474656537961902,-0.5474363894286103,-0.7910239357753683,-1.55915313303252,-2.484020001506027,-3.8801479832890866,-5.2669481385537935,-7.012125264438684,-8.83205397467146,-10.895010933103066
small,-0.3447697037619921,-0.3301117060326739,-0.1397821046748291,-0.18704965116335193,-0.42302375061162323,-1.1332758376003351,-1.935270956035669,-2.907072792223604,-3.899636914738365,-5.224935375227316,-6.969494799417136,-8.704856387816937
