dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,-1.1782626015633455,-1.280335160750754,-1.2932450018505293,-1.3454809039864268,-1.8159680516051915,-2.278926827316844,-2.2624276083717567,-2.567166007244718,-2.897513433338173,-3.293795887178522,-3.3022895900027374,-3.527377758142938
wood,-0.9217561146868372,-0.9985491456796904,-1.0002817285514456,-1.1902458468936277,-0.9588958640435377,-1.0290787155233332,-2.02351764625402,-1.4156326356835018,-1.4254738199931989,-1.8004702158107113,-2.069384198119248,-2.399171315265102
metallic,-0.7446092291604238,-0.7328043327489704,-0.5460971759296898,-0.6035489791915329,-1.3213182739676381,-1.5823642791667445,-1.2262191926089336,-1.3861374226820264,-2.3514162156978182,-2.2479994322027035,-2.137441817069014,-2.1248303768896073
fabric,-0.7169467841668291,-0.6508823547029352,-0.4696614217462465,-0.6545887703668376,-0.7450955161684281,-0.8662339227143308,-1.078470690345715,-1.6826963895667335,-1.6132965450300496,-1.4699584500253136,-1.108160309771503,-1.1809550450127646
white colour,-0.7961374129614032,-0.8325163293611739,-0.8034571909057628,-0.7214748445980228,-0.9753840842258654,-1.1987858019568414,-1.3746375413350274,-1.774869033537842,-1.8122385116706994,-1.7490922803462712,-1.556858376198452,-2.307282963713484
grainy,-0.5911176858147387,-0.7389267382770843,-0.633809622873793,-0.7715206511836388,-0.9375915244839998,-1.3162594361959359,-1.089900463746111,-1.2313992134807923,-1.453478147689733,-1.7088559903427862,-1.709578064152839,-1.4974596618128841
crystalline,-0.682684527650675,-0.5547904112235815,-0.5627460536407536,-0.6299244722570851,-0.7734490395823002,-1.062628409034685,-1.1641131071650848,-1.5582686757753592,-1.3504682921222644,-1.6523847496333506,-1.5050919683737929,-2.017950733495896
"straw, fibrous",-0.48827950466522707,-0.3948421252006411,-0.4084294463947271,-0.4222831630271906,-0.5425679780220531,-0.8150974884127451,-1.1166332697746255,-1.4358801198591689,-1.266692028239853,-1.4337114313851234,-1.83669378095605,-1.3601847634838444
cloudy,-0.6562954998522346,-0.5261871999557968,-0.698183835011664,-0.5640708957278153,-0.7676864303290174,-1.0315833096498483,-1.3553876706460741,-1.193605662195198,-1.7685429917147495,-2.1283259310811014,-1.258776185622545,-1.914636118076798
small,-0.3795173922693258,-0.4053891436174437,-0.3729430906950806,-0.3780107950128746,-0.37886524938057176,-0.7344889312863159,-1.1467357441202353,-1.3390131747382852,-1.133895381370801,-1.2083526058003815,-1.6037863614209065,-1.5261073741455458
"beige colour, tan colour",-0.33991711652581236,-0.44660177953087654,-0.6715982092224146,-0.7632368269155927,-0.52711414392911,-0.6061596281368336,-1.3449742289683124,-1.4865900400735987,-0.6773207567209072,-0.9555888808814561,-1.5572509108961454,-1.9139557917136996
viscous,-0.47017821818839245,-0.39789021928285373,-0.4323995722078273,-0.39716368030610893,-0.42085352228241724,-0.5849226132802072,-0.7748049787229316,-0.9969794888869126,-1.1257896241987195,-1.2914115937642658,-1.1138800458915807,-1.4997239462071108
black colour,-0.18739320834615447,-0.16772843645218694,-0.1880947965100741,-0.12668005696905782,-0.4158444395855905,-0.43154401092889527,-0.5036225481614183,-0.7152742284187006,-1.1524621940559325,-1.3255268344608253,-1.0561830412556397,-0.939276968790532
brick,-0.4508209399778844,-0.4909489621277652,-0.4716907839135751,-0.44626651845674425,-0.4270669936999094,-0.5968519443625007,-0.8335466016534696,-0.841993278411737,-1.1341640385308738,-0.8246124561702823,-1.3965128928134938,-1.3960617419241128
swirly,-0.5655437998695874,-0.5158096380029527,-0.4387330617531866,-0.422591609908318,-0.6946980684637538,-0.8003952102964165,-1.1102610340445525,-1.0969139165262267,-1.3800499684069183,-1.3311253059453079,-1.111328064095459,-1.4315358466571646
maroon colour,-0.02700749981309092,0.02721410937752189,-0.23924133324564778,-0.3340070834068647,-0.18919606056045124,-0.4291381007155066,-1.0965807200925028,-0.6340808115239744,-0.695427739058174,-0.5312100982234209,-1.0124857167819483,-1.264445070141123
"lines, long, tubular, vertical",-0.37304885066342,-0.36465338645563916,-0.10788784423414577,-0.24286623093729753,-0.26629182970131815,-0.3766441275872816,-0.7039122183120337,-1.0490452463349023,-0.9608772920659052,-1.1549196794388754,-1.19218363625171,-1.6167650134970932
mesh,-0.2921838969996764,-0.37547723154271817,-0.1999952337864941,-0.3034125378340904,-0.32907915979110114,-0.34729906461425486,-0.930665340336357,-1.0548629107304213,-0.46869440725715106,-0.6688942955625561,-1.4774002190699256,-0.7329720774109383
yellow colour,-0.21685969163966634,-0.14047740518637575,-0.3774667420362461,-0.38835910068900925,-0.12968965568243185,-0.24535747384138862,-0.8985897694486977,-1.063337810280096,-0.5445562764819543,-0.6121512687817885,-1.0031177651817025,-1.0396233178465728
multi-coloured,-0.16152570703561153,0.05655077248977591,0.07372502045762286,0.018783185696666038,-0.03691990187437999,-0.2299214107206098,-0.7310166874403321,-1.0519587290557513,-0.8433545625352401,-0.8372332744628828,-1.0498618027182407,-0.9726595408672101
thin,-0.39404269334952935,-0.3663819166967699,-0.36829491882007326,-0.33660635578841913,-0.3991640796620979,-0.5354732324685492,-0.6325193904981332,-0.7461504711368441,-0.9465524104833858,-1.0621557063392997,-1.2081809925844955,-1.265197720237317
bulbous,-0.37270876286244015,-0.336558628837081,-0.33166346085251175,-0.32449984122923525,-0.5026388979783876,-0.6574470760144964,-0.553535878114467,-1.154268279487745,-0.9205033326184824,-1.2113923038602374,-1.0733751546819805,-1.0218817001450944
green colour,-0.16877626493945375,-0.09893951079138175,0.21091305611259747,-0.27127837606699745,0.2153940487413032,-0.17651416583359336,-0.314860001013882,-1.1289820022683008,-1.0594060796221396,-0.8026155988077723,-0.8959691055905654,-1.0130069535357422
blue colour,-0.2885357273923781,-0.008521587250772011,0.008093085898685737,-0.00795440533005487,-0.249614418664716,-0.5289387789617253,-0.6172116401206249,-0.8334314734712918,-0.5454536838967434,-0.9585353032609181,-0.6967904354501877,-1.2006153127038344
shell,-0.2818436800098305,-0.23340747331766787,-0.25424005689316687,-0.2658136998648355,-0.3523570428833884,-0.4937999541695335,-0.7705912974347162,-0.8873954295345845,-0.8349836634390668,-0.8262371099611665,-0.9752951781727068,-1.1427945947985796
"gemstone, smooth",-0.3356128978563646,-0.32227659059277514,-0.35091656970393115,-0.3150154877720057,-0.3959623556576426,-0.5026902958917092,-0.635685898031783,-0.875481814364651,-1.0414075420971929,-0.941136699185767,-0.9448616473255935,-1.2674460266590333
sheet,-0.2736820936585074,-0.23631229356914973,-0.2290248886045403,-0.27694160850955907,-0.358492382974678,-0.43493074543953014,-0.4944343129225113,-0.6949591998972575,-0.818362352845859,-0.7973444828785694,-0.809432797704932,-0.8407916592329825
hair,-0.28361586175633313,-0.2939369408477692,-0.30974659213853273,-0.3649119921148898,-0.5600776526395279,-0.6826012879115779,-0.548909315001757,-0.7647613848022805,-0.902792437038239,-1.1219232882116512,-0.992814238505298,-1.182213988006962
spongy,-0.30216922640300625,-0.2883993746685787,-0.27405412063868395,-0.34480813240235153,-0.34010660071398036,-0.4432225967629151,-0.6037177866777459,-0.9054334895297684,-0.6906437239235093,-0.8037812955040959,-1.2054147564824556,-0.9277770739827285
golden,-0.2432312075944616,-0.2525812198598538,-0.2828246180132894,-0.30978603496224943,-0.4746254736672928,-0.5828795669350113,-0.6337401419582858,-0.9236092995439307,-0.7861277731121603,-0.8669747330879489,-0.9617493359523042,-1.0618888599777168
red colour,0.0016501609100384451,0.14234854568119104,0.1555368076221506,0.0942624767297261,0.01194052637078713,-0.08431601652495235,-0.49017296678581945,-0.45396450661368304,-0.6518255263171595,-0.7055227447220906,-0.5681357121772732,-0.7769911188624172
"round, smooth",-0.23533353325407336,-0.23538582313714973,-0.2749696748287036,-0.19061016458722047,-0.34735850279954983,-0.3082350767019162,-0.3023543438023715,-0.7052992662356443,-0.6547986674938628,-0.5557700549439446,-0.6217300589870611,-1.1269856131374465
cream colour,-0.25594310548478827,-0.26689767255886054,-0.2622948535368226,-0.28767669067313384,-0.3661244311603895,-0.4952271266817463,-0.6829306824133408,-0.8276409665733047,-0.7228721898086965,-0.6123114955347622,-0.7377508044360777,-0.777492368893246
bumpy,-0.29100946143928486,-0.3018727533055505,-0.3304803789472117,-0.28552359573381714,-0.3884072667900722,-0.45675432275986405,-0.542546260550723,-0.8656525663744372,-0.810643606546448,-0.8459610083875198,-0.7894700646420303,-0.8759771052554692
hot,-0.13505447647169433,-0.12288563948535725,-0.13988779751387148,-0.18477876486195832,-0.28469341535622084,-0.21645141414045965,-0.5575366915182134,-0.5095615564983347,-0.6371812938712074,-0.9378399735003906,-0.7134735536878531,-0.9477768229318362
turquoise colour,-0.128166499316964,-0.05526641763422435,0.05379805874527965,-0.04929432747723017,-0.17439646781902285,-0.2686990951662658,-0.3495496007206986,-0.629789845971001,-0.4763426340388719,-0.563127792158346,-0.6867864516574924,-0.7427840587414642
