dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,0.2295174405225815,0.527516665392872,0.6632480495462248,0.7201703050066396,0.7453943150881305,0.7714691704207567,0.7822324530981181,0.7931971358281216,0.7868611258017074,0.7887957259505433,0.7877669334710135,0.7313126139424911
wood,0.3696662631824269,0.6023385822772883,0.6909778659460558,0.7192800085559867,0.7503138207897408,0.7700686920773905,0.7899450188293544,0.795277140165765,0.7710953167592306,0.7644215519153261,0.7580886329908129,0.699759445220004
metallic,0.4155178278928364,0.5348738447672077,0.5869799932299802,0.6272421007132107,0.6348539056882173,0.6575652412390534,0.6895223548094327,0.6986650112263871,0.6899028579014044,0.6801463447533915,0.6720743616746917,0.5406780831270237
fabric,-0.0891202842611041,0.1254857842887239,0.23954950589710008,0.3309286418588437,0.4062437794364914,0.5243068661094001,0.5693590644187602,0.5772884725812937,0.5757701383323542,0.5856993241357206,0.5801536889320907,0.5617298056335003
white colour,0.5811923627425895,0.7361652243172371,0.7599377166161141,0.7970254877402276,0.7997755369564084,0.7994322221604737,0.8006438770640093,0.7806680968068773,0.7614573536034304,0.7413557570734219,0.7096147442274423,0.6271580523054359
grainy,0.12289100110009192,0.4924708264210943,0.6196518100147769,0.6569184749418202,0.6451869949616093,0.6575133748065859,0.6629654932459411,0.6651256039889627,0.6310783822388852,0.6169224634388706,0.6203917038018674,0.5980348970311931
crystalline,-0.12511498086412284,0.3152179218268477,0.42989514001969875,0.5191479565630565,0.553096640468758,0.59448837266665,0.6017391169121341,0.6169973619648552,0.6210031161093278,0.6169442415115511,0.6183351869759789,0.5443033403450537
"straw, fibrous",0.14025239294502442,0.2062038768947479,0.26310300817814336,0.3729409480787749,0.43401901932946896,0.4653117252827473,0.4889307275655752,0.4988243795133075,0.49082591692350264,0.46396660003376267,0.45974362798278035,0.3631509902949704
cloudy,-0.012985061702769418,0.17194016212006452,0.3198037387786375,0.4185146977739132,0.4523275486899527,0.47299443569717825,0.4941021029233825,0.4886114660267603,0.4719035349469306,0.47779399259521116,0.49524599121143986,0.4397310125270303
small,0.17486137355995995,0.3351279569833013,0.5193437460229096,0.5895526158010578,0.628852429428105,0.6435229905883619,0.6347563481053655,0.6192818193542866,0.6080957415462225,0.5912274882842097,0.548669678079673,0.42608060426187366
"beige colour, tan colour",0.6014385576595195,0.6727569980168698,0.7060121260905535,0.702944991234441,0.7100956901011817,0.6896555970204217,0.6863437114451989,0.6748402514145632,0.6467514746893533,0.6175914540612146,0.5542677601010959,0.3517473375419861
viscous,-0.04133667292646457,-0.11220459907258551,-0.007069725261161952,0.07595981992390745,0.12386718479440137,0.1725744705334889,0.20602720934186727,0.22739660283172727,0.2329233202299696,0.2734536155716135,0.31532721349477316,0.2576132864712927
black colour,0.4309003565093521,0.5032861412201504,0.5305949141638873,0.6501458462519492,0.627353202983828,0.6235963656105749,0.6158256194066215,0.5917237522805675,0.5812654418241164,0.5600369795146838,0.5108178021116674,0.3643272282957833
brick,-0.047070060600741224,-0.06834090638956111,0.04360404321788621,0.06967515028535817,0.11888697913609443,0.20999747757341652,0.2798065301930903,0.3049266647048013,0.2989604408076857,0.33966121592732706,0.3752785185493363,0.36402871954278715
