dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,-1.4392059637262395,-1.558229219554169,-1.5096118337898332,-1.4872788066961737,-1.7057665305381242,-1.8337481066233075,-1.5133045726975514,-1.4547127782961344,-1.6222276021695978,-1.7792204072507984,-1.9223941517015244,-1.8842227691134275
wood,-1.2784084003452052,-1.3291828469670652,-1.26117981167023,-1.3739229445564258,-0.9230484037534807,-0.742762195801759,-1.3359172606662533,-0.6227846278484614,-0.6330878183543309,-0.8131855030328214,-1.0310195074547486,-1.1924413102997504
metallic,-0.9522917308745527,-0.9489422137911356,-0.731617893266558,-0.7082491689389452,-1.2428002018922704,-1.1880350065344119,-0.7027288536814575,-0.6616448833181023,-1.2722363617982957,-1.161086995910507,-1.1508986911151653,-1.0129816402773968
fabric,-0.9688025487540781,-0.8528636871376114,-0.63404410822604,-0.7674085843876344,-0.6676161665926588,-0.6084792597558304,-0.6354755277581723,-0.8213672082280024,-0.7670479985142666,-0.698526137717425,-0.40152549144731386,-0.4531216258316728
white colour,-1.0118268094278173,-1.0344565023340615,-0.9921273331474705,-0.7965416450772902,-0.9171280318140558,-0.9243630037535817,-0.8082011995933653,-0.9080356378026051,-0.9271965054996718,-0.8465247042152433,-0.7134341232913424,-1.134142995763007
grainy,-0.7938004461102246,-0.9134504665181813,-0.7995649542042738,-0.9043252239771107,-0.8313827419072708,-0.9552431175504676,-0.650075186323894,-0.6375006700549668,-0.672603676666661,-0.7828205515001656,-0.8536120541004608,-0.6101724232750805
crystalline,-0.9250857521905089,-0.7485953573786213,-0.6793745109233453,-0.6783523890598679,-0.7195427831523749,-0.7612238883939977,-0.683810448604744,-0.8425167691806845,-0.610588846693739,-0.7325682047279201,-0.6872143293720301,-0.8590632854664335
"straw, fibrous",-0.6811088159112446,-0.5545144660373267,-0.5188871125101284,-0.5028242466381534,-0.458463412782548,-0.5472198022941968,-0.7019562739976677,-0.6798993794978656,-0.6028780144232193,-0.6647442522849893,-0.9106726797507352,-0.5913902308983023
cloudy,-0.8537331406045288,-0.7075365508352407,-0.8462268347277822,-0.6388236268591816,-0.7230391407915664,-0.7580918612271956,-0.8408933615065266,-0.5925770943824957,-0.9442185312611375,-1.1188573924041174,-0.5185211918658157,-0.8789062296168078
small,-0.5546092781457677,-0.5113571002924919,-0.5215482075491251,-0.4650043201720149,-0.36323007982920985,-0.5162187485714234,-0.6493915448104475,-0.5864087216764007,-0.501443014437418,-0.42066532544608326,-0.710500570841065,-0.6243463960264746
"beige colour, tan colour",-0.47755019029871937,-0.5752791278738578,-0.8571303080803792,-0.8455704316876529,-0.47140107964213196,-0.4302672545873616,-0.8021841991240386,-0.785894702330237,-0.19735459095489394,-0.29033735518530923,-0.6887744852491322,-0.9113427974516437
viscous,-0.6507647764990216,-0.5294542057793439,-0.532961359935622,-0.46507205445771427,-0.44664360589310115,-0.43272853084828,-0.4136791942350624,-0.6022366403307287,-0.5811511696796914,-0.5469833237416746,-0.4660038849765531,-0.6474382926398745
black colour,-0.24794358560433838,-0.2275309086176105,-0.2856905434902324,-0.15700829567888008,-0.374942087108344,-0.2670036488147085,-0.14620705023415814,-0.1990838633120786,-0.4928809723781358,-0.5472341168674173,-0.4828841826172985,-0.3771399173556902
