dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,0.22910994308242305,0.5286294054479039,0.6632244322073226,0.7175141564218543,0.7487697793040475,0.7802951362137,0.7923946475609662,0.8101538024868692,0.804868804156673,0.8086436314248073,0.8088969315104766,0.7813056687777584
wood,0.3755796261153593,0.6035003177293469,0.6908143183396633,0.7176064954389693,0.7481190343179922,0.7744451662649678,0.7977805095251564,0.8034042370201384,0.7823532393637417,0.7762623686576396,0.7751013082256597,0.7558314557197354
metallic,0.4149829738639418,0.5338160465414087,0.5868105761746357,0.6280542896944205,0.639805178699383,0.6676235733110681,0.7088078819340718,0.7311189270199876,0.730726489304377,0.7337941979675114,0.723679144941077,0.6256200981236695
fabric,-0.08113105294567202,0.12684259047242202,0.23898288818918906,0.3264960288426461,0.4001313720356686,0.5356548987469626,0.5880681424669888,0.598680662811358,0.5886766549656064,0.6102329393027544,0.6045357956925748,0.6056560228944085
white colour,0.5858796116597217,0.7370498149631917,0.7599017845230974,0.7982001608716824,0.8004433311382322,0.8050817367283226,0.814659701741399,0.8010908612173842,0.7898219684472869,0.7812453361550874,0.7504876437229816,0.6855603974356145
grainy,0.12910365118304096,0.49092785146330764,0.6196860137547971,0.6545215039637962,0.6466990943757779,0.6586182751897056,0.6723809940914289,0.6721748157947982,0.6373540573088301,0.6361603294521355,0.6449876884775568,0.6445385844124079
crystalline,-0.11785231578156048,0.3177385357417061,0.4297767660971741,0.5185129573748405,0.5555332041005385,0.6104613720241083,0.6215202023753887,0.654128528116924,0.6676464541594835,0.6733648530790755,0.663158230407998,0.6108867290567307
"straw, fibrous",0.13550911677642646,0.20623640652064384,0.26273099145506,0.37316283290930313,0.4373385946395568,0.47820790427024634,0.5182784717545722,0.5331729447801312,0.5398123421374559,0.5123545439568555,0.49427021402185023,0.4439900247250487
cloudy,-0.002153571446812108,0.17485483098019056,0.32047856515894135,0.41904170765319454,0.46130486107656576,0.4838759499244434,0.5174144987290887,0.5227170488527358,0.5112762860539779,0.5166760252192566,0.5498887037695093,0.5324570283279375
small,0.16077429742874255,0.3363784826441205,0.5197810375600572,0.5889043027341285,0.6315634302548094,0.6549472838573246,0.6560866260006597,0.6505243933995308,0.6507692084282848,0.6430368121101516,0.5868708183826296,0.48469501660870806
"beige colour, tan colour",0.6011157124234651,0.6722298119038079,0.7057341425873599,0.7023340835636583,0.7159470980188621,0.7004585533696372,0.7046371136644736,0.7070362325785023,0.6837454985483716,0.6746504561651657,0.6186916297763301,0.44893477666699333
viscous,-0.04546721004969363,-0.11258024713145406,-0.006008355161255663,0.06693429075313213,0.11558175182861552,0.16386360838290165,0.18601096689478522,0.23399677056282972,0.22784514834582378,0.2887166801072375,0.3611573468601021,0.352802674911337
black colour,0.43688182585616964,0.5061050526157247,0.5304290828621301,0.6551592141688289,0.6363864498157502,0.6441135901072508,0.6494969203725345,0.644146986472515,0.6376468814021435,0.6205479358726653,0.5747031252234567,0.43043193624872844
brick,-0.04655082154672359,-0.07115785052807966,0.044520448286314886,0.06371827175007234,0.11685739618728774,0.20969368335103064,0.2898755474977057,0.33531653317332527,0.33177349026356984,0.3571177740482387,0.417662653215704,0.42148737252240986
