dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,-3.892023367175983,-4.429409725341894,-4.044398780820223,-4.011076166197073,-4.367356014771842,-4.718308942941926,-4.795273664993774,-5.0483829422557145,-5.367460027525221,-5.947922277823265,-7.84422831317613,-8.918531738363809
wood,-2.7663452866342007,-2.9068133004192194,-2.6464398035759893,-2.762824050134663,-3.0234305582668606,-3.2346217800396584,-3.3807389962733136,-3.608017076413179,-3.847504879714408,-4.298369630905549,-5.681977396205612,-6.552996449603653
metallic,-2.459980406743613,-2.782882456893262,-2.5777457392106617,-2.694504122753556,-2.9008748397782433,-3.000282699216056,-3.008031028636135,-3.200214482011771,-3.627296348166846,-4.028577712004138,-5.333767465772089,-5.788721025866803
fabric,-2.493085484886467,-2.3388639599336174,-2.2604636397856015,-2.122193035207423,-2.1660587299749694,-2.225638702404272,-2.277435236172419,-2.368233906618438,-2.5816270060340414,-2.9888664661720763,-3.690420254233741,-4.5702933525861855
white colour,-1.8487554577199656,-1.8763589444446018,-1.9339969794272545,-1.9832456713952875,-2.1846065980447844,-2.3346828533158215,-2.445787813399509,-2.6120584425542313,-2.910428108749912,-3.2213479861980083,-4.213527802665792,-5.349166129147795
grainy,-2.3116476595306334,-2.3516569043925766,-2.0612907706949426,-2.0848088130828235,-2.1628623139026075,-2.3556445661402816,-2.425525539008345,-2.616106696370183,-2.790843769939678,-3.232587026140858,-4.13729690532856,-4.7533757035960145
crystalline,-2.483391223954839,-2.1733671329498683,-1.8985959080403765,-2.13551948088997,-2.1034924575905003,-2.2137855854367605,-2.1510705969021138,-2.1810615690220807,-2.4563514294891857,-2.599574848036502,-3.522052853880143,-4.100683265112006
"straw, fibrous",-1.7830931206281129,-1.855632202748685,-1.4659959391669704,-1.5060540479633877,-1.6086969678424303,-1.6547015105730791,-1.871454867900178,-1.9280463373061183,-2.1657564131235114,-2.3221775337602844,-3.346259632563261,-3.974037145652736
cloudy,-2.3567572300397273,-2.3805478720061273,-2.051975962017562,-2.047115879192636,-1.9071121957649604,-1.9676060079174627,-1.9685751830728124,-2.2123283061326195,-2.43708824925148,-2.7517820326846314,-3.502823836292734,-4.3032266569412645
small,-1.815301992219025,-1.6787357418996391,-1.383609774483051,-1.3525950483376645,-1.4569667598053462,-1.4919441138934335,-1.5601251372499436,-1.6143113386069956,-1.6932523560339319,-1.8994760245331337,-2.553734992451332,-3.1256225575565297
"beige colour, tan colour",-1.6964394140550767,-1.506854620590774,-1.5268704413216496,-1.5715306228038726,-1.7189590050233834,-1.837549746906856,-1.804747561454827,-1.9164055431639566,-2.146048936995923,-2.449478746535809,-3.402900610399601,-4.119772947230785
viscous,-1.730771635847773,-2.0656330069483397,-1.733692581599649,-1.6179490055154404,-1.541330996108671,-1.7445318866184718,-1.6772104508875505,-1.6528248487161,-1.668950858769175,-2.031772518826904,-2.474674607627959,-2.8470257071652765
black colour,-0.9794623326363634,-1.0016386844240137,-0.8585113996294944,-0.8231995379603216,-0.888054115106302,-0.9620066768795785,-1.0495543504470475,-1.0587011204931187,-1.3518043309961945,-1.4939650399983146,-2.0685441605230794,-2.4375070779618313
brick,-1.7460341500352121,-1.7374236363350826,-1.399343172409905,-1.520193354748527,-1.6775756036283322,-1.4975986799291214,-1.5585049785959555,-1.4908730919111863,-1.534202578660981,-1.6355700568164955,-2.3875010311329947,-2.692004583823951
swirly,-2.1757860860845413,-1.9884070688108566,-1.668871390588067,-1.7275290028727022,-1.7809805421952558,-1.6722920306934088,-1.8005072921821164,-1.8487152558967423,-2.024112656998702,-2.3268122934628854,-3.188873304180369,-3.8910567744484545
maroon colour,-0.875897959853358,-0.9704345351485315,-0.9119353390155056,-0.812488570431082,-0.8436918861596816,-0.9439248816256958,-1.0108747597784489,-1.0617020093775795,-1.1380748767680813,-1.440876460678198,-2.0014107680140807,-2.3151244133310755
"lines, long, tubular, vertical",-1.5748619313140515,-1.271509694333501,-1.0304557349245282,-1.0037079850085822,-1.161326990620792,-1.0740116676169245,-1.0882290856130417,-1.1726946431530316,-1.4710528353327028,-1.5587081637494649,-2.392907898938202,-2.519441184951419
mesh,-1.6107233407809711,-1.3191612983449352,-1.042446116612127,-0.8602985515365573,-0.9184779461877679,-0.9624456810367121,-1.0302217428322655,-1.1319457654466811,-1.2175898735273005,-1.4170716857452104,-2.0249384778275443,-2.158325782678989
yellow colour,-0.6284608711830706,-0.6070322698794812,-0.6535946355118882,-0.6938818868092811,-0.709884819113459,-0.7693312105129948,-0.9252695201374095,-0.9808019087150912,-1.163298271819488,-1.311037096364989,-2.000696240576891,-2.7266866758318864
multi-coloured,-0.7421585533708461,-0.5613267193205835,-0.48543344974474945,-0.6354547964518131,-0.648843177020376,-0.7285236405912145,-0.7497403352245304,-0.8173035689779045,-0.8186039671570498,-0.9859950406537321,-1.4734908600319443,-1.835307401789089
thin,-1.8344717619329352,-1.6059777040068455,-1.4759676329985862,-1.3015094420222142,-1.4832577139705467,-1.4258325724883045,-1.4282897010604798,-1.3587351908323626,-1.6190218257579128,-1.8222531365228036,-2.4726534878875253,-2.679491677065242
bulbous,-1.475135383082042,-1.6446000283930755,-1.4331745424970594,-1.17277935483824,-1.2596331686717543,-1.2182238261502278,-1.115828462373654,-1.2077032075599594,-1.3376269343547844,-1.5897741741162839,-2.121256324177685,-2.5578222113339426
green colour,-0.2642840472989261,-0.24742810157867723,-0.10998083880446985,-0.08925244954105027,-0.1518583840419958,-0.1993703772783595,-0.24070038415692108,-0.28624569895558616,-0.37142545204824495,-0.560805746676726,-1.0443276021846484,-1.7482625985491378
blue colour,-0.6969062310826522,-0.6611910734222739,-0.6164168344004899,-0.6918777577391442,-0.665196946281565,-0.8072059409802463,-0.8023833203551429,-0.8302613118844588,-1.0171433884014904,-1.1770451093992542,-1.810896810953198,-2.1740561023738243
shell,-1.2672914890466673,-1.2858189413624763,-1.0207760057205872,-1.062270162179658,-1.2014643041832849,-1.1406768570618255,-1.20422287208009,-1.2486214423471962,-1.3164269137534603,-1.4394983619618444,-1.7018559786089673,-1.8434015975167588
"gemstone, smooth",-1.4610663219163196,-1.6581023375918655,-1.3849453920832309,-1.1831169704365903,-1.3173845171528384,-1.2644295872078692,-1.1771331015965139,-1.3542263389657143,-1.2962534837427149,-1.5398961261826907,-2.0337641735765164,-2.419313719062048
sheet,-1.1077547868386977,-1.1222734586864953,-1.0449318729780925,-1.0079086903019943,-1.0427711550992842,-1.0957668601520618,-1.0732163322952628,-1.1408118976747104,-1.0981348441079555,-1.2110058313831549,-1.414508842094763,-1.813344632189648
hair,-1.2234840448020603,-1.173122973770122,-1.2617665130130336,-1.2956514910743682,-1.4128976350944655,-1.225004327889447,-1.0753085503418625,-1.041068229025273,-1.162395112689011,-1.4045283751049444,-1.9580160452138777,-2.717899397146965
spongy,-1.340422331931351,-1.3648874764417394,-1.554798515314351,-1.2558111246384933,-1.2740641106709063,-1.0838249697378446,-1.04770936995798,-1.2029230874179668,-1.356592692028324,-1.2517819581995506,-1.5182463043846366,-1.5727561278912319
golden,-1.3893275318872629,-1.2139117145665033,-1.1800152817811367,-1.1581233943523705,-1.1233219164005566,-1.3659931374479104,-1.1988700863495505,-1.308474931021487,-1.4042042912331718,-1.7392077777204564,-2.3626507063358497,-2.240968478036742
red colour,-0.25642344862332056,-0.32898815278684723,-0.279822666091986,-0.1785872344929169,-0.23879035464039866,-0.30426096555756255,-0.2709116911900329,-0.3549940280445245,-0.4365008987004575,-0.627465282844718,-0.8439643052909638,-1.300026927352694
"round, smooth",-1.2055558881234547,-1.302558423307131,-1.1406523736868683,-1.0293381950557152,-0.7371437325359922,-0.7049972117754268,-0.6594812420997871,-0.6197793525747721,-0.748255023864768,-0.839721062742542,-1.264885025352478,-1.4044576350866156
cream colour,-0.9983679406996071,-0.8305469943080195,-0.8659014927069475,-0.8085522729498065,-0.8617821922154962,-0.99064647296328,-0.9679074859549159,-0.952454355738495,-1.07108783640874,-1.1303798147484154,-1.6190943043227146,-1.9842509556558383
bumpy,-1.2991070311578294,-1.5164666734343109,-1.3737475319895212,-1.3172214802206623,-1.2645876825191382,-1.10525910025639,-1.2428599037030486,-1.286064617728011,-1.3100420533663404,-1.4088492309734773,-1.7141960541684025,-2.0016389459458153
hot,-0.8677427440865093,-0.7654117444529451,-0.6563769142180602,-0.6209029012531668,-0.536989424953557,-0.28481845968405883,-0.2590470063374519,-0.32956007291195544,-0.30673968916321237,-0.2893001644341604,-0.5079922833453154,-0.8179383318763016
turquoise colour,-0.7592726245750294,-0.2863750265846592,-0.26553788631595987,-0.295931325360935,-0.3359729020846609,-0.26005733066124925,-0.23556219863158434,-0.2397503802766403,-0.3620148519318631,-0.40179601371429374,-0.8700809253591582,-1.234897295181033
