dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,0.15814363733382117,0.42617473939779693,0.4889409529256864,0.5942181508912224,0.634730138101764,0.6958830257583462,0.7384194372975155,0.7721541239400143,0.7744268880572024,0.7924675660377414,0.807224134240162,0.727440822470299
wood,0.33229132518252386,0.5402560459372816,0.6226079019675987,0.6657653007081096,0.721415369582749,0.7493093077858064,0.7806606953789056,0.8192925478080012,0.8226239698230546,0.8185640213450002,0.8223514484927511,0.739683961527364
metallic,0.20224088661644885,0.48561108047369717,0.5001602410176688,0.5506081284138589,0.5609361760288583,0.6166887539787903,0.6445405934153005,0.6688411521878939,0.6622513790605042,0.6582185957256269,0.6500958924889291,0.567378224611325
fabric,-0.1816470097552644,-0.07083063005214302,0.15520306061152794,0.215855008088747,0.2918546283093303,0.41711491991039784,0.5146165241265225,0.5201937640380402,0.5209440695944714,0.5484698628953604,0.5910546984230669,0.5028707195251456
white colour,0.5007320575672052,0.6553330572883301,0.6219658708419621,0.6845053330115443,0.7222256437048898,0.7686257130795207,0.7892883425898118,0.788913221684381,0.7870668153890512,0.7855499820269036,0.7940951411119463,0.7139642768954789
grainy,0.12484483471225202,0.36196218108241773,0.5674226124841695,0.5447303871978958,0.5873606781111076,0.6292438577311423,0.6785975837931216,0.6865551204918298,0.6875830687171147,0.685406579433294,0.6805766073344136,0.6195358762234427
crystalline,-0.2124761132321667,0.12311102970121546,0.26758385335263146,0.3175292480336286,0.383540339478936,0.4777362934153661,0.5506170741977733,0.5930964193171451,0.6096460885187349,0.6182917056685268,0.5978150573580895,0.5791563292207835
"straw, fibrous",-0.1580671604923801,0.05194121790836087,0.07962673479688898,0.2001400377524069,0.28338203651331506,0.337068313733518,0.4107236481918058,0.4560685981154037,0.4718127037444913,0.4871188944776682,0.4355959181085084,0.3412807265405478
cloudy,-0.05606983039917059,0.07326253885506603,0.15431139330569696,0.31636451017541833,0.37077125993688886,0.4202395463876746,0.44191839843970965,0.49999257610305925,0.503398603001936,0.5314821833249663,0.47492053506666554,0.4531660282244925
small,0.12632372832865846,0.250753760557573,0.4621239566608203,0.5723990809353071,0.6201977413047008,0.6356603379021769,0.6321829573552084,0.6582190086937476,0.6340944569951621,0.6465361825325172,0.5476144869680205,0.4479455814109629
"beige colour, tan colour",0.33844778509714624,0.5731403355254715,0.555774884166248,0.5617258065425019,0.6079437245716396,0.6489263773835653,0.7011132019329339,0.7015553722611303,0.6924008675374413,0.6823908402309838,0.6332014992781626,0.3554787749984807
viscous,-0.27343386369253847,-0.1558406444053822,-0.05086601360647275,0.002498102987542572,0.03329833259460918,0.08729414362447271,0.07595496157415067,0.10454627598268518,0.0505267688780639,0.06334022956494437,0.1103727203089389,0.22436645410159112
black colour,0.16198691440529858,0.3870033417357076,0.39865425196511095,0.4723036213898489,0.5099178180713354,0.5395085379756106,0.5930606093623417,0.564188053857475,0.5426336657777248,0.4850419485156497,0.4218089125993153,0.25234013855109444
brick,-0.2650852002961247,-0.1304796422088311,-0.1253007756372832,-0.03302416212825225,-0.007805804166732444,0.04233962049088001,0.1507406780191451,0.20284447394987395,0.21284364143363294,0.33643416194431264,0.3240611062394098,0.2982021826893143
swirly,-0.13732599168536902,-0.0255689189050916,0.17893685197503242,0.269195281425541,0.3064274024081399,0.39171521844182433,0.4421595928902198,0.49219894420662386,0.4780215653783526,0.4771610826938112,0.44739283854792544,0.41645938548530437
maroon colour,0.11626861742828805,0.22105421005959558,0.322993057043071,0.3669385043115176,0.40541801867126664,0.39715759049413035,0.42412993607588956,0.45529764909085485,0.4410251255785969,0.4919182026613237,0.43248682531323207,-0.7206693481229307
"lines, long, tubular, vertical",-0.15713306225324625,0.020458162492347786,0.20974651062566885,0.2542160224332056,0.34539035151706665,0.3476515249939389,0.32911051220879234,0.43653565562322993,0.3888927074213936,0.4319185639441606,0.32376853099887815,0.30475743477569334
mesh,-0.03883052937727246,0.12279425207344481,0.37495065024962704,0.529896102725339,0.5100900971597558,0.5064332546117091,0.529054570601444,0.6018266209712871,0.5987622039022168,0.5873610250508331,0.5872992899063166,0.41234584465798535
