dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.055328109402375314,0.23664204921794085,0.3304589685317235,0.3993247821308431,0.4693271965108172,0.5703538830863306,0.6607959491077942,0.6893797606202652,0.7110197387358397,0.717849730630951,0.7243640290166788,0.5731966165854776
food-related / eating-related / kitchen-related,0.09922156819641537,0.29409461975254003,0.32740714039517216,0.4151839699934148,0.5494857945240728,0.6302505839816035,0.6724232332002384,0.6884321365698723,0.7183172810249934,0.729942267107861,0.7555229769184324,0.6686997182946626
animal-related / organic,0.0472425431498984,0.20420102158892783,0.3071069967445438,0.41376361455180766,0.5371921414427064,0.669087249785942,0.7385819556596429,0.7720930091133569,0.7857226798329189,0.7868925528650815,0.7573155956439594,0.6144343555380118
clothing-related / fabric / covering,0.029180436606061178,0.06918997929302206,0.14121932687780958,0.18134386323446516,0.2684349254148435,0.3965089047081789,0.4704011840522321,0.5161790229210075,0.5386323509941584,0.5794523674378759,0.6208272239156537,0.47333855309104433
furniture-related / household-related / artifact,0.036605275950333804,0.2105557894243152,0.2765852660765642,0.3725270498922614,0.41708798806837777,0.48831314818275406,0.5644727302783469,0.5974972298697232,0.6242651541406674,0.6320541815517013,0.6404692641970642,0.47137063805053436
plant-related / green,0.21039070945361804,0.3821659196119065,0.43266569259432874,0.47598864503234706,0.571011324594058,0.6488479897244841,0.6987075052526811,0.6969907914540793,0.7017348061866178,0.7017414543559907,0.646263234696814,0.42672205383685535
outdoors-related,0.0571769396237668,0.21314390579246711,0.2508734304410122,0.33397767179182714,0.40330796500783506,0.49220685745869186,0.541046290863155,0.5673297322500008,0.586359590174885,0.58657625506167,0.565577360512463,0.42141873700620003
transportation / motorized / dynamic,0.0724365562339292,0.15909489790350062,0.22979658732979402,0.2865797558492009,0.35283475854209867,0.429637591724197,0.5436467706823243,0.6145132717871287,0.6223649517324394,0.6341714227371,0.6341498393675647,0.41093630017180327
wood-related / brownish,0.05152953241270275,0.15403159090570728,0.17585907796073363,0.23755625889917498,0.29706496918023084,0.3687502326008576,0.4393876073688645,0.4785568712350369,0.5226347873806442,0.5307882447840389,0.5116026862593984,0.39828396941974953
body part-related,0.020013506909338896,0.06344137542703698,0.1839988382271064,0.23057607275153236,0.37991673192316433,0.5655853209289954,0.6569804781596593,0.7009643408245104,0.7235122847956704,0.7218677165382273,0.6523276849662932,0.523357171349621
colorful,0.09040880406571905,0.26829774358465375,0.29337292581896013,0.3586107733181745,0.47831158722322753,0.5365356662792151,0.585437289757087,0.6181416763986334,0.6185105244047742,0.6222430778687353,0.5824788547319225,0.3934552586132276
valuable / special occasion-related,0.0069045183026358314,0.05014054717044103,0.11924310365497837,0.19419377041308672,0.22095406907460557,0.2742855000941653,0.3156303104113912,0.3656314409024045,0.39115051328695627,0.42866756446398857,0.42716513947662094,0.2853406113168363
electronic / technology,0.01134008545981846,0.11983741988459662,0.17603001198199286,0.2123060297901499,0.2901778991966788,0.36352698219013013,0.3935597779843064,0.4322298001692101,0.4509272698410467,0.47720443055887685,0.5241349185627624,0.47385243394666454
sport-related / recreational activity-related,0.0067852022512926435,0.04821521250263294,0.07204074876264766,0.0996584492470034,0.13023998682181703,0.15472473494593164,0.18807047047412384,0.1998760434712551,0.2367523075905551,0.2630608090047275,0.3438647943627007,0.30422513860847267
disc-shaped / round,-0.0005154669523366184,0.008352191960423694,0.048268622111687365,0.13315307334851523,0.2632971088620354,0.38173872525605757,0.46432595067660365,0.49906396661031094,0.4984405748180074,0.4919813773504298,0.4449210576254794,0.26498352275152315
tool-related,0.029215974711375492,0.04256111290230913,0.08297181287289379,0.1425121452199435,0.19522725191849255,0.258310759318475,0.34217279241556753,0.38465937568422826,0.42264568614682496,0.4729770359876002,0.5459401972525368,0.515063053568239
many small things / course pattern,0.10528979677768213,0.11640966904978245,0.1802307403900235,0.2751158310480444,0.36245533723192125,0.45918878475276437,0.5175676916097298,0.5453013451151103,0.552547747065769,0.5492931170648176,0.4635364928507787,0.2832694718897235
paper-related / thin / flat / text-related,0.004256932336379138,0.04855221255083941,0.11011331474257335,0.19527848968105488,0.23834115876767636,0.3038768130035351,0.3766854986774145,0.4037318321594091,0.4124315460926343,0.43189343456400264,0.4886979660843296,0.4855564662650099
