dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.05539956989343209,0.23680757914364936,0.33077526328419227,0.40014511901587624,0.46874871791787365,0.5711945983226819,0.6637987509627385,0.6999078517912741,0.7221565233773677,0.7352556768884233,0.7450635950920286,0.595724747547851
food-related / eating-related / kitchen-related,0.09902481895615978,0.2942261017950084,0.3276900467771272,0.41589333380013604,0.5497844477728213,0.6322466357012511,0.6776645017981133,0.6993266263544453,0.7313702781226615,0.7493521882010876,0.778852400580456,0.6878144484329118
animal-related / organic,0.04724114318590744,0.20434413783102645,0.307316629383382,0.414135665909275,0.5377978074168868,0.6705373041545446,0.740957343524772,0.7768844308784242,0.7924283619614967,0.7948789762176054,0.7745655307357409,0.6367034103346814
clothing-related / fabric / covering,0.029600995173079903,0.06930595737051937,0.14146283415952787,0.18201581125778188,0.26957527982935814,0.39959155631540233,0.4792060640119067,0.531225540464059,0.5568993121501913,0.6010973260825014,0.6479486881686363,0.49865689791605716
furniture-related / household-related / artifact,0.036673396174834894,0.2107379576412024,0.2769052120328638,0.37311964944332143,0.41917699730921654,0.4927807093819111,0.5723701832012253,0.6103243249288313,0.6382853630842749,0.6555900235317638,0.6674014324191551,0.5039710548381856
plant-related / green,0.21039585400468686,0.38228842065167123,0.432682785984874,0.47636710343625055,0.571469199409535,0.6505237343897265,0.7014553480338832,0.7049201499673421,0.7129684828603917,0.7130036680410252,0.6659757017710652,0.45744970515658145
outdoors-related,0.057223196154963296,0.2134410736675617,0.2515758422278105,0.33515044664699134,0.40515249254628805,0.49469305570191735,0.5492007512380099,0.5800938601598835,0.6052427343613029,0.6163288068564907,0.6038677157273369,0.45962292498379154
transportation / motorized / dynamic,0.07250831196092089,0.159567257452377,0.2301340382901501,0.2875666660175735,0.35466727961607913,0.4305902846576247,0.5476840968077354,0.6220338879775065,0.6358347099164352,0.649695972326055,0.65268430039877,0.44917098149646895
wood-related / brownish,0.0512194415154229,0.15460964331019655,0.1768778980801321,0.23858279819796735,0.30073481218483367,0.3744159193445321,0.4489518781616578,0.4938121755918682,0.538521729114584,0.5585295329767511,0.5498152369944548,0.4344515149819387
body part-related,0.02074923717284971,0.06259558139872246,0.18411249137156682,0.2309778721776945,0.3800359989412746,0.5663304220464247,0.6597179135630236,0.7056781453329306,0.7344959660001158,0.7357762136433276,0.6827972771512099,0.5513237818587364
