dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,-1.3627880596932078,-1.3493118978213237,-1.244524955158353,-1.234638877421684,-1.1642182971668298,-1.2685244085625174,-1.3286510965317895,-1.3859244674411402,-1.7146069472680474,-1.9348256049309138,-1.7447401079511655,-1.8419688594315495
food-related / eating-related / kitchen-related,-0.4204210032759772,-0.35669928881383006,-0.3450691425236305,-0.30969165920461283,-0.47780994240379826,-0.449245800387871,-0.579409956147388,-0.7723020145635269,-0.5795440209025331,-0.5176364114912173,-0.9984673946843834,-0.8724924637775169
animal-related / organic,-0.35130077790016356,-0.23915635967705495,-0.22802230826914838,-0.1184639375583505,-0.16048709906809044,-0.09496031430591634,-0.2487310459679135,-0.5506645709644791,-0.2944001704656085,-0.1672012260486475,-0.34784446981779715,-0.45766420247058526
clothing-related / fabric / covering,-0.3974262755624165,-0.31050256671950205,-0.38688095435976844,-0.327797164944966,-0.26014892173793824,-0.2574205867404722,-0.25248686431582534,-0.29931606038369907,-0.4163674777419364,-0.3410807768752506,-0.3893766769848437,-0.4569887315586061
furniture-related / household-related / artifact,-0.5506917156578819,-0.5185694962934861,-0.461985038213897,-0.5011998828268482,-0.36614656853189964,-0.4516738884622369,-0.44097771035484046,-0.435551559560186,-0.8238468121785882,-0.8622925009142492,-0.5967711080202154,-0.7185754337218102
plant-related / green,-0.30352224581599185,-0.18014058278013745,-0.11641087329544164,-0.15393857727223526,-0.05293449396630634,-0.30037488047530325,-0.4116399082810194,-0.5344767303491367,-0.3020805519003289,-0.19595620584191176,-0.5032323599027317,-0.5255129850417317
outdoors-related,-0.44059695697984047,-0.3806797429614879,-0.3280191953180831,-0.38251295186987444,-0.2925275703603738,-0.3798451222932979,-0.40916237382853793,-0.39213484792339703,-0.39512012321984313,-0.6097863130110301,-0.5020495788556938,-0.7108007191730981
transportation / motorized / dynamic,-0.28841964956458255,-0.18817437153519267,-0.12840777465579167,-0.12059232988950574,-0.06297037747082057,-0.132540902842466,-0.006066880652312978,-0.039072066579576736,0.02717389384001989,-0.21010472477642006,-0.15870850565719552,-0.3672249502076239
wood-related / brownish,-0.38114263159739314,-0.4072095449030453,-0.3533721112870922,-0.4600771925117362,-0.39142851574256077,-0.5003304622211093,-0.6227882265057285,-0.5068917582464258,-0.6461011239566468,-0.6923696623048936,-0.6781528071271092,-0.5854813793033009
body part-related,-0.29669494237936767,-0.21468879939816965,-0.2529396995244708,-0.18554344664541356,-0.13717730684121743,-0.18075083391816338,-0.04828697809728588,-0.06801902100826629,-0.2283512432942456,-0.008581810741468798,-0.07447824230127553,-0.3145012609269042
colorful,-0.3429116520959201,-0.25757280441099795,-0.17599505621857303,-0.18669359506594785,-0.08231418204777974,-0.15006203483363123,-0.24911631515177213,-0.2934227938463747,-0.37642961631094707,-0.5495506949280637,-0.40545674663467723,-0.4899383971501894
valuable / special occasion-related,-0.4535480646968435,-0.3786774930895347,-0.3702046058136026,-0.40530028167601784,-0.3175056575945663,-0.38734580209759817,-0.5033270681210071,-0.4256979864862378,-0.6146757868801727,-0.4252012087357402,-0.6432896394575041,-0.5854882917498936
electronic / technology,-0.3439814075681047,-0.322859296174534,-0.2255864548130615,-0.21923999714216347,-0.17973059638993427,-0.2289046008641682,-0.2290652356376186,-0.209994895015845,-0.36946760099957165,-0.4634066264844061,-0.2887426569511,-0.48363730920123515
sport-related / recreational activity-related,-0.39844015265938415,-0.3710712311689921,-0.35219248748591836,-0.37110316339527416,-0.3690706800777115,-0.42202648383868757,-0.463612404784411,-0.47112240491971535,-0.4398911816907267,-0.5110858894343477,-0.5408658296596265,-0.5582135423643566
disc-shaped / round,-0.39491814705252715,-0.36683270888817043,-0.36935754742109284,-0.33115670334303804,-0.3419146729444853,-0.3297874150879061,-0.35244458383192123,-0.2814799928021243,-0.41139854855606117,-0.4034592268279098,-0.5068279282743118,-0.4741704026566176
tool-related,-0.3479518935214758,-0.33648804068090166,-0.2711548223111824,-0.2810722920120503,-0.30338432979440877,-0.34952936498399056,-0.3645945353415023,-0.3290634024062866,-0.30615938703034096,-0.5183843940449699,-0.5470482012204625,-0.3733216176485079
many small things / course pattern,-0.3165741446661685,-0.2834400412659148,-0.24535145526087399,-0.25487295087181994,-0.2754024146729983,-0.31281057227864584,-0.41255879037101706,-0.34228106803273306,-0.511986674355313,-0.5316737546196137,-0.5399206361399338,-0.48506751739051746
paper-related / thin / flat / text-related,-0.3519933500481811,-0.3252456589531947,-0.24686110733754663,-0.2827881272613042,-0.2510050778779871,-0.3293775080802752,-0.295470198163011,-0.26331507099390095,-0.5006146476151103,-0.5218966697295926,-0.4141686719721629,-0.3279475890323875
fluid-related / drink-related,-0.31781016055004874,-0.2945288213830981,-0.29019345864904333,-0.24783682672431384,-0.3006736835550796,-0.2874050429053099,-0.28764773924537046,-0.18849184495932425,-0.3560225276600828,-0.27562874236909907,-0.12364738077782866,-0.3442221165921875
long / thin,-0.3689262009780556,-0.3524698505940471,-0.2565062168191852,-0.26757068490769975,-0.2598353918120313,-0.324928874683692,-0.3858488776971203,-0.2948159527692056,-0.32525751917228574,-0.5382084393681599,-0.48651849339648967,-0.4323291024801559
