dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.06285452741118017,0.2664225695293431,0.3730106868108901,0.45982983510312553,0.5375605655873338,0.6124201377739587,0.6670646602961079,0.7084936987350773,0.7223144089170951,0.7325395893440032,0.7029839476577865,0.6159197115121219
food-related / eating-related / kitchen-related,0.09997258916896293,0.3873892181182821,0.4709742354282735,0.5512212900782714,0.6142886045371216,0.6586696103895517,0.6839004675398572,0.7053797902012152,0.7324494952706246,0.746278356189565,0.7155957516432793,0.6992103012096831
animal-related / organic,0.04740127163100431,0.30909367999896775,0.45810568641610117,0.5682987700040953,0.6529429944345138,0.7208215534599718,0.771390688755641,0.789618406320631,0.7962226182287246,0.7963560549965576,0.7282805192680246,0.6593200326401072
clothing-related / fabric / covering,-0.03193050484305369,0.10201533436902495,0.15542780226909475,0.2675806049809225,0.34653749543524864,0.4314343008203011,0.495738685677846,0.5233355316720957,0.5551391152934818,0.5919363653053653,0.6354758448959494,0.5643086354556377
furniture-related / household-related / artifact,0.019192702177121202,0.27425777705212134,0.3638636935558058,0.43829157232985516,0.4747068463926848,0.5246867903924877,0.5630008096879846,0.5999182911482455,0.6161551356102721,0.6314677406016327,0.6399899270588609,0.5552906704200483
plant-related / green,0.33609733375988443,0.4283991088180035,0.5107734604933387,0.5630572325934818,0.6194320449477114,0.6458726684528794,0.6672265758176985,0.67334175236566,0.6670794389350607,0.6463201146112122,0.5954197067414218,0.48465315863549857
outdoors-related,0.11960470272430726,0.23095022492359032,0.2991098348334537,0.3996320411523675,0.4591371452796298,0.5115530979320387,0.547923750362598,0.5652124738968021,0.5780312075349858,0.5757024268628994,0.5626612392374691,0.47412888051571667
transportation / motorized / dynamic,0.05108069789545685,0.3113565580511752,0.40781635579188835,0.48578629994738504,0.5429286920962776,0.5769270828774478,0.6329545442455982,0.6572191095761146,0.668305496679338,0.6670993081821698,0.6213964831574736,0.5054382301343618
wood-related / brownish,0.06772578120557915,0.1756823700067106,0.20870079135521982,0.30808978924568875,0.391043156007585,0.43524093843244327,0.4823615561049454,0.49934767922651646,0.5239611202909145,0.5373775277824182,0.559948282873131,0.44952718046404805
body part-related,0.003687042395362683,0.18652333514596514,0.29468717720722365,0.39443097030508517,0.48927183252669887,0.5674256839338024,0.628504014576585,0.652930047370752,0.6696224655882042,0.6666537410618546,0.6669536375257155,0.5620434787385574
colorful,0.2447423240408939,0.41042077826043355,0.4707785485343015,0.5211619654584025,0.5577881997115461,0.5826856164926355,0.5913629667400102,0.6052267260639048,0.6102563882865606,0.6064535066853975,0.5684755983104741,0.45133286302065195
valuable / special occasion-related,0.008856458085594498,0.11005085560151573,0.1640700009766432,0.20184938108367412,0.24126226755610433,0.3051441281962547,0.34642025248373187,0.38799904010790387,0.4059826343723792,0.4305584643928578,0.4368390804862493,0.3526386562535826
electronic / technology,-0.009311338036863959,0.1512478565681779,0.2010184807608601,0.31225254498099225,0.36512047856289553,0.41186190364374725,0.4368056283201498,0.464187434035532,0.48615462556384836,0.5032996394213054,0.526971529853656,0.515109844099488
sport-related / recreational activity-related,-0.042997369792932595,0.008343801178747823,0.018462133303860873,0.032832227627819524,0.08001175239173508,0.12290564196636067,0.1527682759219403,0.18423943523376343,0.22121691522536452,0.25483627171600615,0.2889689496513447,0.32992902524963996
disc-shaped / round,-0.04397377731684045,0.004334068392306767,0.0607360554423765,0.20895931299983617,0.29210868430600967,0.387956837681513,0.46408160970489576,0.4920411401088655,0.4884872536677019,0.4823739257191191,0.4416546840869466,0.3343259843707166
tool-related,-0.0003534600552733691,0.0643137045115014,0.11521228279566831,0.1755360123784763,0.21471700423246493,0.30507232593303923,0.3752016435320366,0.42746470808160647,0.4638205885152823,0.506585195500884,0.562920352362833,0.5184005968143579
many small things / course pattern,0.06698382819040109,0.188228393720183,0.26757096968168553,0.3525864563301885,0.4016125611627171,0.447901025117174,0.4901637854873055,0.49625340675772633,0.5063158222816512,0.5182874444347281,0.47240136358616375,0.3369429667868459
paper-related / thin / flat / text-related,0.004974850373156736,0.0777408946784128,0.146096127118988,0.21143066048822373,0.26950580383944356,0.32987792127934185,0.3733458473918662,0.39132255294986706,0.413666471358814,0.4587010750183575,0.502027559830081,0.4840596159398968
fluid-related / drink-related,-0.02318071271353366,0.014291261947553934,0.08653341879191094,0.1703384680511702,0.2230534163703382,0.3072974349426735,0.3665176818609233,0.43360255984878576,0.46823258455711947,0.5064552713199708,0.532745518396393,0.4959204518658071
long / thin,-0.001442053072914984,0.04138446829263308,0.13441069694660918,0.2115066026283289,0.2515230363938355,0.31357850121212283,0.36722280182574063,0.399426898161403,0.42844777775072523,0.4577292501333724,0.4887038729532273,0.4283398555668095
water-related / blue,-0.010907981738983441,0.048246240236820156,0.07988649330242743,0.12956788348144727,0.15755790386102422,0.2014306620103012,0.23613502186964905,0.29167212801337394,0.3264792902895367,0.33359042736954225,0.3505197679981614,0.2955554140431561
powdery / fine-scale pattern,0.03182815125107542,0.1391525952376551,0.1656837649185289,0.22066867181303973,0.2791562286160576,0.2949591714798304,0.3092956245109718,0.31728991904702475,0.3310413577713569,0.3232899655608745,0.3305668460085332,0.24360800577504263
red,0.3665859196763351,0.4920985448839649,0.4968113331248182,0.52147779384115,0.551307879840775,0.5711503818478991,0.6148936095721783,0.6040036770147903,0.5983743878918253,0.571570761261251,0.501198094436576,0.2865744132019249
feminine (stereotypically) / decorative,0.0020844103805157887,0.012631282997063198,0.055026067645815836,0.08164361426667222,0.11237044338495931,0.14702804706997089,0.17880309636829775,0.20633068274996447,0.21299679555419893,0.24125738474727693,0.26827918409239876,0.2558373766134887
bathroom-related / sanitary,0.0433405922430819,0.021902645586736935,0.04481066305971686,0.08230155249948347,0.09334559343439555,0.10608745831427402,0.12759771984009277,0.13063433713868608,0.14656143131863048,0.16702117242457332,0.23611447981998723,0.2542170481505374
black / noble,-0.007954172426721784,0.08953677452944636,0.10494543844235511,0.1550788485680151,0.18570199087661013,0.22532282917694113,0.24593275318122507,0.25361945272951997,0.26777624959313984,0.24665621056391177,0.24403135911533796,0.1541912902753267
weapon / danger-related / violence,-0.042040368954852456,-0.03460793657540871,-0.039655669153543724,-0.015410736046868101,-0.01799886177526049,0.023626381184507807,0.04692632394161247,0.05968534796598779,0.07825507364028597,0.0848563944409639,0.13598459510968713,0.2033617879925033
musical instrument-related / noise-related,0.00591841558246633,-0.028889702431320198,-0.035117507472132346,-0.020463727117951035,-0.007729063501607769,0.009858728103370195,0.019956887986893778,0.03771240879780474,0.04719256397411312,0.0695666359127856,0.20975188197382258,0.33924042802080745
sky-related / flying-related / floating-related,0.16139313217248463,0.1483589134042159,0.1871406256314488,0.2584669898296525,0.3010573755490529,0.33471181861637167,0.3379569339670171,0.34036162897861677,0.33874506202826726,0.33626145422107656,0.2744505105493776,0.23195625590845803
spherical / ellipsoid / rounded / voluminous,-0.017704303199648774,0.029252073906008747,0.03967772860266344,0.1079284958877299,0.16781394974170852,0.21879501139010404,0.2746681100928393,0.30645265954449924,0.3210409420373054,0.3338459561036772,0.31996919725846545,0.2802643255215752
repetitive,0.028959408879781247,0.06392873036147827,0.09193370473982673,0.15452749887647696,0.15891770860780996,0.17511620108980303,0.18824108641054033,0.18765619250855567,0.1821848907755635,0.17184945917034034,0.17984324670702803,0.13450962108062575
flat / patterned,-0.016716504459954686,0.03184277141580675,0.043972135754895524,0.07906718629206241,0.10810763517431314,0.14865825986049747,0.17898506572008005,0.1896918117260462,0.19109778220735155,0.2113243961455185,0.23413068303169865,0.19608932299420698
