dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.09808583129050537,0.26065915125285444,0.3546987204273047,0.4273926436158595,0.5017213728153814,0.5754746158112692,0.640503964989023,0.6792828888566127,0.6942044184181227,0.7048915892188907,0.7046517739556671,0.503378799169065
food-related / eating-related / kitchen-related,0.19050293516524103,0.3244134291634938,0.39076273993991195,0.4981319257928303,0.569131380673902,0.6189292503209801,0.6515909749475174,0.681826439496025,0.7096912986804845,0.7367921522879419,0.7553342391972221,0.5971056167815487
animal-related / organic,0.09604650939455069,0.2618067093488441,0.3517231790260965,0.46564298070456933,0.5742520940785371,0.6673935654725192,0.7147351510967066,0.746158503357264,0.763962722509215,0.7596512945913926,0.7430533600789133,0.5162533458282816
clothing-related / fabric / covering,-0.013848733835221028,0.08928646001880672,0.1344995259608483,0.1880359030363072,0.2583135890667104,0.36117045904388095,0.4401220289320036,0.48526296715507977,0.5085082828054796,0.5396171618128153,0.5698074469742119,0.4145145695164955
furniture-related / household-related / artifact,0.07735837731162104,0.25105006455250056,0.33139224730805306,0.35751320543851317,0.39711054611219226,0.4640085071459804,0.5349040062479603,0.5677819869227052,0.5978107196975146,0.6096099014525366,0.6072708981258528,0.4040852930197353
plant-related / green,0.28552208055834655,0.42734431275566054,0.47051213264646197,0.5336304922235897,0.5921891292101806,0.6339440065657316,0.6653275318636526,0.6635136497941196,0.6634082607343859,0.669426785550468,0.5974916815670657,0.31084141651260744
outdoors-related,0.11494666119900607,0.20880300665679902,0.2694636603357754,0.3601070343360887,0.40530934302744737,0.4834498679114338,0.5293892921078874,0.5478979738868794,0.5641810482305283,0.5794041070598721,0.5529526213101312,0.3632834589354562
transportation / motorized / dynamic,0.07239080653880128,0.1871491199783324,0.2414084931647107,0.30141448664028225,0.36020478377092413,0.41655169697090066,0.4937975277106286,0.5495668665757942,0.5663591890390463,0.5696940338029793,0.5107972204360982,0.25908467117132805
wood-related / brownish,0.054194474424823114,0.13832966778405673,0.1819841682795671,0.23671623882207676,0.3022557789907689,0.33985915788889887,0.40817562847670236,0.4351621299706225,0.4698325926628568,0.4974205980777303,0.47060508463397055,0.35195575881906294
body part-related,0.01004064031957278,0.13035822949331738,0.18027894690368834,0.28553784651355435,0.4213993972599156,0.5265298209721169,0.6061527986948102,0.641993079492592,0.6730717986975921,0.6790162523030376,0.5932688166536453,0.4779317035912986
colorful,0.2480394216339473,0.37981470720822796,0.4057065636068681,0.4501781808354918,0.5052622842795705,0.5408859568168016,0.5817734409905251,0.6036455227012055,0.6224922709668279,0.6310065055897753,0.5902303640567115,0.3845582862538487
valuable / special occasion-related,0.011496929504560738,0.10788532915492206,0.13649314141487387,0.17341422073823715,0.20519583021723126,0.26133231824758024,0.27756754868970224,0.3220793556636209,0.3386920486540389,0.39040784894451763,0.39139474027056703,0.1736964101281348
