dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.1370832295133737,0.29054061740964243,0.3805745531945752,0.4502955867662962,0.5213607791439785,0.5915619802550498,0.6549137424620044,0.6857552239657336,0.7028659704867237,0.7190671263127477,0.7109396624625043,0.481573291110453
food-related / eating-related / kitchen-related,0.21852633874393812,0.3507207286952012,0.4214428306144783,0.515613545641697,0.5918172833560631,0.6402479826344447,0.6703529126212566,0.6964831248779575,0.7247269183822719,0.7501529745780446,0.768167467088159,0.6615460470303962
animal-related / organic,0.12477644758399753,0.2885173374122043,0.38673592573877924,0.48739753930174334,0.5983086364286185,0.6837084016107944,0.7348457083099414,0.7577261276021776,0.7704418183106669,0.7651549427115266,0.7573010045709054,0.5486105100052411
clothing-related / fabric / covering,0.05040529367777358,0.15304951262118827,0.17555422488943528,0.23446489100661339,0.31338780730315974,0.4077852717616207,0.47130421222136487,0.517222902790129,0.5350650359868439,0.5648966919061114,0.5992514681503266,0.39541107711999735
furniture-related / household-related / artifact,0.11242079119164305,0.28842536992251844,0.35978726409843853,0.3935979486037414,0.42794289163616517,0.5013587609496236,0.5591680056970179,0.5930238601969574,0.6166430370826609,0.6306217038886974,0.6252076721892263,0.38355717612720686
plant-related / green,0.31664313193474347,0.4558773446405908,0.5026460506241777,0.5572709106182534,0.6127452338233588,0.6536666721620196,0.6881183063480658,0.68562747125018,0.6907989759919478,0.6896332568601881,0.6198632143009379,0.3278010222641897
outdoors-related,0.15047303999258088,0.2458635949497311,0.2981190820956918,0.381008326391158,0.42909317857465334,0.5044473682967159,0.5436659873569849,0.559968838720899,0.5862758920704237,0.5960145453312469,0.5686908509104899,0.33245230627797007
transportation / motorized / dynamic,0.11612860353085974,0.23733566165320163,0.2845323106549097,0.3408979342160178,0.3929208698568717,0.4549385616501693,0.5225008505527857,0.5908702987073865,0.5968274438738503,0.6028864475190413,0.559986532033687,0.2801053799823072
wood-related / brownish,0.10524637111410118,0.1835380998653101,0.22870023183676158,0.2753126008145065,0.33277217946019133,0.3761272363792951,0.44080647920856775,0.4637240120287194,0.5031440456707437,0.5281528725104083,0.5028907733753158,0.3055694335962804
body part-related,0.060223587228818154,0.1848385659800551,0.2342097501319803,0.3332598314378462,0.47180631545614204,0.5715608527677241,0.6450699568845757,0.6740292550815074,0.7110165042076475,0.717028357548388,0.6425085573963846,0.3772257759002895
colorful,0.2619304075549542,0.3848984299080065,0.4121611095424953,0.4579405324482354,0.5153373222035094,0.5432104926541745,0.5867756988175543,0.6063447587515067,0.6260867062087698,0.6391098935980083,0.596964630902584,0.3384234981601165
valuable / special occasion-related,0.04152474838037068,0.14734791291228766,0.1769596054416952,0.2129344105210732,0.24429455031497282,0.29156758375520064,0.32227092229645393,0.3510446112952875,0.37216443894916607,0.403409792693188,0.4040196812089706,0.15473127738103554
electronic / technology,0.04323963390102825,0.12549524510742793,0.20737221658022054,0.2838127027399874,0.33857857331094887,0.3723446455844285,0.40565358772302196,0.42200135741034916,0.4379434781684327,0.4542097139661666,0.47697934570021683,0.37740922150861833
sport-related / recreational activity-related,0.024597347271589687,0.08463676315095026,0.10438483011854816,0.11216369596876719,0.14132839027652988,0.17091786490621907,0.1999215427974409,0.23224369076898554,0.2566829257494532,0.2896287090465941,0.3633477640279855,0.28333548377663
disc-shaped / round,-0.0012304754719978384,0.042354534869983085,0.09642709672457606,0.22200648369967424,0.3075173883776212,0.3956032432319161,0.45404800064452866,0.4913146551437729,0.4920657900612685,0.4976209967712172,0.4324659917454966,0.1211726095474096
tool-related,0.038641045414537945,0.10498813404732166,0.1571871282223266,0.1870748964681217,0.2090045436712874,0.27779231559460626,0.339738562620431,0.37186507033455285,0.4225584528453171,0.48031788804803033,0.5551913744677679,0.4302514761962253
many small things / course pattern,0.11452276809482287,0.200080996857662,0.2652248496115126,0.34600019207477417,0.4123615438772412,0.4680867055336003,0.512933441876751,0.5464487354367914,0.5449847724055317,0.5648267164521323,0.49415221649948105,0.24101733616396326
paper-related / thin / flat / text-related,0.02125910827404842,0.1106151195406131,0.17808188452101326,0.22628724325214533,0.2781031986677075,0.32287924804241164,0.38250828431749817,0.40663957978156373,0.42035614082975137,0.44864492014701063,0.4751006666668266,0.4278293990794655
fluid-related / drink-related,0.004772020250546238,0.06704102665473477,0.11582650676044592,0.1638073630062924,0.1982539302913262,0.26902665998641473,0.3314372476004829,0.38612422232686106,0.41890477500789547,0.46356584502079057,0.5404642069640841,0.36457287114546766
long / thin,0.02660883132128844,0.10155603151153092,0.19796711858247829,0.24568831252975043,0.27795092724134707,0.34551176830492714,0.4279131983305068,0.45446822091120487,0.4744563758457192,0.5022606982171262,0.5345358982062328,0.39762424064952184
water-related / blue,0.06564114203621296,0.08880103096001069,0.1039363734470734,0.12184677301725388,0.1433923153169745,0.17120653793115814,0.20185363632159514,0.22476802779671257,0.2527183409094077,0.24487136641944374,0.28705317091173477,0.08027972315757559
powdery / fine-scale pattern,0.06341608007239374,0.17699776042762216,0.22640776402815244,0.2665167882426771,0.2994091132065104,0.31549737195441996,0.32908757093427965,0.35817572640281503,0.37035247712528063,0.3842721931703791,0.3555236435143403,0.1974337363783787
red,0.42232169414747767,0.5211857237874098,0.5443188851364421,0.5528223711461447,0.5544222713761504,0.5855450432350457,0.6020805365104192,0.6084081670399388,0.5972516148386732,0.5908861596461442,0.5074539155255282,0.09726699800090022
feminine (stereotypically) / decorative,0.04985429859046553,0.09125238440203154,0.12118344497247902,0.16583932157844739,0.1781598364795639,0.20010034834340518,0.22431641124715507,0.23789429883771285,0.24575898728348977,0.23940659249400853,0.25145871557064414,0.1440160039883418
bathroom-related / sanitary,0.08264534104279331,0.11128244853460667,0.12695061300646138,0.14303463357828938,0.15905020877040177,0.1740688320818905,0.191906197452127,0.20780430198545197,0.19774977364177315,0.22368422909148877,0.2921959086129503,0.2646957744659689
black / noble,0.060327325361823614,0.1502781500913417,0.16801182790199287,0.21094114768506478,0.23068741029498796,0.2508460402623848,0.26000537093999876,0.26793096168559183,0.2770946704540558,0.28412790535355403,0.2629749862807069,0.11234365437389238
weapon / danger-related / violence,0.007472379622051939,0.032379529353559144,0.0454884373469967,0.060216727332211506,0.07550820190858498,0.09276240299232019,0.10980901299170032,0.11532021404837833,0.12343856647260698,0.13795532703694913,0.1661562918796633,0.13457671095005652
musical instrument-related / noise-related,0.006677952559483669,0.03751563498877597,0.045933492014234356,0.0578244880831007,0.07765574476437598,0.09130552860522656,0.09126755544187348,0.10200164451247151,0.11005405279589697,0.12130085007911229,0.31829291723959074,0.2577410330587383
sky-related / flying-related / floating-related,0.17739064178139707,0.21059939703012287,0.25386847792035605,0.29790917521371674,0.3152367561918572,0.331417613220516,0.3504123812209522,0.35715543491331525,0.3591408341251384,0.35976757436556694,0.3559839452946165,0.10008707638715952
spherical / ellipsoid / rounded / voluminous,0.016607767749875157,0.05298725454245101,0.09282783104078918,0.14915827075500998,0.17750566083142572,0.2305453011543387,0.26177362013719885,0.29752788338386194,0.30782066271524466,0.3837473180948615,0.3528362811117881,0.16755522562317393
repetitive,0.06713032058692148,0.14181577717379823,0.18753676414698472,0.2377247837368236,0.24684597873733172,0.26883410377156536,0.2736023471007918,0.2554188220494983,0.2593749849867337,0.26943877398808347,0.22016345619644517,0.09384684203529747
flat / patterned,0.02641694829678143,0.09089907147709775,0.1642011627161264,0.207661565366131,0.22637048080917377,0.26134961580832206,0.26737712938809755,0.27010403442669084,0.27768001900526285,0.2873296372781454,0.2684950674232881,0.14375809008177953
white,0.05694614456951863,0.11263549814823304,0.12288571653957059,0.204468346165263,0.23522771805198106,0.2593946488026817,0.298590079356458,0.32671052273230516,0.315346774874389,0.29504089303472203,0.2661736482224145,0.09335491871493884
thin / flat,0.026008483837413277,0.07899046702443058,0.10364868517679371,0.14835793833481925,0.15669300624581106,0.17749441790281373,0.2198451368620764,0.22429833549502198,0.22468263975542935,0.24557270311992152,0.2542799108277648,0.23510173179197358
disgusting / bugs,0.016562953247668655,0.04058513624349236,0.07325945053846683,0.10187203264146527,0.1380227617985993,0.17722834455689296,0.2147000138334355,0.23681139349275115,0.2420476873726819,0.22722541085313952,0.2407838988999349,0.05186686056840273
string-related,-0.006912647211316347,0.020875052928057802,0.03762337228105106,0.046053773879943916,0.06310611189452764,0.1028788162629033,0.14304481025216076,0.17239475847930918,0.17528213342844368,0.21733518470260005,0.23768805488297706,0.27039058722776166
arms/legs/skin-related,0.027381287782782482,0.0709462016625686,0.09759897048025179,0.10704522716519127,0.139688770590212,0.15420790604400025,0.20932681574132694,0.21886581818947126,0.231396982625369,0.27391261315136983,0.2771176096621156,0.260909826479534
shiny / transparent,0.006789959082914132,0.031058582705930315,0.04421001333992347,0.07196530539803792,0.07774109715703681,0.09180128617271799,0.1110518044568205,0.12193042627523853,0.11462620077113383,0.13895203895077457,0.1857158027855842,0.09089670560742147
construction-related / physical work-related,-0.002039571464991896,0.027950752886692243,0.0438006633295388,0.05552574770324481,0.06749467993037095,0.08454889775852503,0.1155872530571862,0.12472912663526947,0.1274155669908269,0.14468362865068285,0.16546760785657777,0.15126538966211123
fire-related / heat-related,0.004144132962282554,0.01737163891633353,0.033921813787756605,0.03516643249547491,0.04929982657813714,0.06080658058347688,0.09282014466685473,0.10025994370270697,0.07980923731073464,0.15471040411271342,0.23305837005108476,0.16984041881440848
head-related / face-related,0.026666552966961077,0.06338674116660603,0.07895423142007929,0.09783964682075474,0.12110022729733305,0.1615074321674601,0.1684651082598726,0.19587181036010726,0.2196290844880583,0.3238622869012697,0.24658564973905317,0.14035796490737706
beams-related,0.01956526295206662,0.10857556466603491,0.12372091163121168,0.18032293454671078,0.20313556179712278,0.2204743183979797,0.2235880103450637,0.2440406780316069,0.23996141247366176,0.2434508523124248,0.2196023300983091,0.09428382385178447
seating-related / put things on top,0.0007211697632742986,0.03798647717329395,0.06105069823939102,0.0840877125367282,0.10497511326595976,0.11654127855785712,0.16046713781218513,0.17950784846586565,0.21049307952272034,0.23204134619310623,0.20475855654326225,0.13221761281355915
container-related / hollow,-0.005030866191885419,0.012223344960423765,0.02999722521268211,0.04737374363791158,0.04850838663419099,0.07430164963509811,0.0738544608129783,0.08827227527912185,0.10781966099300944,0.13227648273615877,0.15467210416842647,0.11429288132583382
child-related / toy-related,0.0044121128243012064,0.009017725230916929,0.025172659156030175,0.033869659353339965,0.03859917549445868,0.033627321458925774,0.04443886302924571,0.052301039503047875,0.06031971727284402,0.09124316370049357,0.08385995360216125,0.02819321074948722
medicine-related,0.008998789506414306,0.005336129707163018,0.011415924379945985,0.020728752878210965,0.03448876321947092,0.03893575459965115,0.053404035044308684,0.059631828631527495,0.06388160091881034,0.06364186146603124,0.09317890131755757,0.086274432021198
has grating,0.024782312960167974,0.07651182912776588,0.13354925300939546,0.14679124192271087,0.13141857701821025,0.12119330551342666,0.1315105296399507,0.1552907967385887,0.15540688569903394,0.15086094128065686,0.12561508988399317,0.07474073851197804
handicraft-related,0.0004549349425931881,0.00457804904095338,0.005922666297536683,0.01175907832699774,0.019948172869055925,0.03229601592646314,0.04163323010404363,0.04337282380478802,0.04502244891615359,0.046976146135496166,0.06549307581993069,0.03713630573240445
cylindrical / conical,0.0005437850190459503,0.021962444074660525,0.022387819479049442,0.027890700801294743,0.027277394066593463,0.03218541637954542,0.04247013823936141,0.0451941529103822,0.03725184528379155,0.042653987990988074,0.05592675723387086,0.01504233591357873
