dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.08897362178287996,0.28351235219273596,0.3842297180270503,0.4623857554053544,0.5272653072236057,0.6019063557208325,0.6629376694638869,0.7022037532941179,0.715256452497106,0.7320483554474918,0.7199709904789716,0.6472233889733976
food-related / eating-related / kitchen-related,0.1637497405093495,0.40397762760327893,0.4839324038778871,0.5506593615660484,0.610804370341065,0.6556875452539519,0.6794290086117389,0.7074201183333121,0.728019541934648,0.7546284912539318,0.7488408537150846,0.7459497180466308
animal-related / organic,0.0630199484652059,0.3209590087603754,0.4675880155123525,0.5692423169161962,0.6501619987455507,0.7210052962909776,0.7639860577519352,0.7949660906748485,0.8050820816999348,0.8126038911692552,0.7833699280185898,0.7185243931899452
clothing-related / fabric / covering,-0.00014161641948386982,0.12434716843945744,0.16779511183877857,0.27060256795990323,0.33540935785006537,0.4295279344811244,0.4897862628647827,0.5337653406580807,0.5683098084328115,0.6171907400483556,0.6594549811653942,0.6073738008067909
furniture-related / household-related / artifact,0.05819769135367105,0.29965373850619204,0.3765230185424244,0.4425007620384639,0.46304844632539793,0.5034936460301522,0.5487897042559553,0.584523774572494,0.6092974577541175,0.6392457747118891,0.6506885285838788,0.5521909457780658
plant-related / green,0.35384635594546726,0.44912294662077323,0.5157785986119809,0.5630829577373626,0.6170419407507429,0.649608411754164,0.6727019335935552,0.6864919614092443,0.691045778896421,0.6949226179663062,0.6435924968845441,0.4622786495021652
outdoors-related,0.12217925863044506,0.2507628025677457,0.29801506692252977,0.40051459392594635,0.46188274661059314,0.5092044384066592,0.5530511096343084,0.5657926266757707,0.5802287275426317,0.5877113401472166,0.5732736857672667,0.5064670168357116
transportation / motorized / dynamic,0.08778412788595016,0.32382462615649427,0.41651310688881693,0.48585144894809806,0.5396827391590849,0.5808733811948453,0.6292392078587437,0.6680442169068902,0.6829676070088326,0.6996662016606465,0.6675401941769277,0.4889519815916158
wood-related / brownish,0.08120522044303348,0.17875816111870155,0.2212525970556234,0.30968323918063817,0.3955604809304127,0.4244602561437315,0.47209896114396754,0.4935651698479869,0.5276143182401871,0.5480853439732606,0.560186737094075,0.42692443075215863
body part-related,0.025925025301255577,0.20318630696177795,0.3116753467767415,0.39358932859331774,0.4862946362263563,0.5681639234987935,0.6273669533516625,0.6628726101271325,0.6832481709410748,0.7050244026557578,0.6883101379944501,0.5860432359146321
colorful,0.2589216863217053,0.4311801301518529,0.4774803285074232,0.5223583060440596,0.5544611222139308,0.5887682841227617,0.6028447848491665,0.625054941828864,0.6392698903795877,0.6355253910122569,0.5834133022402141,0.42571348285880717
valuable / special occasion-related,0.02237943449397589,0.12465561724352806,0.17016905343169406,0.20436091665200307,0.2323614488143067,0.2989363437322998,0.3491643055563249,0.3768316886589643,0.399200487011382,0.450143520206964,0.4586966653651749,0.3257262256978256
electronic / technology,0.003582251872716935,0.15853639456583687,0.22002527755550721,0.3141573390702629,0.3641806761109522,0.4060766043272791,0.4339173298909196,0.457250189208258,0.47119980548863083,0.4983704093469402,0.548298819327967,0.5424809772359888
