dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,-1.3670144903033568,-1.3592703430696775,-1.243456591411225,-1.2117688199100471,-1.086364820328543,-1.0469396269929114,-1.00680992896894,-0.9248171675047228,-1.127661938374251,-1.3081463063708876,-1.104929534483547,-1.2297963496623803
food-related / eating-related / kitchen-related,-0.39677143136778814,-0.35039007026465474,-0.34359690678882626,-0.32002338016469545,-0.421038109542373,-0.3161734304259334,-0.3532921011536707,-0.4774501230910382,-0.27167662926020486,-0.19195289994052467,-0.4793788348316732,-0.4730641397967186
animal-related / organic,-0.3482997842875859,-0.24086978939956238,-0.22713439815040015,-0.1258248754261222,-0.1388633765015812,-0.015686431636506626,-0.09990498066542486,-0.29636325293507926,-0.06271143036117488,0.0717913000493503,-0.014972612913960903,-0.184812880093298
clothing-related / fabric / covering,-0.40684815996796675,-0.32118854977235634,-0.38692113079687873,-0.3251534904745035,-0.23964064487675407,-0.20741223675417042,-0.1424127767186114,-0.12116804659744052,-0.18107991459123363,-0.11292559812449543,-0.13075923767228836,-0.27563961643834745
furniture-related / household-related / artifact,-0.5691595090161736,-0.5312162259443871,-0.46178657700129544,-0.4903064056735731,-0.3327135030208679,-0.34495496367774314,-0.26673048052615544,-0.20557843684837884,-0.484911665101601,-0.4576931896490115,-0.21771297969733094,-0.4336262074175965
plant-related / green,-0.29068727218291057,-0.16803275629059522,-0.11547868367072267,-0.14393069369724776,-0.03418077856673296,-0.16610365178963282,-0.22068951689165583,-0.22677087774526905,-0.041579293241753135,0.04202992231364677,-0.1507509743959572,-0.29991902652611824
outdoors-related,-0.45034611900126786,-0.38229992467123974,-0.3278899668196045,-0.36161835825017286,-0.24024614512412046,-0.2625661969234414,-0.23012687298193102,-0.1418196516671988,-0.15005707858333794,-0.23459209523935853,-0.1742382862621461,-0.4465706458553558
transportation / motorized / dynamic,-0.29886732248217607,-0.18941908689418452,-0.128409169650596,-0.12172468951232696,-0.06791317294467447,-0.08937895404952667,0.015022933603803579,0.06672326081495017,0.1044919437222841,-0.05116219915219289,0.024524218824217292,-0.23251130477161497
wood-related / brownish,-0.39477261328622926,-0.4170978266701246,-0.35222903491740154,-0.4364381539491222,-0.3440201902973581,-0.4002008376031527,-0.43784471978129713,-0.30269341515626813,-0.38470005017595166,-0.3657094521385271,-0.3796981717160457,-0.38932705012853974
body part-related,-0.30123057773867723,-0.21706745934429827,-0.25248589622088535,-0.1927865850992947,-0.14839262764714944,-0.11603023021354342,0.04710711080629659,0.09542607423072313,-0.010770515994251939,0.19819072629256373,0.1118080826884541,-0.1546997165179136
colorful,-0.35712064000398547,-0.2595093372368844,-0.1744942938173215,-0.16442738828078673,-0.04249158766414962,-0.07323163663598131,-0.09610741295711134,-0.06549673278857493,-0.12409371993227114,-0.18957530820270807,-0.11582172193662466,-0.24747962990477923
valuable / special occasion-related,-0.4540032160272056,-0.37868263074648345,-0.36870720559538994,-0.3980070845017154,-0.27826399310081507,-0.3065549070722522,-0.3638952712347041,-0.2634798559636611,-0.38352429770741114,-0.20927355087887167,-0.3208359091862414,-0.4235924224911598
electronic / technology,-0.3439678315665493,-0.33292351508735885,-0.22543845656800476,-0.21787134638421368,-0.1415385022192177,-0.1447425538086622,-0.10687964696490782,-0.04355037699852482,-0.18648926021188972,-0.23299642783028895,-0.07264433868799092,-0.2964991304135711
sport-related / recreational activity-related,-0.4063850591854943,-0.37446718540043844,-0.3520193505075866,-0.35895734722882566,-0.30642935432261553,-0.3281630065940728,-0.31091211550625375,-0.2671552189626514,-0.22253442028523396,-0.2682287351891852,-0.2612459135353402,-0.32294094191677325
disc-shaped / round,-0.4046556698967725,-0.3712179247836376,-0.3696459338440039,-0.32361790531380574,-0.31837619638091463,-0.2596300157101574,-0.21652585901907284,-0.13910390160014163,-0.20534157725919133,-0.16598560808373564,-0.2352534481056805,-0.3394094988002698
tool-related,-0.3613313483729128,-0.33507813429387934,-0.27088854436081067,-0.27080605812427905,-0.26021827733397807,-0.27540742180019984,-0.23736829457579267,-0.15231845461878923,-0.09922929000088887,-0.2313114863338952,-0.21010494218904552,-0.1951640626397435
many small things / course pattern,-0.33340056431690357,-0.2806490023715824,-0.24637190201806303,-0.2470849769998369,-0.23070377608495685,-0.20829558513528879,-0.23263957637134247,-0.15112789731967946,-0.2448913320952799,-0.22209217958289873,-0.24850287694824114,-0.29020334301427875
paper-related / thin / flat / text-related,-0.36528514329060857,-0.32358729262593133,-0.24546010202696,-0.28082213304801673,-0.21310357232264976,-0.2550515003381275,-0.1613398299270472,-0.09295550581663825,-0.26136141551049574,-0.28445661328993155,-0.16591919286690104,-0.15785740667800785
fluid-related / drink-related,-0.33342351731705966,-0.2927749963209798,-0.290315992893887,-0.2497585069441166,-0.26662387985296987,-0.2266398244916341,-0.17882871616445462,-0.0987543466680536,-0.187902297147847,-0.09110224198040706,0.0654947490373412,-0.13327102320675932
long / thin,-0.3871554777540134,-0.35158670176850526,-0.2582730038943959,-0.25430751899530435,-0.2328302002442888,-0.23305784283162767,-0.22040818424767772,-0.12477731307712991,-0.1093353094515428,-0.2189839594530978,-0.17879372580642827,-0.17855186949975743
water-related / blue,-0.2742772252667409,-0.21577738444224526,-0.18497909880354713,-0.22049125541502934,-0.22767515042969855,-0.21564044401487048,-0.16594693218323697,-0.1690869520787126,-0.176745695407851,-0.17402254178538668,-0.19110174092011545,-0.2670556584323269
powdery / fine-scale pattern,-0.2746323701522342,-0.19474105842360045,-0.1830689338786926,-0.23581793732397016,-0.20647700136583258,-0.19189165661113172,-0.23450957736234423,-0.24952929145366487,-0.21293804170725905,-0.24300251510619986,-0.22727501292465258,-0.28769690000274095
red,-0.07296486676301295,0.0529970168533227,0.08699792081586344,-0.012823860780885266,0.015067635114677014,0.007322325041070443,-0.005606519785695818,0.05233624796080116,0.10709356431409156,-0.14203208022063607,0.018619073577213374,-0.2751588134260583
feminine (stereotypically) / decorative,-0.3227561348156125,-0.2703851801509334,-0.2815671913383906,-0.2590774269105789,-0.2298812625769051,-0.19596035585399152,-0.2643932871110273,-0.20699027843968087,-0.24657301894333505,-0.19113169900471738,-0.20595309420981756,-0.25835187589624153
bathroom-related / sanitary,-0.3399164936432777,-0.3298141292007244,-0.3246577445034997,-0.30129267389267866,-0.3125730411234302,-0.29939560583581803,-0.2551715972215609,-0.21067321514994197,-0.27484230965064427,-0.23513191833230507,-0.18388088422850557,-0.23093119960467234
black / noble,-0.32856512673657656,-0.31335743050972753,-0.2815280671287659,-0.2508889815274289,-0.24413271264371006,-0.2525877738903137,-0.23108991589653272,-0.17382023830795856,-0.24987726676914446,-0.2585484842564081,-0.23292984172880438,-0.3099856781177217
weapon / danger-related / violence,-0.25596313363004786,-0.24859104030775914,-0.22491849528597574,-0.23467477805934323,-0.21771407161094647,-0.21984615665416474,-0.1997431858866423,-0.18839966205555614,-0.17766326895453743,-0.1927560765010794,-0.18796486132654122,-0.22403088370431146
musical instrument-related / noise-related,-0.2192607417799013,-0.21579301862503786,-0.20042731635642896,-0.20156266933811473,-0.17931751748074154,-0.18859699443635392,-0.18961374584501756,-0.16019058510400197,-0.19136500085831165,-0.19027183511536494,-0.14880807711182809,-0.09225747091285097
sky-related / flying-related / floating-related,-0.2315873163304183,-0.1367259550548523,-0.10236752792383408,-0.09772772919652817,-0.1599718566431647,-0.16714560108174314,-0.010133771342134112,-0.02559235038508212,-0.018524406151067874,-0.0889492062518824,-0.02307737802848986,-0.20455101392680275
