dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,0.05893189049789849,0.24172611107318664,0.3315958854372192,0.40202101484896036,0.4725094380106558,0.5735037563966944,0.6650660552746044,0.6936372178949491,0.7168067630074333,0.7292480246393545,0.735942255452816,0.5839119019015955
food-related,0.09970487913548276,0.2924264697008767,0.32625447003341757,0.4161530229220345,0.550478795839528,0.6331958678960043,0.6763229632601813,0.692675905654528,0.7236438660463733,0.7373245623782003,0.7623718340864021,0.6763618072180553
animal-related,0.04668571612254879,0.20331694455806726,0.30483653064871874,0.4131759399298879,0.5357886271105066,0.6686484801420876,0.7425473381402351,0.7749278591937278,0.784474689547821,0.7843636166888208,0.7555486433138152,0.6198138648166602
textile,0.0351945776212963,0.07867811707912464,0.14322233907457227,0.17753258539934902,0.25855863031013293,0.38999492801620717,0.4549114097369741,0.5142424082129287,0.5308129144715359,0.5750645240063299,0.6274406820217742,0.4934970529920756
plant-related,0.1676843164228502,0.332114414488052,0.3916830564768695,0.4295206885564137,0.5208673557370873,0.5986880248758766,0.6437170999760345,0.6469178726065226,0.6644728158811589,0.665354252237158,0.6291835061953126,0.425793822784271
house-related/furnishing-related,0.03686922289767813,0.23162007219921088,0.2935494510296883,0.3983939425519699,0.44672859434709766,0.51745933649019,0.5969484921862341,0.6349010886760307,0.6542953040174178,0.6689470315588996,0.664539436589713,0.4867505844053752
valuable/precious,0.01926422430561303,0.058655978350443894,0.12001217681416243,0.21237061319314932,0.24616551995098224,0.30292566652337505,0.34892306075993407,0.40599471492398764,0.44225960521732144,0.4902877207719606,0.5007570761775659,0.34931034946086936
transportation-/movement-related,0.07797669810890351,0.17146141924496616,0.2474545993741285,0.30627063808978217,0.3784616618830817,0.4615123948512708,0.569594436364036,0.6336435211910336,0.6478957184800237,0.6573092166656391,0.6574852343939606,0.4267185503381462
body-/people-related,0.012611849119797625,0.05887184227560971,0.19125588791286807,0.24286682251057667,0.3955731510423246,0.5673642257042741,0.6640016667967445,0.7126445197060931,0.734285347906485,0.7265987225489194,0.6599854241730791,0.505035714309147
wood-related/brown,0.046718989818082646,0.1546988415953826,0.1792883319388927,0.24670692553557705,0.3141137939806249,0.3864444873983097,0.45920045123938225,0.4905684213328696,0.5329579268189315,0.5498231260985604,0.5301948602391007,0.40472920017876024
electronics/technology,0.012183062944876033,0.13929207418688838,0.20064209363318952,0.24371219250699938,0.3240118146878451,0.4008132123034327,0.43797522565381797,0.47940927478053386,0.49455164390947504,0.5222198963462146,0.580672345036989,0.5277828897828578
colorful/playful,0.10573261230580844,0.3063703623909835,0.3340183616215726,0.40209194766441025,0.521849754194182,0.5848318257303133,0.639344790257285,0.6676900599422545,0.6626525692093477,0.6627726863173101,0.6169887046066629,0.40790131602308777
outdoors,0.11946067697095586,0.2778853012757777,0.3466920080919147,0.4434906148442388,0.5169107545720808,0.5739573015027085,0.6124184752607176,0.6351456393722622,0.6476728277483256,0.6596804441674331,0.6157469857619486,0.4537352034323857
circular/round,-0.0006417199990658151,0.010737694496908423,0.054266235498752535,0.15641826697006356,0.2922278716365685,0.4159127819626638,0.5067411929730068,0.5497866707131397,0.556887175082992,0.5517767085784262,0.49046526962460657,0.2952178180939612
paper-related/flat,0.013686038371124032,0.05926615728243745,0.12894191651113007,0.2291217108232989,0.29320957129772385,0.3732773074105956,0.4394432578773888,0.4692824395277616,0.48126871525723136,0.5183871622529179,0.5649492884355845,0.5307473754849183
sports-/playing-related,0.012337270529161004,0.06102225915009707,0.08064896717401238,0.1107819003094127,0.14191454328500175,0.16397343492655414,0.1901206844573029,0.19289644016818652,0.22247963075542931,0.25149720532444897,0.3384219087662125,0.29568173846680246
tools/handheld/elongated,0.04369304026843013,0.05622612692926621,0.11904915007553651,0.19004475124490172,0.25083311063688163,0.3205469914774388,0.40685718225023126,0.45326404289150024,0.4883268983602468,0.5417841964880442,0.6158808968632693,0.547443895717955
fluid-related/drink-related,0.004736594216446899,0.04408430808398611,0.07467331816299028,0.10071999154450251,0.16729696838661656,0.26619289483907005,0.34517259712468173,0.42067482438470427,0.4591100875093296,0.4977856745371855,0.55756810433077,0.5002681267185523
water-related,0.06083739812935485,0.08452726431047997,0.10174182046770874,0.12405402339419513,0.14640275082076226,0.16278302170499803,0.22923036476678182,0.2919186600492433,0.3634092271445797,0.36975006696336987,0.42363827738247894,0.19417031476840985
oriented/many things,0.07681919481836363,0.09805028422511064,0.16146473061298172,0.20896375184368332,0.26750201105793414,0.4031493313031962,0.5072955018947642,0.5561396149392247,0.5683843734280181,0.568626044169612,0.5066336426131159,0.31784892887124516
powdery/earth-related,0.003358705604152301,0.1728537599836929,0.21698994027059182,0.22948642231061434,0.3110407063866816,0.39286144854801974,0.41768959501547265,0.43894685478312767,0.44774344069696204,0.42810086471389597,0.4319995202587582,0.3077110937738413
white,0.09683495360250716,0.15497842483845514,0.1735711876640802,0.2614581438039254,0.40002614229440403,0.4628281431891642,0.5368292936595391,0.5820743791865256,0.5654141295903435,0.5562511422118306,0.4952312859163951,0.3089981059325585
coarse pattern/many things,0.08095153124309262,0.14465251782259492,0.2438618392271571,0.3694291208757562,0.4646341160462675,0.5262700391902979,0.5634556001520281,0.5923594469529929,0.5961887410674507,0.5902553553381094,0.5238991115720016,0.37539829512888356
red,0.15935231955800178,0.45136251617694034,0.4664239668395973,0.5405944670949033,0.5832454633492367,0.6434011151302752,0.6954545337699645,0.7042735438628691,0.7024923598029935,0.6843482782838343,0.6021086072253852,0.3082699269880953
long/thin,0.029645693916285576,0.10993375912845593,0.14865375462335362,0.23198389243176754,0.2956150423927836,0.3910714898749347,0.47576766153213446,0.5034184165453615,0.532744683495519,0.5648732877558726,0.5681352611896251,0.4411169862728864
weapon-/danger-related,0.004471174058520266,0.044948945669557316,0.04801944266911984,0.0793652241809556,0.08367748767145378,0.09850885331023818,0.10056568740238392,0.10112911351814446,0.06696731341202844,0.08561856703526127,0.25095875482356667,0.23778660363315418
black,0.02754005533355064,0.18405159714265729,0.18931231242223312,0.3028141319485713,0.40213709312402857,0.42014384597826093,0.4764046299277762,0.5070633137044396,0.5082024700690797,0.4797609266947712,0.38675932650329825,0.12206094652187793
household,0.018573263178537358,0.04397223305002984,0.08193228323809976,0.10849587425692053,0.16414354040889,0.21002502566432257,0.23346256369443663,0.24051406713736523,0.2521152396583761,0.2777725674077677,0.36075133548270966,0.33027818033638545
feminine (stereotypical),0.05222866354175526,0.1190915438835396,0.11913174069015808,0.1419579049868035,0.16014625496963275,0.1953252483406429,0.21217894761092848,0.2103476336675162,0.23815911617511532,0.24209197516921122,0.22905229837135754,0.2598868837966639
body part-related,0.07731930457497316,0.1252352504794928,0.1857044115117873,0.23194072233949503,0.31928663361345655,0.44540509839800513,0.5527970470941599,0.5622689287392904,0.5796875350178334,0.591451899854612,0.5698268638495856,0.5498806828342899
tubular,0.0067732866786520685,0.02365417102215961,0.05044451742379208,0.09455423418648279,0.1516541628405158,0.21648327350390395,0.28465439584828334,0.3194352485471834,0.33724989853585163,0.34797721251551283,0.3834792207751674,0.3661941126502042
music-/hearing-/hobby-related/loud,0.0125597962358579,0.039867242190722574,0.048372534512267085,0.056941560882781794,0.0672234875788732,0.07836702850178867,0.06937972168642825,0.04317342809586511,0.05349563667280499,0.0720239520910777,0.3556561223546606,0.37611643997431066
grid-/grating-related,0.0071142104544382745,0.08428012416388964,0.21813802264684234,0.28615964323677145,0.35712408505189974,0.38138595820043864,0.39857690923170874,0.4424294447049435,0.4325582000985342,0.4046867559015902,0.35786069482604255,0.252786872919863
repetitive/spiky,0.03876190915354527,0.11376809436268798,0.20538394898767165,0.26242849230674903,0.33589706107748274,0.37454874069048416,0.42283255863464153,0.4148799936413786,0.39650002175021903,0.3625291462185146,0.3123552233622584,0.15670792585761917
construction-/craftsmanship-related,-0.0025116591046747683,0.044904714788001066,0.067192939091961,0.09949758281091392,0.11097191819415142,0.12818319828807945,0.16506824611348636,0.15943351813442308,0.16843685930126318,0.1940412544142759,0.2667567270436041,0.27895782360905874
spherical/voluminous,-0.002295575250452986,0.047475876864692124,0.06467408526321561,0.1096687597996816,0.17452795945342858,0.2601159461337078,0.3311246025894198,0.3759306615852255,0.3968712644307719,0.45564904511108895,0.42420765877695177,0.30813471047392715
