dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,-1.4076520130157557,-1.3949516946677325,-1.2922109314888521,-1.2740833615320701,-1.2068457524210343,-1.3158595414492544,-1.3962679171618655,-1.4525716719362585,-1.7575918864828721,-1.9909025169132084,-1.790905874782807,-1.8976747748872245
food-related,-0.4451720976406357,-0.38789673712263806,-0.3720993273209765,-0.33733457004620915,-0.5062796567927996,-0.47742898705609527,-0.6099550198467445,-0.8040436284417409,-0.616547146744759,-0.5492873929404727,-1.038845157945382,-0.9044866093309321
animal-related,-0.37528690213959215,-0.26493066789325637,-0.25171506564252244,-0.1464782654497443,-0.18799631941497297,-0.12027166109062204,-0.2722840443813299,-0.5821551154478735,-0.31947991621348093,-0.2056011035731624,-0.38827374418484206,-0.4956308316066107
textile,-0.4915171557643181,-0.41859667783372423,-0.4812549849019401,-0.43351557085490167,-0.3764019889740233,-0.3918900020266338,-0.3964663961953394,-0.41783461514393894,-0.5799013248590394,-0.5010382320610374,-0.5419551121346595,-0.5745878867585075
plant-related,-0.36714646585144073,-0.2435162855350559,-0.20653390639073854,-0.23672017129398504,-0.14433508320105792,-0.36130290594390435,-0.5197935759256289,-0.6480372962290393,-0.38305018758979736,-0.27659991244634785,-0.5658322828379732,-0.6214681775389892
house-related/furnishing-related,-0.6066913021759721,-0.5747724662729472,-0.4857953165829858,-0.5518914671449295,-0.4023521483055641,-0.5216287633782606,-0.4975546308217338,-0.47084651055660176,-0.8835537620760066,-0.9721850003807284,-0.6136974334240404,-0.763656107716389
valuable/precious,-0.6457390837870656,-0.5715187633464334,-0.5576836979841446,-0.5890583549192887,-0.5263861580858786,-0.59793515749889,-0.7430327084181647,-0.6656536206546135,-0.8714080397342625,-0.6417315534670136,-0.9025040769468538,-0.8139527817516008
transportation-/movement-related,-0.3573866736716089,-0.24896511198671356,-0.18961230553901975,-0.18201203035359304,-0.12455598258691514,-0.19886863721065318,-0.06913782235229204,-0.10963968528465995,-0.06009140632510923,-0.3043374966436432,-0.23725162241360365,-0.455355840469571
body-/people-related,-0.3697964686081081,-0.2781018648663782,-0.33181434672667387,-0.2494676426550222,-0.20455818485787858,-0.24091432003524327,-0.12556105138236906,-0.16725800905373567,-0.315382900915369,-0.12455099848933782,-0.18597576346028322,-0.41814244538471446
wood-related/brown,-0.4681771579463849,-0.47410221635600247,-0.4261523683922068,-0.5395079718449884,-0.4864678448596045,-0.5739728460031499,-0.7135087668620932,-0.6148388899203814,-0.7432732570805829,-0.8037555399255427,-0.7979618935067048,-0.7141690444525546
electronics/technology,-0.4284442498505465,-0.41131171138617817,-0.30881850730372107,-0.2971467279177853,-0.2584270512078555,-0.2961103864554546,-0.30080807800842524,-0.28670352289128975,-0.48006215451024614,-0.5802761906826581,-0.38017910491392093,-0.6012680058991926
colorful/playful,-0.4005042890626296,-0.3052888891357197,-0.22112928442983737,-0.23209662365436645,-0.1323301027038033,-0.20797354072943874,-0.3247031162506515,-0.3738482237123588,-0.42446165076674847,-0.6402659642221318,-0.4781219728424495,-0.5975045423872964
outdoors,-0.5201377063761865,-0.4081809896977826,-0.31439900029198253,-0.35367274249381087,-0.30512272418457953,-0.43613690455937215,-0.460535842679481,-0.47515146362443317,-0.4037364342080825,-0.6369461627569928,-0.5714880466768746,-0.7837172112355479
circular/round,-0.5142975675045549,-0.4771845187548711,-0.476398423545213,-0.4424028146604273,-0.45295874672126146,-0.4469623154401008,-0.4742313795566191,-0.4229853248379878,-0.5442563396703992,-0.5504373302211887,-0.6562374965872182,-0.6293155995963426
paper-related/flat,-0.4925357719747947,-0.45924284499340495,-0.3740533679959066,-0.41120704456233237,-0.3831128093862821,-0.4817316805790848,-0.44861007872822367,-0.41411486423525745,-0.6924281126001213,-0.7459522162620624,-0.5814463614754675,-0.49002911228720225
sports-/playing-related,-0.451074736009355,-0.42032506670004866,-0.3997622967924115,-0.4135506490618337,-0.42495652234616377,-0.4709991298023135,-0.5343513261692514,-0.553510297887879,-0.5379213386506525,-0.6228281427057616,-0.6379698410184109,-0.6399617300088352
tools/handheld/elongated,-0.4471497465080758,-0.42620587356842576,-0.354638797836865,-0.35244398244781805,-0.3821712500179222,-0.4261372735758653,-0.4716952170080668,-0.42912140892752815,-0.41790066248978897,-0.6519573997836488,-0.682598423790383,-0.4684269710082447
