dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,0.07446996545677023,0.271169098523972,0.34860480538530225,0.42981899185086,0.516178528785361,0.5714467982903219,0.618035348471835,0.6589561832050873,0.6756383087758573,0.696912509796827,0.7022648254826869,0.56526972289289
food-related,0.11582924210157755,0.3020439556747768,0.37280015958176593,0.5040788058743195,0.5670101499020075,0.6071461091063372,0.6249904218580199,0.6392220418498166,0.6753148409757079,0.677069438568663,0.703069107011318,0.6416229629376013
animal-related,0.0805858569291963,0.23426452287036037,0.34541268655311397,0.45736656026016476,0.5875272530858711,0.6698163388836732,0.7371407866682868,0.7485372759169826,0.7526368055981576,0.7518229518290067,0.7182259686840469,0.6087831594900722
textile,0.011700082403831968,0.11302611128864386,0.11532638060853051,0.18182809282591003,0.2583967423385924,0.33390449579720466,0.37248738389581987,0.41036029706443156,0.4241556890390294,0.4865271015277706,0.5380359961396934,0.45627778385843865
plant-related,0.1890419893787446,0.3346039619483784,0.4061634101325825,0.4696083643175683,0.5393017954863414,0.5752481425439642,0.5905974527222005,0.5865370389661411,0.5919739156451106,0.5895357652081458,0.554958409911422,0.3983300757316249
house-related/furnishing-related,0.03594716449992439,0.24761607435583793,0.332764388215761,0.3812970574989916,0.44566720607453086,0.49674942466882116,0.5339666411839946,0.5608841660729312,0.5697165124905837,0.5815665146612685,0.5873597276032421,0.48296367278382224
valuable/precious,0.025374559913729212,0.13822488236935043,0.18250549579256323,0.21878500235128193,0.23205596904391937,0.24398869549394897,0.27628513154721107,0.3392414674718629,0.368554643046171,0.3989973021008728,0.41309615897217383,0.35534889818411497
transportation-/movement-related,0.05879752126720408,0.18762235995725937,0.25180889227131564,0.3162937348350969,0.4149799817529267,0.47911783683680154,0.5497836500814678,0.5748521907959687,0.5761759569973046,0.5888461695054457,0.5948129682209036,0.4063890481429698
body-/people-related,0.006099311630092174,0.13750881595205877,0.18483384893736465,0.28766993996581824,0.44133674115480315,0.5343603240505048,0.609926736739149,0.6355196970244282,0.6572703737383416,0.6455440923336522,0.5886040368226393,0.47244299932252387
wood-related/brown,0.0753764104747725,0.16252264273210462,0.19851099666175828,0.24644421232525643,0.2984887819929092,0.3549662949869079,0.3925239228468532,0.3971898457468145,0.44457790634031014,0.4659726360466802,0.4694112717551565,0.4009339625567797
electronics/technology,0.012096479182565545,0.13118644996957465,0.19846837132778172,0.28641129651881403,0.338114634754883,0.35880887372892145,0.3606801570673279,0.4003583917244947,0.41711098979132444,0.44075563647348853,0.5374959648116041,0.49139439197867124
colorful/playful,0.260939461031253,0.3588395609015619,0.42065604074616136,0.4932983908304783,0.5631883431288315,0.5682506590473773,0.5915236198400511,0.6014330991944148,0.5816735853112739,0.5859745871765274,0.5399425942843729,0.43167731532986187
outdoors,0.1626420564669339,0.2687179345961984,0.3728840060724522,0.4611796763551337,0.5153303361394682,0.5570739330564995,0.5722250825777656,0.5485901346337098,0.5787639014582135,0.5755675212453475,0.5333303892592675,0.42683637437759614
circular/round,-0.02070642458898623,0.03612606737616891,0.08270815140105559,0.21714630684416053,0.31534104960915393,0.3970385388312333,0.46061421640722094,0.4744723769835269,0.46326263141210217,0.45420636488533506,0.41238019470883625,0.3068154622937359
paper-related/flat,0.002542424729685333,0.08170402735935832,0.1793825984022806,0.24412657821208414,0.27883842036991824,0.3192893873903926,0.3634388612199163,0.3460523640142348,0.34982912492572665,0.39232364716908724,0.4199825497312705,0.4577319686723376
sports-/playing-related,-0.00400350023269439,0.04468497377532441,0.055283499241099876,0.06607737839397818,0.04292479653882582,-0.004754261308766316,-0.03232219233088105,-0.056755131237430104,-0.033490602585369865,0.037421179850805085,0.08858409134444732,0.16749052598452313
tools/handheld/elongated,0.0398591893254067,0.11127202514119375,0.1735840832542712,0.22479616068875236,0.2739556952159082,0.33020040347426916,0.34574039446090765,0.36995823276907835,0.39607785126852646,0.4598586568926577,0.5403441982857472,0.5183062205121677
fluid-related/drink-related,-0.004062513737052664,0.05183854045776852,0.08772666691323486,0.1337867722207562,0.17481730323213127,0.20202130747989386,0.25939760045175503,0.3159143785820044,0.336893626312717,0.35268369297653457,0.43784825831113305,0.44470497326235325
water-related,0.048714379211075055,0.07428568180592283,0.08423037145191627,0.07538106449289653,0.0825992127308364,0.10569817948582702,0.11448873055796718,0.18415158024786202,0.24174289106974242,0.23994820716951232,0.33257609790586584,0.1446881690760775
oriented/many things,0.06231100411579974,0.13389274000279022,0.18049036245835026,0.20989827681728696,0.2832147346630237,0.38389923566212425,0.4551157981935143,0.5027454757848394,0.47704003414716895,0.4878794972646472,0.40548318382604254,0.2586924521643496
powdery/earth-related,0.08270972985609967,0.186024121774698,0.22700416041206747,0.2761421488513836,0.3147023400931637,0.35401677990198094,0.33768873899313395,0.3454185045002208,0.35437037006953603,0.3559381765763055,0.3307275308207413,0.22999840672975683
white,0.09470005130233161,0.16346233210939837,0.22454313897265354,0.34759611826691506,0.4029444907956323,0.46200261357703243,0.4883312740048014,0.5154148213967026,0.47595904977798736,0.44646577120274455,0.38238835227323836,0.2348699110847538
coarse pattern/many things,0.0751812976056542,0.17641736152659007,0.29604362613682633,0.4018147607399838,0.46521075220289304,0.4763143452211148,0.48340838863170105,0.470771196013413,0.479353622667984,0.4708588031552332,0.39059343124640844,0.3150263451286067
red,0.3828239785325377,0.5454463519343762,0.5846862126190742,0.6232454104267677,0.6379742045143139,0.6491088271147836,0.6828720098350907,0.6746897539051934,0.6455815792976678,0.6377799567731115,0.5512434693366411,0.391858051905929
long/thin,0.031137816399788985,0.13169824165431923,0.1827810402910804,0.2585860843502978,0.30669535850746193,0.37776414237212286,0.44446405746940154,0.45259632683482093,0.47230700266587167,0.5092598209308348,0.48828889689204436,0.41293314459738306
weapon-/danger-related,-0.015180032091361272,0.010917053068123073,0.022586129574230885,0.030681675831160514,-0.010815276827650344,-0.026573561393432654,-0.06783943111727295,-0.12677465608300129,-0.19383834011772402,-0.19424960495444438,0.009798423570625048,0.11956116363415477
black,0.048062422164250905,0.22846070645401376,0.2815033943111605,0.3822572525197838,0.4177574907164569,0.4131580377800915,0.41986306389960026,0.45406364049431536,0.44682398833906645,0.40355145358166267,0.2877861927227481,0.08815818160153797
household,0.0018375880117233012,0.06895437458927348,0.0888617114471275,0.14324651050559908,0.14022836598877697,0.1350680946903176,0.12673381241541998,0.11049800995873435,0.08949549487335975,0.17134997394956447,0.2287000730861064,0.2461133036993921
feminine (stereotypical),0.06650369957640473,0.11477575106624915,0.11725136189081162,0.14003049971581802,0.13764915085481128,0.08766341776135501,0.049673370338349274,0.039237470969961954,0.06504812074968724,0.059721487145595296,0.07336028720323605,0.11997665134998585
body part-related,0.06711215573229526,0.14891226850630923,0.17217241416697884,0.2362797435059428,0.3765916322670727,0.4433699323583328,0.4929067200527397,0.45463711609949053,0.49066937227540797,0.4907425902283046,0.4426469927098843,0.45837292542787933
tubular,-0.002260831034389421,0.029220839608398153,0.10537501789125196,0.1395535589328662,0.16108083924651953,0.15858778364036105,0.19467840261513678,0.19254938626117832,0.22230750629050045,0.18865531389088425,0.26013098217135866,0.2718880329533177
music-/hearing-/hobby-related/loud,-0.004719049272372511,0.014613515923700759,0.012881754293160408,-0.003385260449091765,-0.02727865450492901,-0.07815619722425012,-0.1677698234544866,-0.1789564242422461,-0.2084418851890078,-0.25430416278790136,0.1476609869520328,0.2538403984014125
grid-/grating-related,0.05369922317384244,0.14140241979483217,0.2579024610516691,0.33906062105107826,0.32774626677402685,0.35109495659413115,0.35320175101019713,0.35324483418569735,0.3203065228157825,0.2781009708290163,0.17799585537512422,0.146596551876237
repetitive/spiky,0.07143025817472409,0.17420575948923625,0.23182875400022857,0.2841570002720295,0.30987589945763255,0.31322985336447673,0.3350585253392766,0.28957867555974054,0.27235987521909405,0.19475311829811073,0.17564981333608784,0.07149732224409548
construction-/craftsmanship-related,-0.007589720876730721,0.05114614340138577,0.06068939740697295,0.07061493397984384,0.07925725854548994,0.03848240485019916,-0.0011121063823408828,-0.04886976965044337,-0.03027889564779932,0.01959835635256525,0.0901492787277201,0.19027119394220054
