dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,-1.4631441815369155,-1.4414532053980986,-1.3230871697596887,-1.27724464412232,-1.1482936772156798,-1.1318202332048135,-1.0795822001754471,-1.0223798468135166,-1.209669195291636,-1.3876644238335425,-1.181715065324004,-1.3402261655918046
food-related,-0.44106249631683325,-0.3876262912470363,-0.3831752863757951,-0.3470581653341902,-0.45734389668929887,-0.37153504335738696,-0.40558469702147737,-0.5372474027671832,-0.32965205854623436,-0.2380416921718318,-0.5449833034859117,-0.5025030649176938
animal-related,-0.38232137666068944,-0.2646241564576828,-0.2685900342026375,-0.1491913216619789,-0.1686519142622931,-0.03731399008760339,-0.12548576127926192,-0.33454101569762806,-0.10226241841009487,0.04195670688743525,-0.05993049816593832,-0.16666171863397583
textile,-0.5243387820676613,-0.45008552654251544,-0.4905458621260712,-0.4353253295531547,-0.35947780381166616,-0.3126606089590578,-0.26455208762953153,-0.22037243027867048,-0.3557452387077893,-0.21832397275779036,-0.24870775465467765,-0.3023476540077392
plant-related,-0.36340076411372135,-0.251905766292448,-0.2287304229141025,-0.24219038699524287,-0.12092219180216812,-0.24762069019857025,-0.3186265395588095,-0.3250566666758148,-0.11988511185917394,-0.04298914832373013,-0.1834420557109131,-0.37844808382035455
house-related/furnishing-related,-0.640239980159002,-0.6081741321027903,-0.49395610727420536,-0.5595830463086893,-0.38575567765578644,-0.41094962076663677,-0.32917137739510527,-0.24688955606561525,-0.5433163723486627,-0.583950861481493,-0.26976591012087026,-0.46494316804462055
valuable/precious,-0.6599017287829803,-0.5943637804894975,-0.5815151856720935,-0.5991425906416994,-0.4956181535982018,-0.48510846627882986,-0.5572241399957607,-0.42630682495537275,-0.581116577751972,-0.37973824548650637,-0.5182942731956524,-0.5619731223488587
transportation-/movement-related,-0.38759989362978153,-0.26308846372247174,-0.19866643660157313,-0.18326787406680234,-0.12038038242693405,-0.14082980303233072,0.019491300714805093,0.029900959379819736,0.0914040645672457,-0.0806555465914891,-0.012343407212106472,-0.3047677056886433
body-/people-related,-0.3802663659791077,-0.2913014792194717,-0.34262237338114265,-0.2537618795082772,-0.19180981711389888,-0.1614536971513134,-0.016197823739491524,0.0040750919645518024,-0.0930287606204836,0.11094331717370831,0.03930792600593491,-0.2134441651654042
wood-related/brown,-0.5046636563627502,-0.5129809047701441,-0.4415741128233839,-0.5447295800416665,-0.4491377768734488,-0.4753542762915357,-0.5259038675268903,-0.3842657252921673,-0.46746835200267833,-0.45769841769059316,-0.4652426125763287,-0.5285411631315418
electronics/technology,-0.4657386467730342,-0.4399300038336198,-0.3210472176983865,-0.2995864549325715,-0.2256541781045347,-0.22310070314513908,-0.16996161755872508,-0.10521311366066421,-0.263686904298323,-0.30737224768338356,-0.16570346902629263,-0.35735033627086144
colorful/playful,-0.4342975255179855,-0.3278009034547118,-0.22936082901165267,-0.23136177194242102,-0.101598037727616,-0.12600249538602726,-0.15822422232795197,-0.13387530572945017,-0.1743313094695067,-0.267113915511616,-0.1996555640734925,-0.32545224366993386
outdoors,-0.5504271722798357,-0.41528099351922676,-0.3412448578688081,-0.35688955286398727,-0.2718321524916987,-0.3282141946832915,-0.28295761082150084,-0.20489568329411267,-0.16954449392462667,-0.2861638522545349,-0.21347567833695225,-0.48156926079515117
