dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,0.14019433925202127,0.25748401449855685,0.3587413479315906,0.4297787120486481,0.50799494814587,0.5900675367988668,0.6498841146068741,0.6890778083525293,0.7124332696471739,0.7267456060041381,0.7287674433179425,0.521618505106003
food-related,0.21730041762585026,0.339559157234938,0.4083494029564658,0.4882571085652264,0.558744242689439,0.6212130721963325,0.6521931413044116,0.6816190551611212,0.7150300411506868,0.7382638013058667,0.7656215105359327,0.6553508579332848
animal-related,0.11571351369101845,0.24150074141533556,0.3672639916032403,0.4781019038034907,0.5820457149210397,0.6746922941238209,0.7398753133182211,0.7654638498042396,0.7706456567098783,0.7750518542332456,0.7451076929707325,0.5749102463507575
textile,0.011995600300548559,0.0586742722535605,0.08766764238357418,0.17484616978389658,0.25030284373023526,0.34709547474655045,0.4324326190051789,0.48776797414295653,0.5095936176168234,0.5632938541146437,0.58955906534236,0.42328346851925114
plant-related,0.2501355707200368,0.35089254838787537,0.400950376889243,0.4574248018417341,0.5343675217623731,0.580357308317913,0.6117094198458793,0.6216571097635011,0.6445060422800417,0.6521356838304625,0.6017769161327631,0.3628695196229931
house-related/furnishing-related,0.1007415901849558,0.25381033061640756,0.33178996083849355,0.38392338513496116,0.44187735521213245,0.5120720115876927,0.572092486581316,0.6057318914734255,0.627495517126067,0.6481534010837128,0.6459250914469112,0.42821573604762075
valuable/precious,0.04397611231912661,0.10563062718845313,0.15628511416926497,0.17798195812063103,0.2234998933670128,0.2664059204890347,0.32101120169873587,0.388701505628819,0.4360297946466659,0.4812140407043681,0.5072197786132071,0.27867848024105296
transportation-/movement-related,0.1046949665406417,0.19287804758084817,0.2564498328579637,0.3484532173274318,0.41764053613835533,0.48828302030296555,0.5628130495139126,0.6083193540680165,0.6270847255766526,0.6244334205045171,0.6053944591687463,0.3077736501716438
body-/people-related,0.025861119803130474,0.12414709505181035,0.1725522686073447,0.31119836025016595,0.4342260532947521,0.535989417265257,0.6311435785785842,0.6779616993675232,0.698611668728038,0.6846147224815772,0.6141940572414354,0.41264130498614915
wood-related/brown,0.06018578038366099,0.15179578766324925,0.18140810839389238,0.2254177465075069,0.30074163610510574,0.37222143567672994,0.4360363820373457,0.46196883812879613,0.5002199331001842,0.5330418697537966,0.49623786812164594,0.32595145089303434
electronics/technology,0.03229409376317797,0.08437615336044604,0.1898907577193913,0.2722229006839573,0.31709792349204025,0.3774213081046094,0.42112948206270107,0.45863180672673626,0.47902578099605986,0.5064758542273277,0.558922220842333,0.464052190511148
colorful/playful,0.3109161395457586,0.42131979404181086,0.45876868430243356,0.5135362756012619,0.5613487792330536,0.5853468783425455,0.6281956115558742,0.6613554105185545,0.6632661480681653,0.6680864869958071,0.5980097188739879,0.3415914453427248
outdoors,0.19359704742164646,0.288658317700166,0.3567547655062997,0.4477275448025518,0.5148609462365594,0.5632168737704791,0.5991349453268157,0.617873438949115,0.6375195931337069,0.6460938472652673,0.6045289094642297,0.3976392219285163
circular/round,-0.04809270138479713,-0.015794317846642536,0.06418389933255189,0.21644590806215955,0.3119565016471836,0.4205161094010902,0.49573842420888975,0.5439360989853282,0.5438055535104849,0.5469372600620939,0.48820448432856284,0.2054547622312167
paper-related/flat,0.01055816992623897,0.06371959523065183,0.180769199029058,0.19559194711924677,0.2564932726448112,0.33684775515341486,0.40441438796957574,0.42895361785200814,0.4544844313894022,0.4856931548191036,0.5309062012884771,0.45161167420323717
sports-/playing-related,-0.040453719091645926,-0.024442044131620554,-0.031001272653894175,-0.0018386331303753222,0.01500517673589793,0.0627261164691558,0.09590845204489729,0.11491269540142372,0.1806368875674336,0.19306422854079477,0.265014730041385,0.1997090806240558
tools/handheld/elongated,0.03454871778642908,0.06804751802089912,0.1954503790054416,0.24535765014211167,0.2591768579323686,0.3442805634536048,0.3911358405348741,0.4391632422097508,0.4894781440926179,0.5303478953643709,0.6329088826921151,0.47379058590530576
fluid-related/drink-related,-0.030313480114575464,-0.002021667990767184,0.047143978497208736,0.12004464154439813,0.1640569463459094,0.22759011534358303,0.308326406887327,0.38270133837067905,0.4234331089365262,0.4699994586647634,0.5237697634002061,0.4442536861003413
water-related,0.020432173003805554,-0.021831074504368674,0.013504564237438654,0.02599567114210303,0.08586722696906726,0.11716371655810634,0.18663116815968767,0.24396910893189613,0.29186396647406754,0.3025194033796305,0.3488215610133166,0.1067705719410574
oriented/many things,0.03511754471713745,0.12303467389912448,0.1846275759938959,0.24745770623296495,0.28877996151533036,0.3928561852626339,0.4672494473820722,0.5315466764166905,0.5387523513754567,0.5559848246512248,0.47823476529077924,0.23190034926455166
