dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,0.129011300033687,0.28632152491563345,0.364604782770817,0.42058692735099135,0.48213135097050475,0.546672377309827,0.6178228293688355,0.6601791002181161,0.6881306857175754,0.7074284225114846,0.6845507194576339,0.4121372470794191
food-related,0.18663088546019024,0.33271094819432756,0.3925863117835662,0.46639061952741423,0.5514411605154969,0.6133547814261265,0.6524709265433104,0.6760862872152906,0.7182657020388532,0.7413242946812353,0.7636452086172001,0.6217984855801308
animal-related,0.10011276837858785,0.25766711846912094,0.3694935779990851,0.43544323685961106,0.5348853839763821,0.6388719997932193,0.6924444982663964,0.7261995778202588,0.7319843020196934,0.7482167457855103,0.7251266698130989,0.49743016016918196
textile,0.03144314231772416,0.13457630931492948,0.14387595114837792,0.1994074224652319,0.26284631213073495,0.3582723187698993,0.4129291545349779,0.4622212647089876,0.48329925649995087,0.51034332478951,0.5622222574732709,0.31189746129294915
plant-related,0.235987789977542,0.37835217612337246,0.4262066705320563,0.4700142978259624,0.5210184567051147,0.5654916836711318,0.5700760103262978,0.5883938417399859,0.6072662523067773,0.6072918675962176,0.5651571218969262,0.24709461950442313
house-related/furnishing-related,0.07439039027542471,0.28487913513776897,0.3574035352062861,0.41351212927479386,0.45033748892539927,0.48649340577229594,0.5479654806880395,0.581229232355496,0.6050672313892089,0.6336766630383517,0.6331500674890236,0.33378505597461927
valuable/precious,0.040086206443032846,0.15002996640041089,0.19268565820750938,0.22112091611731388,0.24845856649174414,0.279962959275466,0.31140366645974915,0.3295090497205737,0.34718636681131376,0.3968429124229016,0.44178716020171116,0.10626466233862719
transportation-/movement-related,0.09493879294410357,0.2350749302794709,0.27935288090812793,0.3312948738757794,0.3760886138191978,0.423739469993886,0.47422370771721434,0.5192845730568618,0.5427546799191886,0.5315974382363445,0.5068204986996949,0.189655461485574
body-/people-related,0.026627647366583074,0.17012969473715522,0.22371319398344447,0.2968642005855736,0.39704517202247724,0.5237818743726954,0.6047531530602475,0.6331526915153676,0.6632886844715706,0.6880782832651902,0.6127757169575965,0.2902274409750105
wood-related/brown,0.0882410814510084,0.18723262371106608,0.2227287743451597,0.27114625802503645,0.32040383457127275,0.3511397361722086,0.402121733530026,0.4286389314615905,0.4801623388692424,0.4889144459971786,0.4737035332273186,0.22949100279547296
electronics/technology,0.0403911925488174,0.12138031510824221,0.21019886166163915,0.28229503644832177,0.33060432728407374,0.3791806914733654,0.4104134110019132,0.42278426835088,0.44149972118670944,0.45443175554704784,0.47548749094358334,0.28985057562736993
colorful/playful,0.2790350382498539,0.3981212774125674,0.4260720157077814,0.4938910719893924,0.5294613305257195,0.5647004995109473,0.5999534199901229,0.6289258722946285,0.6422238942289464,0.661441960782276,0.5923322175771575,0.26297359586218827
outdoors,0.19704892508604477,0.3210714125781504,0.3968548685804255,0.47313641295339326,0.5174865270521524,0.5588972008358895,0.5841166671967735,0.6034055502583522,0.6309429634971687,0.6340678344314551,0.5821855770673803,0.2553474241796394
circular/round,-0.026186475465454162,0.042508068841941804,0.091817817517023,0.20376362957843408,0.29963629734706343,0.3762410253343236,0.4287615911606647,0.46449381718910177,0.4638766084297672,0.46520703836627064,0.4128769292886648,0.07610774754955796
paper-related/flat,0.011609851721379738,0.13494073117092886,0.2038562036800351,0.2526724424562513,0.29538313313378517,0.3366663045151784,0.4041580471739109,0.4312312499449811,0.4628542173565807,0.4972236041709531,0.5266899765681947,0.3803300648305208
sports-/playing-related,0.01868826224491482,0.08240808554145473,0.09077011613697927,0.1174416601578232,0.14130693637432012,0.16256873254679038,0.18295193496229578,0.19230264414713494,0.21552854156559376,0.2442304961064068,0.2930797304102143,0.23412844455266857
tools/handheld/elongated,0.03353376063774327,0.1203111607740539,0.18125126662644342,0.21459099694124495,0.25181248452550087,0.3036396021391832,0.372301190694308,0.4186244456889504,0.4636503213965383,0.5027764719943377,0.5927735353115364,0.3467240872455828
fluid-related/drink-related,-0.013436660199684924,0.0631738806626404,0.10484621193047505,0.1320388383649006,0.16487463890301068,0.23869930143137652,0.2974026082094494,0.346036193672388,0.373912329556656,0.4010361931799662,0.5321162290622184,0.3297518757230524
water-related,0.06264098677206409,0.09138682569128798,0.11339163038475253,0.12375085028862232,0.14428845339978758,0.1543569093973075,0.1695699830519235,0.18379297201777278,0.1985624014658227,0.19730080626180058,0.14808902131303603,0.032309409587343185
oriented/many things,0.06316732421967264,0.16748261481129434,0.1992429455508331,0.2386224648264299,0.2677813484932329,0.3441325569438408,0.4396416158296108,0.46906632340914645,0.5052503210873598,0.5379249332782196,0.47070635490105295,0.15209229651034906
powdery/earth-related,0.10844897070801007,0.2097230733981612,0.24509770368377182,0.27877606210769046,0.30938180395795734,0.3387814661340467,0.38836980756521167,0.40304426938178817,0.4158645661027709,0.4376507379673228,0.3834278376508291,0.15907665407847316
white,0.11763447341717848,0.24043051594814757,0.24864676847072797,0.3363711876157097,0.4052731821944998,0.42829556209456965,0.4845231308515272,0.5051684926000488,0.5074410185486149,0.4899793220541435,0.4321877616989256,0.13179316858257706
coarse pattern/many things,0.09687208593778984,0.22152745609440094,0.32477155609313635,0.4158000700126191,0.46545835434532845,0.5078838963464485,0.5309888554802392,0.5472733589482239,0.5675652332198582,0.5746578517115617,0.5178813522973792,0.3186454750102403
red,0.46163956294752495,0.5865531468098726,0.5899548466800806,0.586640075749723,0.5821712953049608,0.61087928558001,0.6375615142321795,0.648527395518758,0.6512233471653597,0.6424171410289488,0.5373089934800284,0.05644965460399576
long/thin,0.034434666156116345,0.13349844451962112,0.19106407773570755,0.2502705844946921,0.2948965458186139,0.34684759158751755,0.42786660900424467,0.454999597262008,0.49161914118806416,0.5061189523350036,0.5296560836249908,0.35635361913881836
weapon-/danger-related,0.0031335627887000284,0.041894703353492435,0.062433834131783716,0.08084627578970371,0.08469463789018306,0.09707630924694344,0.10342788965322625,0.12062909061108507,0.11569741998481298,0.1357445139556157,0.17533090611765756,0.13153071331336763
black,0.08220519705915785,0.2489915302571727,0.2814970714881334,0.3719302852508055,0.4010624624209166,0.40221125498844457,0.41481692137413595,0.4374472588311581,0.445277932445864,0.4223101290545975,0.32652261006640704,0.043893086611996646
